No,Kode,Kabupaten,JumlahSekolah,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,Tahun,KdProv,Provinsi
1.0, 0101,KOTA JAKARTA PUSAT,53,2694,80.63,73.99,65.6,77.94,70.58,68.19,72.82,2015,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,75,3081,78.22,70.31,62.92,75.7,65.74,64.35,69.54,2015,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,111,4593,80.09,73.31,63.09,77.19,69.78,67.28,71.79,2015,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,95,6501,81.22,76.2,67.1,80.12,72.56,70.32,74.59,2015,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,110,8553,80.04,74.43,65.71,80.58,71.35,70.13,73.71,2015,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,54,2848,72.79,64.17,61.63,60.25,60.49,63.91,63.87,2016,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,78,3537,69.51,59.36,55.92,54.5,55.11,59.66,59.01,2016,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,112,5212,71.83,62.39,58.36,57.81,59.04,62.44,61.98,2016,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,101,6904,72.83,67.43,61.86,62.64,61.85,68.21,65.8,2016,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,114,8933,72.28,63.33,60.78,63.41,61.29,65.55,64.44,2016,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,54,2742,80.12,68.64,56.05,59.75,62.61,57.64,66.01,2017,1,DKI JAKARTA
