No,Kode,Kabupaten,JumlahSekolah,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,Tahun,KdProv,Provinsi
1.0, 0101,KOTA JAKARTA PUSAT,39,1262,80.3,75.33,68.63,79.0,71.25,68.83,73.89,2015,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,55,1432,77.93,72.16,63.59,76.21,67.39,65.28,70.43,2015,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,87,2240,80.02,74.17,61.91,75.71,67.75,66.17,70.96,2015,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,61,2116,78.12,73.23,60.04,74.78,65.16,64.63,69.33,2015,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,62,2318,75.37,71.75,58.63,76.43,64.25,63.63,68.34,2015,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,40,1422,72.62,63.82,60.46,63.42,64.05,60.35,64.12,2016,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,58,1542,69.55,65.04,60.22,61.41,59.74,59.35,62.55,2016,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,88,2510,71.19,63.25,57.69,59.75,61.99,59.75,62.27,2016,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,67,2395,69.29,62.23,52.82,57.55,58.63,60.71,60.21,2016,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,66,2805,67.38,58.42,54.37,63.2,60.94,58.69,60.5,2016,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,40,1302,79.41,70.95,59.83,65.46,64.19,56.66,68.03,2017,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,60,1569,76.11,70.49,59.05,63.18,66.1,53.73,66.36,2017,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,87,2591,77.67,69.2,56.64,64.58,62.3,53.25,65.68,2017,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,71,2519,76.54,65.35,47.48,57.44,54.57,52.26,60.88,2017,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,70,2915,73.7,58.89,40.67,49.71,51.44,49.62,55.79,2017,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,41,1532,76.62,71.41,55.81,60.88,66.33,59.34,66.34,2018,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,60,2061,74.18,71.78,55.5,58.42,63.46,57.03,65.09,2018,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,89,3132,75.91,70.83,54.58,60.59,62.35,57.2,65.25,2018,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,78,2948,73.93,68.48,43.66,49.11,54.75,54.76,59.74,2018,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,74,3518,72.74,63.04,38.89,44.49,50.13,52.52,56.13,2018,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,40,1455,79.17,76.16,58.34,70.69,65.68,63.5,69.98,2019,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,67,1893,77.36,77.95,58.59,67.39,66.08,61.12,69.56,2019,1,DKI JAKARTA
