No,Kode,Kabupaten,JumlahSekolah,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,Tahun,KdProv,Provinsi
1.0, 0101,KOTA JAKARTA PUSAT,64,3274,72.55,66.35,51.03,64.89,67.24,61.86,63.99,2015,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,89,4753,71.97,65.37,53.77,63.55,65.68,59.49,63.31,2015,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,126,6066,72.53,66.11,51.48,64.34,66.72,61.05,63.71,2015,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,117,7244,74.37,72.88,59.96,69.53,70.98,67.97,69.28,2015,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,137,9263,72.29,70.04,54.22,69.45,70.57,66.64,67.2,2015,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,65,3216,67.11,52.68,46.9,55.52,55.17,63.22,56.77,2016,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,91,4530,65.06,50.23,45.74,52.54,53.35,61.23,54.69,2016,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,129,5669,66.01,52.43,46.82,56.94,55.01,63.63,56.81,2016,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,120,6702,67.2,57.18,50.59,59.0,57.43,67.97,59.9,2016,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,140,9359,67.02,54.81,49.16,58.26,56.66,67.15,58.84,2016,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,63,3082,73.43,57.2,50.93,65.94,66.07,65.16,61.86,2017,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,89,4100,71.04,53.12,48.63,62.99,63.4,64.35,59.09,2017,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,124,5421,72.01,55.58,50.04,67.08,65.41,61.31,60.56,2017,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,122,6987,74.33,60.86,51.42,66.33,67.15,66.58,63.36,2017,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,139,9135,73.13,57.19,50.8,65.66,67.39,63.96,61.87,2017,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,62,3488,71.67,61.61,43.94,61.81,64.02,64.45,60.21,2018,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,93,4989,70.42,59.91,42.78,57.65,62.81,63.16,58.65,2018,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,128,6318,70.92,60.57,43.55,61.86,62.86,64.27,59.49,2018,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,125,7668,71.86,63.94,42.94,59.91,65.34,65.95,60.75,2018,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,139,9540,72.08,61.06,42.13,60.98,64.2,64.61,59.72,2018,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,63,3316,74.5,65.73,46.48,67.9,64.2,64.93,63.0,2019,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,98,4702,72.01,62.73,43.7,63.13,62.64,62.93,60.32,2019,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,129,6258,73.12,63.59,44.99,66.3,63.65,64.75,61.56,2019,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,123,7727,75.11,67.69,44.38,66.85,66.54,65.46,63.39,2019,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,137,9747,74.66,64.38,43.94,66.61,65.41,65.51,62.17,2019,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,DKI JAKARTA
7.0, 0201,KOTA BANDUNG,149,8711,73.64,61.77,65.49,58.04,54.61,66.67,63.37,2015,2,JAWA BARAT
8.0, 0202,KOTA BANJAR,10,597,69.93,58.53,58.78,54.98,58.0,56.84,59.51,2015,2,JAWA BARAT
9.0, 0203,KOTA BEKASI,102,6518,73.68,64.85,69.52,59.65,56.66,68.1,65.41,2015,2,JAWA BARAT
10.0, 0204,KOTA BOGOR,58,2931,74.97,65.84,69.23,59.96,56.94,67.09,65.67,2015,2,JAWA BARAT
11.0, 0205,KOTA CIMAHI,22,1309,69.09,59.25,61.89,56.07,52.48,62.22,60.17,2015,2,JAWA BARAT
12.0, 0206,KOTA CIREBON,30,1922,68.2,56.33,59.09,56.26,52.81,54.94,57.94,2015,2,JAWA BARAT
