No,Kode,Kabupaten,JumlahSekolah,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,Tahun,KdProv,Provinsi
1.0, 0101,KOTA JAKARTA PUSAT,14,1432,80.91,72.8,62.92,77.01,69.98,67.62,71.87,2015,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,20,1649,78.47,68.71,62.35,75.26,64.31,63.54,68.77,2015,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,24,2353,80.17,72.5,64.21,78.6,71.7,68.33,72.59,2015,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,34,4385,82.71,77.64,70.51,82.69,76.13,73.06,77.12,2015,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,48,6235,81.77,75.43,68.35,82.13,73.99,72.55,75.7,2015,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,14,1426,72.96,64.52,62.81,57.09,56.94,67.46,63.63,2016,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,20,1995,69.47,54.97,52.6,49.15,51.66,59.89,56.29,2016,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,24,2702,72.42,61.58,58.99,56.0,56.32,64.93,61.71,2016,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,34,4509,74.71,70.19,66.66,65.35,63.56,72.19,68.78,2016,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,48,6128,74.53,65.58,63.71,63.51,61.45,68.69,66.25,2016,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,14,1440,80.75,66.55,52.64,54.06,60.02,58.31,64.19,2017,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,20,2016,76.95,58.63,45.73,48.25,56.11,52.6,58.33,2017,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,23,2558,80.26,64.95,53.18,57.71,62.05,59.66,64.49,2017,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,34,4538,82.5,73.99,58.46,61.05,62.39,63.74,69.34,2017,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,48,6050,81.62,70.77,57.84,59.56,65.68,65.32,68.42,2017,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,14,1523,78.35,72.32,52.98,50.33,60.98,62.52,65.34,2018,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,20,1956,76.07,65.63,43.51,44.95,52.62,57.04,59.41,2018,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,23,2715,78.09,69.61,51.56,54.69,62.9,61.45,64.68,2018,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,34,4748,79.81,75.28,56.12,57.17,62.22,66.56,68.36,2018,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,48,6519,79.45,73.12,54.59,55.08,62.66,66.03,67.2,2018,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,14,1533,82.66,75.15,51.84,57.67,63.17,60.65,67.52,2019,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,20,2090,78.69,66.48,45.53,47.47,55.85,58.32,61.51,2019,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,23,2701,82.28,73.41,53.28,61.23,62.47,63.51,67.92,2019,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,34,4769,83.74,80.31,57.16,64.01,64.48,66.38,71.61,2019,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,48,6588,83.21,77.35,55.7,61.8,65.15,66.14,70.24,2019,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,DKI JAKARTA
7.0, 0201,KOTA BANDUNG,29,6837,81.4,70.51,63.72,82.88,74.28,75.05,74.64,2015,2,JAWA BARAT
8.0, 0202,KOTA BANJAR,4,520,77.5,63.88,59.59,76.65,67.69,72.83,69.69,2015,2,JAWA BARAT
9.0, 0203,KOTA BEKASI,19,4595,80.55,71.87,64.2,79.26,73.84,77.46,74.53,2015,2,JAWA BARAT
10.0, 0204,KOTA BOGOR,12,2884,81.97,73.89,66.37,82.76,74.62,79.07,76.45,2015,2,JAWA BARAT
11.0, 0205,KOTA CIMAHI,7,1340,79.87,69.91,63.41,82.38,73.91,75.09,74.1,2015,2,JAWA BARAT
12.0, 0206,KOTA CIREBON,11,1898,78.17,64.97,57.72,77.19,63.54,71.93,68.92,2015,2,JAWA BARAT
13.0, 0207,KOTA DEPOK,9,1484,81.69,72.75,61.24,70.97,67.55,68.06,70.38,2015,2,JAWA BARAT
14.0, 0208,KOTA SUKABUMI,7,1346,75.95,67.85,58.22,78.75,65.97,76.14,70.48,2015,2,JAWA BARAT
15.0, 0209,KOTA TASIKMALAYA,13,1851,79.26,72.04,67.95,84.67,76.26,81.09,76.88,2015,2,JAWA BARAT
16.0, 0210,KABUPATEN BANDUNG,21,3280,76.45,61.83,56.98,74.04,64.55,67.3,66.86,2015,2,JAWA BARAT
17.0, 0211,KABUPATEN BANDUNG BARAT,16,1638,75.39,56.66,51.04,61.98,56.76,57.77,59.93,2015,2,JAWA BARAT
18.0, 0212,KABUPATEN BEKASI,39,5336,74.33,61.25,59.79,68.77,66.0,66.13,66.05,2015,2,JAWA BARAT
19.0, 0213,KABUPATEN BOGOR,44,4666,75.85,63.42,54.88,70.7,56.88,68.29,65.0,2015,2,JAWA BARAT
20.0, 0214,KABUPATEN CIAMIS,24,1948,76.61,62.47,56.43,73.78,60.94,69.11,66.56,2015,2,JAWA BARAT
21.0, 0215,KABUPATEN CIANJUR,17,2058,75.12,62.28,54.9,67.54,56.37,62.13,63.06,2015,2,JAWA BARAT
22.0, 0216,KABUPATEN CIREBON,24,3180,73.24,56.67,48.37,64.81,54.4,61.9,59.9,2015,2,JAWA BARAT
23.0, 0217,KABUPATEN GARUT,34,4421,73.59,61.58,59.51,73.12,63.26,66.43,66.25,2015,2,JAWA BARAT
24.0, 0218,KABUPATEN INDRAMAYU,22,2423,73.82,51.19,34.24,46.44,39.82,47.07,48.76,2015,2,JAWA BARAT
25.0, 0219,KABUPATEN KARAWANG,25,5764,69.89,48.1,31.92,42.15,35.57,42.45,45.01,2015,2,JAWA BARAT
26.0, 0220,KABUPATEN KUNINGAN,22,2155,77.57,59.23,42.45,55.37,51.25,55.11,56.83,2015,2,JAWA BARAT
27.0, 0221,KABUPATEN MAJALENGKA,19,1650,76.85,59.59,47.94,66.67,53.05,62.24,61.06,2015,2,JAWA BARAT
28.0, 0222,KABUPATEN PURWAKARTA,13,1503,75.24,61.45,56.37,71.39,58.31,66.31,64.85,2015,2,JAWA BARAT
29.0, 0223,KABUPATEN SUBANG,19,2502,72.53,56.69,51.22,63.88,53.84,55.16,58.89,2015,2,JAWA BARAT
30.0, 0224,KABUPATEN SUKABUMI,28,2717,76.19,60.88,53.19,67.18,57.28,65.0,63.29,2015,2,JAWA BARAT
31.0, 0225,KABUPATEN SUMEDANG,17,1787,75.91,62.17,49.76,70.05,51.18,61.86,61.82,2015,2,JAWA BARAT
32.0, 0226,KABUPATEN TASIKMALAYA,21,1729,75.21,65.07,60.37,74.99,63.88,70.84,68.39,2015,2,JAWA BARAT
33.0, 0227,KABUPATEN PANGANDARAN,6,516,74.18,54.3,48.23,60.81,51.87,54.35,57.29,2015,2,JAWA BARAT
7.0, 0201,KOTA BANDUNG,29,6954,73.03,62.55,61.57,59.52,58.06,64.66,63.23,2016,2,JAWA BARAT
8.0, 0202,KOTA BANJAR,4,592,65.29,49.74,60.06,57.91,60.86,62.39,59.38,2016,2,JAWA BARAT
9.0, 0203,KOTA BEKASI,20,4091,70.21,60.4,67.38,64.01,64.51,68.78,65.88,2016,2,JAWA BARAT
10.0, 0204,KOTA BOGOR,12,2954,73.47,66.05,61.75,60.67,59.55,69.57,65.18,2016,2,JAWA BARAT
11.0, 0205,KOTA CIMAHI,7,1520,69.6,58.34,65.65,63.06,59.5,65.49,63.61,2016,2,JAWA BARAT
12.0, 0206,KOTA CIREBON,11,1898,68.28,56.06,61.51,58.17,59.37,63.61,61.17,2016,2,JAWA BARAT
13.0, 0207,KOTA DEPOK,9,1760,73.59,63.76,56.78,53.85,52.98,63.61,60.76,2016,2,JAWA BARAT
14.0, 0208,KOTA SUKABUMI,7,1487,68.33,53.73,47.43,50.76,48.48,60.05,54.8,2016,2,JAWA BARAT
15.0, 0209,KOTA TASIKMALAYA,13,1996,68.85,56.6,66.54,62.73,63.59,68.4,64.45,2016,2,JAWA BARAT
16.0, 0210,KABUPATEN BANDUNG,21,3768,69.07,51.31,62.76,59.46,52.14,63.4,59.69,2016,2,JAWA BARAT
17.0, 0211,KABUPATEN BANDUNG BARAT,17,1903,67.56,48.82,50.59,48.38,50.38,56.62,53.73,2016,2,JAWA BARAT
18.0, 0212,KABUPATEN BEKASI,40,5829,63.69,50.83,57.84,55.88,54.43,58.83,56.92,2016,2,JAWA BARAT
19.0, 0213,KABUPATEN BOGOR,46,5457,68.32,49.33,39.53,43.0,45.61,50.75,49.42,2016,2,JAWA BARAT
20.0, 0214,KABUPATEN CIAMIS,23,2252,68.19,51.65,52.21,51.17,54.85,59.74,56.3,2016,2,JAWA BARAT
21.0, 0215,KABUPATEN CIANJUR,17,2042,65.83,53.51,47.49,48.2,50.34,60.41,54.3,2016,2,JAWA BARAT
22.0, 0216,KABUPATEN CIREBON,24,3340,68.17,50.21,59.68,57.95,56.32,60.46,58.8,2016,2,JAWA BARAT
23.0, 0217,KABUPATEN GARUT,35,4816,63.77,52.55,59.26,58.74,55.84,61.16,58.55,2016,2,JAWA BARAT
24.0, 0218,KABUPATEN INDRAMAYU,22,2471,64.4,52.04,60.98,59.55,57.95,63.96,59.81,2016,2,JAWA BARAT
25.0, 0219,KABUPATEN KARAWANG,25,5119,63.2,51.69,64.11,61.53,59.5,63.0,60.51,2016,2,JAWA BARAT
