No,Kode,Kabupaten,JumlahSekolah,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,Tahun,KdProv,Provinsi
1.0, 0101,KOTA JAKARTA PUSAT,50,1714,71.0,64.09,53.34,62.44,64.88,59.16,62.49,2015,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,69,2091,71.79,65.06,55.28,60.4,64.43,56.3,62.21,2015,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,102,3347,72.25,65.21,52.58,60.72,63.97,57.5,62.04,2015,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,83,3018,70.79,68.57,54.97,65.08,67.1,63.42,64.99,2015,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,90,2985,66.57,63.98,46.62,63.93,65.06,60.24,61.07,2015,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,51,1726,65.84,50.59,44.41,53.84,52.89,61.13,54.78,2016,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,71,2133,65.07,54.45,50.92,54.63,53.51,60.4,56.5,2016,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,105,3310,64.99,52.81,47.23,56.7,53.59,61.3,56.1,2016,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,86,2964,64.62,54.34,47.27,56.74,55.0,65.17,57.19,2016,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,93,3490,62.81,51.39,45.43,56.04,52.72,63.98,55.4,2016,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,49,1605,69.59,54.8,48.82,64.5,60.82,64.7,58.93,2017,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,69,1863,69.25,55.97,51.67,66.09,59.81,60.36,59.63,2017,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,101,3063,69.84,55.81,49.73,67.11,62.22,57.46,59.37,2017,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,88,3209,69.04,53.85,43.77,59.42,62.43,59.62,57.0,2017,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,92,3485,66.24,47.53,38.58,56.05,59.95,55.1,52.66,2017,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,48,1956,68.52,58.84,42.39,60.21,61.4,60.77,57.68,2018,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,73,2565,67.81,60.61,44.11,59.71,59.77,59.01,58.03,2018,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,105,4051,68.44,59.77,42.46,61.02,60.46,59.94,57.8,2018,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,91,3834,67.1,58.45,37.75,54.72,60.98,59.43,55.62,2018,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,92,4040,66.13,53.71,34.4,53.46,58.04,57.51,52.85,2018,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,1,DKI JAKARTA
1.0, 0101,KOTA JAKARTA PUSAT,49,1814,70.08,61.02,44.22,65.38,59.84,61.3,59.2,2019,1,DKI JAKARTA
2.0, 0102,KOTA JAKARTA UTARA,78,2318,69.23,64.72,45.76,63.0,60.07,61.36,60.22,2019,1,DKI JAKARTA
3.0, 0103,KOTA JAKARTA BARAT,106,3965,70.07,61.92,43.18,63.93,60.95,60.64,59.18,2019,1,DKI JAKARTA
4.0, 0104,KOTA JAKARTA SELATAN,89,3897,69.28,60.52,38.58,58.72,61.27,58.28,57.13,2019,1,DKI JAKARTA
5.0, 0105,KOTA JAKARTA TIMUR,90,4213,67.54,55.39,35.89,56.81,58.95,56.14,54.19,2019,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,1,DKI JAKARTA
7.0, 0201,KOTA BANDUNG,120,4576,71.06,59.9,62.47,55.59,54.4,59.5,60.49,2015,2,JAWA BARAT
8.0, 0202,KOTA BANJAR,6,208,69.11,56.02,48.93,50.17,55.99,54.1,55.72,2015,2,JAWA BARAT
9.0, 0203,KOTA BEKASI,83,2923,72.66,63.63,66.84,57.67,56.2,64.6,63.6,2015,2,JAWA BARAT
10.0, 0204,KOTA BOGOR,46,1661,72.33,62.21,63.95,56.99,54.7,61.47,61.94,2015,2,JAWA BARAT
11.0, 0205,KOTA CIMAHI,15,508,65.94,53.77,50.85,50.07,49.17,50.93,53.46,2015,2,JAWA BARAT
12.0, 0206,KOTA CIREBON,19,474,66.36,53.94,53.56,51.2,51.81,48.39,54.21,2015,2,JAWA BARAT
13.0, 0207,KOTA DEPOK,61,2106,70.56,55.91,51.03,49.28,53.74,53.51,55.67,2015,2,JAWA BARAT
14.0, 0208,KOTA SUKABUMI,20,537,65.25,52.0,47.11,49.48,47.81,48.34,51.67,2015,2,JAWA BARAT
15.0, 0209,KOTA TASIKMALAYA,36,1066,72.01,62.57,67.07,57.95,53.84,60.36,62.3,2015,2,JAWA BARAT
16.0, 0210,KABUPATEN BANDUNG,150,5691,65.2,52.01,54.73,49.95,47.68,51.98,53.59,2015,2,JAWA BARAT
17.0, 0211,KABUPATEN BANDUNG BARAT,83,2368,66.72,54.69,59.2,53.15,49.04,58.51,56.89,2015,2,JAWA BARAT
18.0, 0212,KABUPATEN BEKASI,70,2151,68.87,58.65,64.84,57.5,54.77,62.63,61.21,2015,2,JAWA BARAT
19.0, 0213,KABUPATEN BOGOR,178,6241,66.35,53.76,53.98,49.14,49.09,54.55,54.48,2015,2,JAWA BARAT
20.0, 0214,KABUPATEN CIAMIS,41,1183,68.59,49.44,44.36,45.33,51.12,44.23,50.51,2015,2,JAWA BARAT
21.0, 0215,KABUPATEN CIANJUR,74,2842,62.63,48.9,45.1,42.32,46.91,43.08,48.16,2015,2,JAWA BARAT
22.0, 0216,KABUPATEN CIREBON,50,1769,66.52,55.26,58.85,51.84,49.33,58.87,56.78,2015,2,JAWA BARAT
23.0, 0217,KABUPATEN GARUT,109,3595,68.31,58.03,64.79,57.43,53.95,62.95,60.91,2015,2,JAWA BARAT
24.0, 0218,KABUPATEN INDRAMAYU,49,1386,64.32,50.94,51.9,47.09,45.68,56.12,52.68,2015,2,JAWA BARAT
25.0, 0219,KABUPATEN KARAWANG,21,681,66.4,49.79,49.22,46.23,46.71,52.54,51.82,2015,2,JAWA BARAT
26.0, 0220,KABUPATEN KUNINGAN,24,796,71.7,53.89,57.82,45.98,54.53,59.2,57.19,2015,2,JAWA BARAT
27.0, 0221,KABUPATEN MAJALENGKA,24,916,75.59,66.46,75.12,62.54,54.34,70.01,67.34,2015,2,JAWA BARAT
28.0, 0222,KABUPATEN PURWAKARTA,27,992,60.5,43.42,38.3,41.82,44.29,40.32,44.78,2015,2,JAWA BARAT
29.0, 0223,KABUPATEN SUBANG,45,1454,64.1,49.43,50.64,47.73,46.47,51.77,51.69,2015,2,JAWA BARAT
