No,Kode,Kabupaten,JumlahSekolah,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,Tahun,KdProv,Provinsi_x,Provinsi_y,Provinsi
1.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,66,7202,68.05,63.46,47.22,85.76,"66,12",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
2.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,66,7202,80.62,79.78,79.67,82.86,"80,73",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
3.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,78,8510,62.24,55.83,39.26,83.75,"60,27",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
4.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,78,8510,82.48,81.06,80.96,83.74,"82,06",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
5.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,118,12368,65.53,66.21,48.55,88.34,"67,16",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
6.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,118,12368,83.52,82.73,82.37,84.51,"83,28",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
7.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,136,15424,67.01,63.92,43.54,86.26,"65,18",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
8.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,136,15424,80.3,78.98,78.37,81.64,"79,82",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
9.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,199,20726,66.97,65.9,49.48,85.65,"67,00",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
10.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,199,20726,82.5,81.83,81.51,83.72,"82,39",2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
11.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
12.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2015,1,DKI JAKARTA,DKI JAKARTA,DKI JAKARTA
