No,Kode,Kabupaten,JumlahSekolah,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,Tahun,KdProv,Provinsi
1.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,14,2798,73.4,68.51,56.0,84.69,"70,65",2015,1,DKI JAKARTA
2.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,14,2798,80.7,79.32,79.69,83.36,"80,77",2015,1,DKI JAKARTA
3.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,9,2143,73.45,61.52,58.05,81.8,"68,71",2015,1,DKI JAKARTA
4.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,9,2143,84.35,81.81,81.8,85.83,"83,45",2015,1,DKI JAKARTA
5.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,9,2169,72.61,67.59,55.13,87.79,"70,78",2015,1,DKI JAKARTA
6.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,9,2169,82.72,81.45,81.95,85.15,"82,82",2015,1,DKI JAKARTA
7.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,18,3773,76.31,71.72,61.11,85.96,"73,78",2015,1,DKI JAKARTA
8.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,18,3773,80.42,79.66,79.54,82.53,"80,54",2015,1,DKI JAKARTA
9.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,14,3853,77.53,73.72,70.61,83.51,"76,34",2015,1,DKI JAKARTA
10.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,14,3853,80.17,80.5,79.82,83.88,"81,09",2015,1,DKI JAKARTA
11.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2015,1,DKI JAKARTA
12.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2015,1,DKI JAKARTA
1.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,14,2642,75.35,67.7,59.36,78.39,"70,20",2016,1,DKI JAKARTA
2.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,9,2143,74.37,62.76,55.92,77.64,"67,67",2016,1,DKI JAKARTA
3.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,9,1982,73.89,64.24,59.68,79.26,"69,27",2016,1,DKI JAKARTA
4.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,18,3714,75.98,71.49,67.28,79.2,"73,49",2016,1,DKI JAKARTA
5.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,14,3470,76.7,73.59,69.8,81.18,"75,32",2016,1,DKI JAKARTA
