No,Kode,Kabupaten,JumlahSekolah,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,Tahun,KdProv,Provinsi
1.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,52,4404,64.65,60.26,41.65,86.44,"63,25",2015,1,DKI JAKARTA
2.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,52,4404,80.57,80.07,79.65,82.54,"80,71",2015,1,DKI JAKARTA
3.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,69,6367,58.47,53.91,32.93,84.41,"57,43",2015,1,DKI JAKARTA
4.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,69,6367,81.85,80.81,80.67,83.04,"81,59",2015,1,DKI JAKARTA
5.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,109,10199,64.03,65.91,47.15,88.46,"66,39",2015,1,DKI JAKARTA
6.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,109,10199,83.69,83.01,82.46,84.37,"83,38",2015,1,DKI JAKARTA
7.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,118,11651,64.0,61.39,37.85,86.36,"62,40",2015,1,DKI JAKARTA
8.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,118,11651,80.26,78.76,77.99,81.35,"79,59",2015,1,DKI JAKARTA
9.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,185,16873,64.56,64.12,44.66,86.14,"64,87",2015,1,DKI JAKARTA
10.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,185,16873,83.03,82.13,81.89,83.69,"82,69",2015,1,DKI JAKARTA
11.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2015,1,DKI JAKARTA
12.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2015,1,DKI JAKARTA
1.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,48,4411,67.89,53.03,38.73,79.53,"59,80",2016,1,DKI JAKARTA
2.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,69,6371,61.39,45.93,30.87,75.34,"53,38",2016,1,DKI JAKARTA
3.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,109,10728,65.53,49.51,34.21,82.44,"57,92",2016,1,DKI JAKARTA
4.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,118,11728,67.28,53.26,38.37,77.63,"59,14",2016,1,DKI JAKARTA
5.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,186,17184,66.48,53.89,38.63,79.93,"59,73",2016,1,DKI JAKARTA
6.0, 0106,KOTA ADM. KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2016,1,DKI JAKARTA
1.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,47,4459,65.39,43.67,36.51,73.56,"54,78",2017,1,DKI JAKARTA
2.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,69,6619,62.12,37.41,31.62,71.17,"50,58",2017,1,DKI JAKARTA
3.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,106,11177,63.81,39.61,33.54,74.02,"52,75",2017,1,DKI JAKARTA
4.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,115,11579,66.25,42.6,34.44,74.07,"54,34",2017,1,DKI JAKARTA
5.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,184,16957,66.01,42.49,36.5,73.09,"54,52",2017,1,DKI JAKARTA
6.0, 0106,KAB. ADMINISTRASI KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2017,1,DKI JAKARTA
1.0, 0101,KOTA ADMINISTRASI JAKARTA PUSAT,47,4998,66.27,46.72,38.41,45.27,"49,17",2018,1,DKI JAKARTA
2.0, 0102,KOTA ADMINISTRASI JAKARTA UTARA,68,7190,63.45,40.34,32.15,39.9,"43,96",2018,1,DKI JAKARTA
3.0, 0103,KOTA ADMINISTRASI JAKARTA BARAT,107,12049,64.57,42.36,34.16,43.37,"46,12",2018,1,DKI JAKARTA
4.0, 0104,KOTA ADMINISTRASI JAKARTA SELATAN,113,12182,66.96,45.14,34.72,45.84,"48,17",2018,1,DKI JAKARTA
5.0, 0105,KOTA ADMINISTRASI JAKARTA TIMUR,181,17851,67.1,44.87,36.13,44.2,"48,08",2018,1,DKI JAKARTA
6.0, 0106,KAB. ADMINISTRASI KEP. SERIBU,0,0,0.0,0.0,0.0,0.0,0,2018,1,DKI JAKARTA
1.0, 0101,JAKARTA PUSAT,44,4605,68.62,47.88,39.18,46.29,"50,49",2019,1,DKI JAKARTA
2.0, 0102,JAKARTA UTARA,67,7356,65.16,41.87,33.7,41.0,"45,43",2019,1,DKI JAKARTA
