No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,2001001,SMA  NEGERI  1  KENDARI,40402619,N,285,67.98,62.36,74.26,87.9,76.92,77.75,0.0,20,1,1,2016,SULAWESI TENGGARA,KOTA KENDARI
2,2001002,SMA  NEGERI  9  KENDARI,40403136,N,162,69.41,55.74,61.54,89.4,72.67,68.32,0.0,20,1,2,2016,SULAWESI TENGGARA,KOTA KENDARI
3,2001003,SMA PGRI KENDARI,40402621,S,6,51.67,33.67,18.75,40.83,26.67,24.17,0.0,20,1,3,2016,SULAWESI TENGGARA,KOTA KENDARI
4,2001004,SMA SEJAHTERA KENDARI,40402620,S,7,56.0,43.14,49.64,82.5,50.0,74.29,0.0,20,1,4,2016,SULAWESI TENGGARA,KOTA KENDARI
5,2001005,SMA  NEGERI  3  KENDARI,40402617,N,92,67.67,50.11,72.8,89.62,71.71,71.93,0.0,20,1,5,2016,SULAWESI TENGGARA,KOTA KENDARI
6,2001006,SMA SWASTA DDI KENDARI,40402558,S,30,51.2,52.13,59.0,71.92,75.67,59.42,0.0,20,1,6,2016,SULAWESI TENGGARA,KOTA KENDARI
7,2001007,SMA SWASTA MUHAMMADIYAH KENDARI,40402635,S,12,47.67,36.0,27.5,52.29,24.58,65.63,0.0,20,1,7,2016,SULAWESI TENGGARA,KOTA KENDARI
8,2001008,SMA  NEGERI  4  KENDARI,40402616,N,329,70.83,61.66,58.25,60.53,67.8,78.1,0.0,20,1,8,2016,SULAWESI TENGGARA,KOTA KENDARI
9,2001009,SMA OIKUMENE KENDARI,40402622,S,20,60.2,54.1,59.13,74.25,65.38,80.88,0.0,20,1,9,2016,SULAWESI TENGGARA,KOTA KENDARI
10,2001010,SMA KARYA PURNAWIRAWAN KENDARI,40403186,S,11,41.64,45.82,32.73,70.23,29.77,40.91,0.0,20,1,10,2016,SULAWESI TENGGARA,KOTA KENDARI
11,2001011,SMA NEGERI 5 KENDARI,40402615,N,197,64.13,56.25,59.56,84.91,64.49,65.38,0.0,20,1,11,2016,SULAWESI TENGGARA,KOTA KENDARI
12,2001012,SMA IDHATA KENDARI,40402556,S,18,49.44,46.89,27.78,78.47,20.42,70.28,0.0,20,1,12,2016,SULAWESI TENGGARA,KOTA KENDARI
13,2001014,SMA ILMIAH KENDARI,40402554,S,39,69.9,42.72,57.88,90.64,74.1,82.31,0.0,20,1,14,2016,SULAWESI TENGGARA,KOTA KENDARI
14,2001015,SMA NEGERI 7 KENDARI,40402623,N,68,58.65,43.74,54.45,79.67,53.16,69.12,0.0,20,1,15,2016,SULAWESI TENGGARA,KOTA KENDARI
15,2001016,SMA NEGERI 6 KENDARI,40402614,N,131,60.92,49.5,55.53,78.28,53.76,57.06,0.0,20,1,16,2016,SULAWESI TENGGARA,KOTA KENDARI
16,2001017,SMA ALJABAR KENDARI,69822768,S,8,55.5,49.5,62.81,87.5,66.88,79.69,0.0,20,1,17,2016,SULAWESI TENGGARA,KOTA KENDARI
17,2001018,SMA NEGERI 2 KENDARI,40402618,N,210,65.39,55.68,61.92,87.38,69.37,68.87,0.0,20,1,18,2016,SULAWESI TENGGARA,KOTA KENDARI
18,2001019,SMA NEGERI 8 KENDARI,40402624,N,70,58.06,54.94,62.57,76.54,61.07,71.75,0.0,20,1,19,2016,SULAWESI TENGGARA,KOTA KENDARI
19,2001021,SMA  KARTIKA XX-2 KENDARI,40402589,S,111,61.71,51.05,59.86,92.39,63.65,69.98,0.0,20,1,21,2016,SULAWESI TENGGARA,KOTA KENDARI
20,2001022,SMA SATRIA KENDARI,40403135,S,21,42.29,42.95,53.21,92.38,43.57,55.12,0.0,20,1,22,2016,SULAWESI TENGGARA,KOTA KENDARI
21,2001023,SMA HASRATI KENDARI,40402557,S,10,44.4,43.4,27.0,59.25,28.25,49.0,0.0,20,1,23,2016,SULAWESI TENGGARA,KOTA KENDARI
22,2001024,MAN 1 KENDARI,40405909,N,128,63.64,52.7,51.37,80.64,66.35,62.73,0.0,20,1,24,2016,SULAWESI TENGGARA,KOTA KENDARI
23,2001025,MA PESRI KENDARI,60729400,S,27,59.63,52.59,60.83,71.94,73.33,71.57,0.0,20,1,25,2016,SULAWESI TENGGARA,KOTA KENDARI
24,2001026,MA  DDI LABIBIA,40404107,S,9,61.33,37.11,18.33,21.67,29.72,29.17,0.0,20,1,26,2016,SULAWESI TENGGARA,KOTA KENDARI
25,2001028,MA DARUL MUKHLISIN,60730010,S,16,59.88,33.0,21.09,52.34,29.06,31.09,0.0,20,1,28,2016,SULAWESI TENGGARA,KOTA KENDARI
26,2001031,MA ASY-SYAFIIYAH KENDARI,60729403,S,6,49.33,39.0,51.67,50.83,43.33,40.42,0.0,20,1,31,2016,SULAWESI TENGGARA,KOTA KENDARI
27,2001032,MA AL-FATH,69788228,S,7,66.29,28.29,24.29,23.93,37.86,29.64,0.0,20,1,32,2016,SULAWESI TENGGARA,KOTA KENDARI
28,2001033,SMA NEGERI 10 KENDARI,69762786,N,71,55.52,47.13,58.1,85.14,62.61,59.61,0.0,20,1,33,2016,SULAWESI TENGGARA,KOTA KENDARI
29,2002001,SMA NEGERI 1 BAUBAU,40402755,N,334,67.18,59.5,74.74,86.77,62.6,67.31,0.0,20,2,1,2016,SULAWESI TENGGARA,KOTA BAUBAU
30,2002002,SMA NEGERI 5 BAUBAU,40402977,N,111,56.94,54.14,58.09,82.36,35.56,61.76,0.0,20,2,2,2016,SULAWESI TENGGARA,KOTA BAUBAU
31,2002003,SMA NEGERI 6 BAUBAU,40402978,N,60,60.4,54.47,56.58,77.67,48.38,66.08,0.0,20,2,3,2016,SULAWESI TENGGARA,KOTA BAUBAU
32,2002004,SMA SWASTA 1 MUHAMMADIYAH BAUBAU,40402980,S,32,47.0,40.0,38.98,57.11,22.5,40.47,0.0,20,2,4,2016,SULAWESI TENGGARA,KOTA BAUBAU
