No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
1,2801001,"SMA NEGERI 1 TAMANSARI, PANGKALPINANG",10901104,N,64,79.75,67.91,46.68,51.35,75.32,67.71,0.0,28,1,1,2018,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
2,2801002,"SMA NEGERI 2 BUKIT INTAN, PANGKALPINANG",10901134,N,120,70.05,51.28,36.15,50.1,59.67,66.6,0.0,28,1,2,2018,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
3,2801003,"SMA NEGERI 3 RANGKUI, PANGKALPINANG",10901135,N,116,70.07,49.62,34.14,46.76,62.0,58.03,0.0,28,1,3,2018,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
4,2801004,"SMA NEGERI 4 GABEK, PANGKALPINANG",10901153,N,130,70.22,47.12,31.98,51.38,61.33,56.5,0.0,28,1,4,2018,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
5,2801005,"SMA SANTO YOSEF RANGKUI, PANGKALPINANG",10901100,S,154,72.81,66.56,48.59,63.44,63.78,59.14,0.0,28,1,5,2018,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
6,2801006,"SMA MUHAMMADIYAH RANGKUI, PANGKALPINANG",10901098,S,7,58.86,36.29,26.07,0.0,56.5,42.67,0.0,28,1,6,2018,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
7,2801007,"SMA SWADAYA GIRIMAYA, PANGKALPINANG",10901101,S,11,60.36,41.45,23.41,0.0,55.5,56.0,0.0,28,1,7,2018,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
8,2801008,"SMA THB BUKIT INTAN, PANGKALPINANG",10901103,S,10,52.0,34.4,28.5,0.0,47.0,0.0,0.0,28,1,8,2018,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
9,2801009,"SMA DEPATI AMIR PANGKALBALAM, PANGKALPINANG",10901097,S,13,51.85,38.31,27.88,0.0,47.54,0.0,0.0,28,1,9,2018,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
10,2801010,"SMA PGRI  GERUNGGANG, PANGKALPINANG",10901099,S,14,58.29,32.29,27.68,35.0,52.0,0.0,0.0,28,1,10,2018,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
11,2801011,MAN 1 PANGKALPINANG,10901910,N,134,59.9,34.6,29.65,40.2,50.64,47.89,0.0,28,1,11,2018,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
12,2801012,"MA DARUSSALAM GERUNGGANG, PANGKALPINANG",10901909,S,49,48.73,37.35,25.56,45.0,46.56,39.33,0.0,28,1,12,2018,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
13,2801014,"MA HIDAYATUSSALIKIN BUKIT INTAN, PANGKALPINANG",10901908,S,8,75.0,44.5,33.44,0.0,0.0,48.0,0.0,28,1,14,2018,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
14,2801016,"SMAK SEMINARI MARIO JOHN BOEN KEUSKUPAN, PANGKALPI",69815370,S,15,74.13,61.07,56.83,0.0,74.89,75.0,0.0,28,1,16,2018,BANGKA BELITUNG,BANGKA BELITUNG,KOTA PANGKALPINANG
15,2802001,"SMA NEGERI 1 SUNGAILIAT, BANGKA",10900232,N,119,75.46,57.51,40.82,54.52,64.98,68.0,0.0,28,2,1,2018,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
16,2802002,"SMA NEGERI 1 PEMALI, BANGKA",10900235,N,133,65.17,42.02,31.41,46.14,58.8,51.66,0.0,28,2,2,2018,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
17,2802003,"SMA NEGERI 1 MERAWANG, BANGKA",10900236,N,59,58.34,38.34,29.28,41.36,54.77,42.0,0.0,28,2,3,2018,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
18,2802004,"SMA NEGERI 1 BELINYU, BANGKA",10900238,N,97,75.51,54.99,47.01,65.12,66.47,72.75,0.0,28,2,4,2018,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
19,2802005,"SMA NEGERI 1 PUDING BESAR, BANGKA",10900233,N,93,63.72,37.78,27.88,49.83,55.31,55.12,0.0,28,2,5,2018,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
20,2802006,"SMA NEGERI 1 MENDO BARAT, BANGKA",10900237,N,99,63.19,36.12,31.19,51.67,53.69,58.56,0.0,28,2,6,2018,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
21,2802007,"SMA BAKTI SUNGAILIAT, BANGKA",10900213,S,14,49.43,33.71,24.11,0.0,42.57,0.0,0.0,28,2,7,2018,BANGKA BELITUNG,BANGKA BELITUNG,KABUPATEN BANGKA
