No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
1,2801101,"SMK NEGERI 1 TAMANSARI, PANGKALPINANG",10901156,N,269,80.07,60.64,64.64,60.9,"66,56",28,1,101,2018,BANGKA BELITUNG,KOTA PANGKALPINANG
2,2801102,"SMK NEGERI 2 TAMANSARI, PANGKALPINANG",10901157,N,485,70.94,48.18,33.56,46.35,"49,76",28,1,102,2018,BANGKA BELITUNG,KOTA PANGKALPINANG
3,2801103,"SMK NEGERI 3 GIRIMAYA, PANGKALPINANG",10901158,N,213,69.25,43.76,36.51,53.04,"50,64",28,1,103,2018,BANGKA BELITUNG,KOTA PANGKALPINANG
4,2801104,"SMK NEGERI 4 BUKIT INTAN, PANGKALPINANG",10901159,N,134,61.81,32.87,28.17,37.5,"40,09",28,1,104,2018,BANGKA BELITUNG,KOTA PANGKALPINANG
5,2801105,"SMK SORE BUKIT INTAN, PANGKALPINANG",10901162,S,93,63.85,36.47,33.12,40.4,"43,46",28,1,105,2018,BANGKA BELITUNG,KOTA PANGKALPINANG
6,2801106,"SMK PGRI BUKIT INTAN, PANGKALPINANG",10901161,S,56,61.57,37.18,28.04,35.76,"40,64",28,1,106,2018,BANGKA BELITUNG,KOTA PANGKALPINANG
7,2801107,"SMK BAKTI RANGKUI, PANGKALPINANG",10901154,S,204,76.54,53.87,56.81,52.65,"59,97",28,1,107,2018,BANGKA BELITUNG,KOTA PANGKALPINANG
8,2801108,"SMK TUNAS KARYA RANGKUI, PANGKALPINANG",10901163,S,38,68.11,40.21,40.0,43.68,"48,00",28,1,108,2018,BANGKA BELITUNG,KOTA PANGKALPINANG
9,2801109,"SMK NEGERI 5 GIRIMAYA, PANGKALPINANG",10901951,N,137,75.69,51.68,40.75,58.18,"56,58",28,1,109,2018,BANGKA BELITUNG,KOTA PANGKALPINANG
10,2802101,"SMK NEGERI 1 SUNGAILIAT, BANGKA",10900228,N,363,77.11,53.69,44.1,54.75,"57,41",28,2,101,2018,BANGKA BELITUNG,KABUPATEN BANGKA
11,2802102,"SMK NEGERI 2 SUNGAILIAT,  BANGKA",10900227,N,174,64.46,36.15,30.69,44.51,"43,95",28,2,102,2018,BANGKA BELITUNG,KABUPATEN BANGKA
12,2802103,"SMK NEGERI 1 MENDO BARAT, BANGKA",10900229,N,77,66.49,33.69,29.94,40.78,"42,73",28,2,103,2018,BANGKA BELITUNG,KABUPATEN BANGKA
13,2802104,"SMK YAPENSU SUNGAILIAT, BANGKA",10900225,S,215,66.77,40.72,33.93,44.08,"46,38",28,2,104,2018,BANGKA BELITUNG,KABUPATEN BANGKA
14,2802105,"SMK ELJOHN SUNGAILIAT, BANGKA",10900231,S,13,59.69,29.08,25.0,38.27,"38,01",28,2,105,2018,BANGKA BELITUNG,KABUPATEN BANGKA
15,2802106,"SMK MUHAMMADIYAH SUNGAILIAT, BANGKA",10900230,S,127,61.35,33.34,27.15,35.98,"39,46",28,2,106,2018,BANGKA BELITUNG,KABUPATEN BANGKA
16,2802107,"SMK YAPENKOS BELINYU, BANGKA",10900226,S,95,70.38,46.23,49.53,53.32,"54,87",28,2,107,2018,BANGKA BELITUNG,KABUPATEN BANGKA
17,2802108,"SMK YPN BELINYU, BANGKA",10900207,S,192,69.08,36.39,32.58,35.07,"43,28",28,2,108,2018,BANGKA BELITUNG,KABUPATEN BANGKA
18,2802109,SMK NEGERI 1 BELINYU,10901844,N,67,71.85,45.49,36.34,52.57,"51,56",28,2,109,2018,BANGKA BELITUNG,KABUPATEN BANGKA
19,2802110,"SMK KESEHATAN MUTIARA MANDIRI, SUNGAILIAT",60726519,S,53,69.58,45.77,33.07,46.98,"48,85",28,2,110,2018,BANGKA BELITUNG,KABUPATEN BANGKA
20,2802111,"SMK NEGERI 1 BAKAM, BANGKA",69830142,N,78,61.59,35.1,30.26,39.46,"41,60",28,2,111,2018,BANGKA BELITUNG,KABUPATEN BANGKA
21,2803101,"SMK NEGERI 1 KELAPA, BANGKA BARAT",10900601,N,172,62.55,33.88,30.03,40.0,"41,62",28,3,101,2018,BANGKA BELITUNG,KABUPATEN BANGKA BARAT
