KODE,NAMA PROVINSI,BAHASA INDONESIA,BAHASA INGGRIS,MATEMATIKA,FISIKA,KIMIA,BIOLOGI,RERATA NILAI,Tahun,Status
1,DKI JAKARTA,-8.159999999999997,-10.369999999999997,-5.189999999999998,-18.300000000000004,-10.490000000000002,-4.060000000000002,-9.429999999999993,2015-2016,NS
2,JAWA BARAT,-8.540000000000006,-8.920000000000002,2.190000000000005,-12.659999999999997,-3.8900000000000006,-4.68,-6.080000000000005,2015-2016,NS
3,JAWA TENGAH,-6.549999999999997,-6.550000000000004,3.6600000000000037,-6.660000000000004,0.7999999999999972,2.6400000000000006,-2.1099999999999994,2015-2016,NS
4,DI YOGYAKARTA,-7.670000000000002,-7.859999999999999,0.0799999999999983,-11.18,-4.210000000000001,-4.769999999999996,-5.93,2015-2016,NS
5,JAWA TIMUR,-6.88000000000001,-11.540000000000006,-6.509999999999998,-14.189999999999998,-2.009999999999998,-2.1300000000000097,-7.210000000000008,2015-2016,NS
6,ACEH,-15.25,-20.42,-18.790000000000006,-19.580000000000005,-26.539999999999992,-15.850000000000001,-19.409999999999997,2015-2016,NS
7,SUMATERA UTARA,-11.219999999999999,-11.18,-9.230000000000004,-7.210000000000008,-2.9000000000000057,-3.039999999999992,-7.460000000000008,2015-2016,NS
8,SUMATERA BARAT,-9.47999999999999,-4.390000000000001,-5.760000000000005,-14.279999999999994,-10.870000000000005,-11.889999999999993,-9.440000000000005,2015-2016,NS
9,RIAU,-9.179999999999993,-14.100000000000001,-12.700000000000003,-18.659999999999997,-13.399999999999999,-9.730000000000004,-12.959999999999994,2015-2016,NS
10,JAMBI,-8.86999999999999,-16.519999999999996,-9.379999999999995,-13.729999999999997,-15.89,-9.649999999999999,-12.339999999999996,2015-2016,NS
11,SUMATERA SELATAN,-11.949999999999996,-16.169999999999995,-19.909999999999997,-26.49000000000001,-22.440000000000005,-13.36,-18.389999999999993,2015-2016,NS
12,LAMPUNG,-8.950000000000003,-9.980000000000004,-1.0699999999999932,2.1499999999999986,-2.8500000000000014,-4.509999999999998,-4.210000000000001,2015-2016,NS
13,KALIMANTAN BARAT,-10.060000000000002,-14.510000000000005,-3.219999999999999,-0.14999999999999858,-2.9599999999999937,-1.1199999999999974,-5.339999999999996,2015-2016,NS
14,KALIMANTAN TENGAH,-9.86,-7.710000000000001,-2.710000000000001,-7.619999999999997,-4.789999999999999,-2.0500000000000043,-5.789999999999999,2015-2016,NS
