KODE,NAMA PROVINSI,BAHASA INDONESIA,BAHASA INGGRIS,MATEMATIKA,FISIKA,KIMIA,BIOLOGI,RERATA NILAI,Tahun,Status
1,DKI JAKARTA,-7.8799999999999955,-9.860000000000014,-4.890000000000001,-20.059999999999995,-13.25,-2.839999999999989,-9.789999999999992,2015-2016,N
2,JAWA BARAT,-8.669999999999987,-8.850000000000001,2.469999999999999,-13.43,-4.960000000000001,-4.439999999999998,-6.309999999999995,2015-2016,N
3,JAWA TENGAH,-6.849999999999994,-7.230000000000004,3.1799999999999997,-7.43,-0.03999999999999915,2.0999999999999943,-2.719999999999999,2015-2016,N
4,DI YOGYAKARTA,-7.779999999999987,-7.93,0.19999999999999574,-11.079999999999998,-5.549999999999997,-4.799999999999997,-6.159999999999997,2015-2016,N
5,JAWA TIMUR,-7.060000000000002,-11.900000000000006,-5.8799999999999955,-13.849999999999994,-2.180000000000007,-1.4699999999999989,-7.060000000000002,2015-2016,N
6,ACEH,-15.709999999999994,-20.940000000000005,-19.799999999999997,-20.57,-27.400000000000006,-16.42,-20.140000000000008,2015-2016,N
7,SUMATERA UTARA,-10.740000000000009,-11.25,-8.719999999999999,-7.230000000000004,-3.730000000000004,-2.780000000000001,-7.400000000000006,2015-2016,N
8,SUMATERA BARAT,-9.329999999999998,-4.869999999999997,-6.380000000000003,-14.430000000000007,-11.629999999999995,-12.050000000000004,-9.780000000000001,2015-2016,N
9,RIAU,-9.510000000000005,-14.690000000000005,-13.079999999999998,-19.6,-14.300000000000004,-9.899999999999999,-13.520000000000003,2015-2016,N
10,JAMBI,-8.740000000000009,-16.549999999999997,-9.07,-13.989999999999995,-15.550000000000004,-9.480000000000004,-12.230000000000004,2015-2016,N
11,SUMATERA SELATAN,-11.620000000000005,-16.259999999999998,-19.5,-25.980000000000004,-21.260000000000005,-13.010000000000005,-17.940000000000005,2015-2016,N
12,LAMPUNG,-8.679999999999993,-10.009999999999998,-1.0200000000000031,2.0700000000000003,-2.1599999999999966,-4.519999999999996,-4.049999999999997,2015-2016,N
13,KALIMANTAN BARAT,-10.310000000000002,-14.909999999999997,-2.950000000000003,0.20000000000000284,-2.5900000000000034,-1.0,-5.260000000000005,2015-2016,N
14,KALIMANTAN TENGAH,-9.719999999999999,-7.939999999999998,-3.289999999999999,-7.920000000000002,-4.990000000000002,-2.2099999999999937,-6.020000000000003,2015-2016,N
15,KALIMANTAN SELATAN,-6.609999999999999,-19.120000000000005,-19.730000000000004,-21.239999999999995,-6.149999999999999,-4.670000000000002,-12.920000000000009,2015-2016,N
16,KALIMANTAN TIMUR,-7.709999999999994,-13.529999999999994,-5.509999999999998,-15.11,-3.969999999999999,1.1100000000000065,-7.449999999999996,2015-2016,N
17,SULAWESI UTARA,-8.600000000000001,-14.870000000000005,-9.480000000000004,-14.29,-4.1200000000000045,-8.259999999999998,-9.939999999999998,2015-2016,N
