KODE,NAMA PROVINSI,BAHASA INDONESIA,BAHASA INGGRIS,MATEMATIKA,FISIKA,KIMIA,BIOLOGI,RERATA NILAI,Tahun,Status
1,DKI JAKARTA,-8.439999999999998,-11.11999999999999,-5.380000000000003,-15.310000000000002,-5.810000000000002,-5.710000000000001,-8.630000000000003,2015-2016,S
2,JAWA BARAT,-8.219999999999999,-9.019999999999996,1.6299999999999955,-10.880000000000003,-1.5600000000000023,-5.109999999999999,-5.530000000000001,2015-2016,S
3,JAWA TENGAH,-5.900000000000006,-4.8700000000000045,4.690000000000005,-4.810000000000002,2.770000000000003,3.8800000000000026,-0.7100000000000009,2015-2016,S
4,DI YOGYAKARTA,-7.450000000000003,-7.740000000000002,-0.3299999999999983,-11.519999999999996,-0.9099999999999966,-4.790000000000006,-5.449999999999996,2015-2016,S
5,JAWA TIMUR,-6.63000000000001,-10.969999999999999,-7.619999999999997,-14.799999999999997,-1.8400000000000034,-3.3100000000000023,-7.530000000000001,2015-2016,S
6,ACEH,-12.880000000000003,-18.000000000000007,-13.969999999999999,-14.920000000000002,-22.35000000000001,-13.120000000000005,-15.869999999999997,2015-2016,S
7,SUMATERA UTARA,-11.870000000000005,-10.899999999999991,-9.810000000000002,-6.969999999999999,-1.4300000000000068,-3.289999999999992,-7.38000000000001,2015-2016,S
8,SUMATERA BARAT,-10.750000000000007,-0.9699999999999989,-1.1700000000000017,-13.170000000000002,-5.32,-10.869999999999997,-7.049999999999997,2015-2016,S
9,RIAU,-7.960000000000008,-11.830000000000005,-11.370000000000005,-15.18,-10.020000000000003,-9.18,-10.920000000000002,2015-2016,S
10,JAMBI,-9.910000000000004,-16.380000000000003,-11.659999999999997,-12.04,-18.409999999999997,-11.079999999999998,-13.25,2015-2016,S
11,SUMATERA SELATAN,-13.059999999999995,-15.969999999999999,-21.1,-27.89,-25.919999999999995,-14.589999999999996,-19.749999999999993,2015-2016,S
12,LAMPUNG,-9.810000000000002,-9.920000000000002,-1.3099999999999952,2.229999999999997,-4.740000000000002,-4.769999999999996,-4.719999999999999,2015-2016,S
13,KALIMANTAN BARAT,-9.319999999999993,-13.32,-4.039999999999999,-1.1900000000000048,-4.079999999999998,-1.4600000000000009,-5.57,2015-2016,S
14,KALIMANTAN TENGAH,-11.119999999999997,-6.030000000000001,1.8299999999999983,-5.400000000000002,-3.3999999999999986,-0.9200000000000017,-4.170000000000002,2015-2016,S
15,KALIMANTAN SELATAN,-7.010000000000005,-16.42,-16.4,-16.880000000000003,-2.450000000000003,-1.9399999999999977,-10.18,2015-2016,S
16,KALIMANTAN TIMUR,-6.980000000000004,-11.329999999999998,-3.1700000000000017,-13.04,-4.390000000000001,0.6799999999999997,-6.369999999999997,2015-2016,S
17,SULAWESI UTARA,-10.779999999999994,-18.259999999999998,-12.119999999999997,-15.380000000000003,-9.509999999999998,-10.509999999999998,-12.759999999999998,2015-2016,S
18,SULAWESI TENGAH,-4.210000000000001,-9.329999999999998,-3.5799999999999983,-3.8900000000000006,4.660000000000004,0.6500000000000057,-2.6099999999999994,2015-2016,S
19,SULAWESI SELATAN,-13.079999999999998,-15.910000000000004,-4.969999999999999,-21.07,1.8500000000000014,-17.379999999999995,-11.759999999999998,2015-2016,S
20,SULAWESI TENGGARA,-6.990000000000002,-13.690000000000005,-16.589999999999996,-3.6200000000000045,-0.8299999999999983,-8.530000000000001,-8.380000000000003,2015-2016,S
21,MALUKU,0.3499999999999943,-6.640000000000001,1.3400000000000034,-1.3100000000000023,3.8400000000000034,0.46000000000000085,-0.3300000000000054,2015-2016,S
22,BALI,-11.799999999999997,-23.42,-22.020000000000003,-20.839999999999996,-16.240000000000002,-19.02000000000001,-18.89,2015-2016,S
23,NUSA TENGGARA BARAT,-4.710000000000001,-9.299999999999997,-9.759999999999998,-11.030000000000001,-9.479999999999997,-2.0600000000000023,-7.729999999999997,2015-2016,S
24,NUSA TENGGARA TIMUR,-5.779999999999994,-11.149999999999999,-1.9099999999999966,-7.369999999999997,2.239999999999995,0.5600000000000023,-3.8999999999999986,2015-2016,S
25,PAPUA,-2.9100000000000037,-7.939999999999998,-5.02,-6.349999999999998,-4.68,-1.2199999999999989,-4.68,2015-2016,S
26,BENGKULU,-5.3799999999999955,-16.940000000000005,-3.1099999999999994,-20.240000000000002,-8.879999999999999,-16.270000000000003,-11.810000000000002,2015-2016,S
27,MALUKU UTARA,-2.3900000000000006,-10.11,-6.910000000000004,-4.719999999999999,1.7899999999999991,-0.30000000000000426,-3.769999999999996,2015-2016,S
28,BANGKA BELITUNG,-6.630000000000003,-5.1299999999999955,1.9899999999999984,-2.1900000000000013,0.9000000000000057,2.8100000000000023,-1.3800000000000026,2015-2016,S
29,GORONTALO,-4.350000000000001,-21.75,-9.799999999999997,-15.25,2.280000000000001,-16.009999999999998,-10.810000000000002,2015-2016,S
30,BANTEN,-7.039999999999992,-9.879999999999995,-5.130000000000003,-12.5,-8.020000000000003,-5.939999999999998,-8.079999999999998,2015-2016,S
31,KEPULAUAN RIAU,-5.3999999999999915,-7.470000000000006,4.170000000000002,-9.189999999999998,1.0700000000000003,-3.8000000000000043,-3.4299999999999997,2015-2016,S
32,SULAWESI BARAT,-5.950000000000003,-12.729999999999997,-7.879999999999999,-6.880000000000003,-0.8299999999999983,-5.520000000000003,-6.630000000000003,2015-2016,S
33,PAPUA BARAT,-5.539999999999992,-6.919999999999995,-4.980000000000004,-3.289999999999999,-4.780000000000001,-5.240000000000002,-5.1200000000000045,2015-2016,S
34,KALIMANTAN UTARA,-6.439999999999998,-7.969999999999999,2.0299999999999976,-2.1099999999999994,1.3800000000000026,7.32,-0.9600000000000009,2015-2016,S
1,DKI JAKARTA,-1.8299999999999983,-7.259999999999991,-10.860000000000007,-16.440000000000005,-7.829999999999998,-13.190000000000005,-7.960000000000008,2015-2017,S
2,JAWA BARAT,-5.310000000000002,-11.529999999999994,-13.610000000000007,-15.170000000000002,-6.850000000000001,-15.39,-10.550000000000004,2015-2017,S
3,JAWA TENGAH,-1.6099999999999994,-8.11,-4.1299999999999955,-2.9200000000000017,6.710000000000001,-3.530000000000001,-1.6599999999999966,2015-2017,S
4,DI YOGYAKARTA,-1.2900000000000063,-2.280000000000001,0.5,-2.0,5.990000000000002,-3.1200000000000045,1.7100000000000009,2015-2017,S
5,JAWA TIMUR,-4.010000000000005,-21.380000000000003,-23.759999999999998,-20.349999999999994,-4.030000000000001,-16.760000000000005,-14.600000000000001,2015-2017,S
6,ACEH,-11.490000000000002,-28.630000000000003,-27.739999999999995,-32.13,-28.680000000000007,-28.68,-24.299999999999997,2015-2017,S
7,SUMATERA UTARA,-15.170000000000002,-19.93,-21.900000000000006,-25.200000000000003,-24.60000000000001,-17.879999999999995,-20.140000000000008,2015-2017,S
8,SUMATERA BARAT,-6.400000000000006,-0.3400000000000034,-8.25,-25.4,-15.279999999999994,-13.160000000000004,-10.090000000000003,2015-2017,S
9,RIAU,-4.900000000000006,-14.64,-20.1,-21.199999999999996,-11.490000000000002,-18.57,-14.220000000000006,2015-2017,S
10,JAMBI,-6.109999999999999,-12.030000000000001,-8.850000000000001,2.1000000000000014,-11.799999999999997,-15.25,-8.110000000000007,2015-2017,S
11,SUMATERA SELATAN,-11.779999999999994,-24.159999999999997,-35.72,-33.77,-22.859999999999992,-24.75,-24.869999999999997,2015-2017,S
12,LAMPUNG,-7.510000000000005,-17.64,-15.509999999999998,-8.329999999999998,-7.440000000000005,-17.72,-10.759999999999998,2015-2017,S
13,KALIMANTAN BARAT,-6.969999999999999,-20.549999999999997,-16.380000000000003,-10.5,-10.300000000000004,-13.5,-11.840000000000003,2015-2017,S
14,KALIMANTAN TENGAH,-8.340000000000003,-7.880000000000003,-0.5800000000000018,-6.0000000000000036,-4.450000000000003,-2.25,-1.1499999999999986,2015-2017,S
15,KALIMANTAN SELATAN,-1.4399999999999977,-13.700000000000003,-27.499999999999996,-22.130000000000003,-2.1799999999999997,-12.240000000000002,-11.280000000000001,2015-2017,S
16,KALIMANTAN TIMUR,-0.060000000000002274,-1.2800000000000011,-3.0700000000000003,-1.7299999999999969,3.240000000000002,-2.710000000000001,0.7199999999999989,2015-2017,S
17,SULAWESI UTARA,-8.829999999999991,-15.299999999999997,-25.989999999999995,-25.180000000000007,-10.990000000000002,-22.199999999999996,-16.71,2015-2017,S
18,SULAWESI TENGAH,-1.4299999999999997,-4.359999999999999,-6.989999999999998,-5.380000000000003,14.46,-4.989999999999995,-1.019999999999996,2015-2017,S
19,SULAWESI SELATAN,-13.159999999999997,-13.010000000000005,-26.549999999999997,-35.51,0.6900000000000048,-28.929999999999993,-18.659999999999997,2015-2017,S
20,SULAWESI TENGGARA,-4.270000000000003,-1.0300000000000011,-6.789999999999992,-6.880000000000003,8.280000000000001,-6.560000000000002,-2.960000000000001,2015-2017,S
21,MALUKU,-6.3700000000000045,0.480000000000004,1.8000000000000043,-8.230000000000004,8.970000000000006,1.2299999999999969,0.8099999999999952,2015-2017,S
22,BALI,-7.8999999999999915,-17.17,-31.450000000000003,-37.64999999999999,-20.660000000000004,-29.980000000000004,-21.89,2015-2017,S
23,NUSA TENGGARA BARAT,-5.010000000000005,-7.869999999999997,-15.189999999999998,-12.479999999999997,-0.8399999999999963,-4.710000000000001,-6.539999999999999,2015-2017,S
24,NUSA TENGGARA TIMUR,-3.5899999999999963,-5.850000000000001,-0.9999999999999964,0.3500000000000014,7.43,3.5700000000000003,1.4099999999999966,2015-2017,S
25,PAPUA,-6.850000000000001,-3.9299999999999997,-5.459999999999997,-1.8099999999999952,-0.30999999999999517,-1.6099999999999994,-2.240000000000002,2015-2017,S
26,BENGKULU,-3.009999999999991,-19.700000000000003,-3.8100000000000023,-18.260000000000005,-4.369999999999997,-19.020000000000003,-9.810000000000002,2015-2017,S
27,MALUKU UTARA,-5.890000000000001,-2.3799999999999955,-6.940000000000005,-13.32,-2.5700000000000003,-2.3700000000000045,-3.1099999999999994,2015-2017,S
28,BANGKA BELITUNG,-0.1599999999999966,-5.369999999999997,7.459999999999997,10.36,14.86,5.230000000000004,6.270000000000003,2015-2017,S
