KODE,NAMA PROVINSI,BAHASA INDONESIA,BAHASA INGGRIS,MATEMATIKA,EKONOMI,SOSIOLOGI,GEOGRAFI,RERATA NILAI,Tahun,Status
1,DKI JAKARTA,-6.230000000000004,-14.86,-6.359999999999999,-10.049999999999997,-12.940000000000005,1.0999999999999943,-8.219999999999999,2015-2016,NS
2,JAWA BARAT,-5.009999999999998,-9.79,-4.210000000000001,3.710000000000001,1.8800000000000026,4.409999999999997,-1.5,2015-2016,NS
3,JAWA TENGAH,-5.329999999999998,-5.399999999999999,0.0899999999999963,-3.019999999999996,-4.600000000000001,15.470000000000006,-0.47000000000000597,2015-2016,NS
4,DI YOGYAKARTA,-7.239999999999995,-8.61,-4.199999999999996,5.759999999999998,-3.469999999999999,8.699999999999996,-1.509999999999998,2015-2016,NS
5,JAWA TIMUR,-6.700000000000003,-11.409999999999997,-7.030000000000001,2.75,-15.349999999999994,6.539999999999999,-5.200000000000003,2015-2016,NS
6,ACEH,-14.530000000000001,-19.559999999999995,-21.989999999999995,-1.5600000000000023,-12.530000000000001,-6.57,-12.79,2015-2016,NS
7,SUMATERA UTARA,-10.969999999999999,-10.740000000000002,-2.219999999999999,3.210000000000008,-10.11999999999999,9.36,-3.5799999999999983,2015-2016,NS
8,SUMATERA BARAT,-10.439999999999998,-4.6399999999999935,-21.569999999999993,-8.030000000000001,-8.739999999999995,10.530000000000001,-7.140000000000001,2015-2016,NS
9,RIAU,-6.819999999999993,-14.68,-9.32,-0.1700000000000017,-10.340000000000003,6.439999999999998,-5.82,2015-2016,NS
10,JAMBI,-8.560000000000002,-14.799999999999997,-14.11,-7.839999999999996,-11.57,-2.460000000000001,-9.89,2015-2016,NS
11,SUMATERA SELATAN,-13.799999999999997,-17.379999999999995,-23.509999999999998,-13.129999999999995,-14.840000000000003,-7.369999999999997,-15.009999999999998,2015-2016,NS
12,LAMPUNG,-8.599999999999994,-11.219999999999999,-9.89,2.299999999999997,0.0899999999999963,6.1200000000000045,-3.530000000000001,2015-2016,NS
13,KALIMANTAN BARAT,-9.299999999999997,-14.75,-0.4299999999999997,5.479999999999997,-9.46,6.82,-3.6099999999999994,2015-2016,NS
14,KALIMANTAN TENGAH,-9.61,-7.840000000000003,-4.919999999999995,3.6200000000000045,-3.5999999999999943,4.080000000000005,-3.039999999999999,2015-2016,NS
15,KALIMANTAN SELATAN,-6.3899999999999935,-18.03,-9.100000000000001,-6.020000000000003,-9.220000000000006,6.350000000000001,-7.07,2015-2016,NS
16,KALIMANTAN TIMUR,-8.060000000000002,-12.68,-10.36,-3.299999999999997,-7.939999999999998,3.6099999999999994,-6.450000000000003,2015-2016,NS
17,SULAWESI UTARA,-8.269999999999996,-14.950000000000003,-14.340000000000003,-6.340000000000003,-8.959999999999994,-1.6099999999999994,-9.079999999999998,2015-2016,NS
18,SULAWESI TENGAH,-6.199999999999996,-11.350000000000001,-3.210000000000001,-0.20999999999999375,-1.7199999999999989,4.130000000000003,-3.1000000000000014,2015-2016,NS
19,SULAWESI SELATAN,-12.699999999999996,-18.190000000000005,-13.54,-10.910000000000004,-1.730000000000004,-2.1499999999999986,-9.869999999999997,2015-2016,NS
20,SULAWESI TENGGARA,-7.170000000000002,-14.620000000000005,-8.719999999999999,-8.219999999999999,-8.009999999999998,0.5499999999999972,-7.700000000000003,2015-2016,NS
21,MALUKU,-0.25,-6.770000000000003,0.6300000000000026,0.9500000000000028,-10.600000000000001,7.760000000000005,-1.3799999999999955,2015-2016,NS
22,BALI,-12.43,-34.09,-26.439999999999998,-20.799999999999997,-18.570000000000007,-10.769999999999996,-20.509999999999998,2015-2016,NS
23,NUSA TENGGARA BARAT,-2.5899999999999963,-8.600000000000001,0.6300000000000026,2.6799999999999997,0.35999999999999943,2.3399999999999963,-0.8699999999999974,2015-2016,NS
24,NUSA TENGGARA TIMUR,-5.659999999999997,-9.440000000000005,-2.3299999999999983,2.479999999999997,-3.1700000000000017,4.979999999999997,-2.1899999999999977,2015-2016,NS
25,PAPUA,-2.0600000000000023,-8.93,-8.020000000000003,-6.380000000000003,-12.769999999999996,4.020000000000003,-5.689999999999998,2015-2016,NS
26,BENGKULU,-1.7800000000000011,-11.100000000000001,-1.1000000000000014,5.140000000000001,2.8200000000000003,10.149999999999999,0.6899999999999977,2015-2016,NS
27,MALUKU UTARA,-5.5,-10.0,-13.160000000000004,-6.439999999999998,-17.14,3.75,-8.079999999999998,2015-2016,NS
28,BANGKA BELITUNG,-7.029999999999994,-6.660000000000004,-3.809999999999995,4.25,-2.8200000000000003,8.759999999999998,-1.2100000000000009,2015-2016,NS
29,GORONTALO,-6.600000000000001,-22.419999999999995,-9.879999999999995,-11.439999999999998,-9.659999999999997,0.6099999999999994,-9.899999999999999,2015-2016,NS
30,BANTEN,-8.479999999999997,-9.780000000000001,-8.11,3.8500000000000014,-4.57,1.8099999999999952,-4.219999999999999,2015-2016,NS
31,KEPULAUAN RIAU,-7.170000000000002,-8.869999999999997,-4.210000000000001,3.8699999999999974,-4.089999999999996,8.82,-1.9500000000000028,2015-2016,NS
32,SULAWESI BARAT,-13.160000000000004,-15.04,-14.090000000000003,-9.909999999999997,-14.619999999999997,-6.910000000000004,-12.29,2015-2016,NS
33,PAPUA BARAT,-6.059999999999995,-11.760000000000005,-9.57,-7.699999999999996,-16.419999999999995,1.5,-8.329999999999998,2015-2016,NS
34,KALIMANTAN UTARA,-6.340000000000003,-8.04,-1.6900000000000013,3.200000000000003,-4.030000000000001,5.599999999999994,-1.8800000000000026,2015-2016,NS
1,DKI JAKARTA,0.12999999999999545,-11.61,-4.109999999999999,-1.3299999999999983,-2.470000000000013,-0.0799999999999983,-4.459999999999994,2015-2017,NS
2,JAWA BARAT,-6.899999999999999,-15.11,-19.259999999999998,-2.719999999999999,4.939999999999998,-5.539999999999999,-8.470000000000006,2015-2017,NS
3,JAWA TENGAH,-3.3499999999999943,-11.68,-6.560000000000002,0.5100000000000051,-0.5700000000000003,8.600000000000001,-4.300000000000004,2015-2017,NS
4,DI YOGYAKARTA,-3.1400000000000006,-6.560000000000002,-0.030000000000001137,16.879999999999995,7.730000000000004,9.559999999999995,2.1099999999999994,2015-2017,NS
5,JAWA TIMUR,-7.280000000000001,-25.67,-23.880000000000003,-6.789999999999999,-12.36999999999999,-0.30000000000000426,-14.280000000000001,2015-2017,NS
6,ACEH,-17.299999999999997,-31.869999999999997,-32.83,-16.450000000000003,-13.339999999999996,-18.75,-22.15,2015-2017,NS
7,SUMATERA UTARA,-16.560000000000002,-21.089999999999996,-22.589999999999996,-14.469999999999992,-8.529999999999994,-6.119999999999997,-14.919999999999995,2015-2017,NS
8,SUMATERA BARAT,-7.839999999999996,-3.6199999999999974,-24.449999999999996,-8.230000000000004,-3.1799999999999997,3.759999999999998,-7.490000000000002,2015-2017,NS
9,RIAU,-7.579999999999998,-22.97,-21.58,-10.61,-6.190000000000005,-2.3799999999999955,-12.440000000000005,2015-2017,NS
10,JAMBI,-8.730000000000004,-16.07,-14.549999999999997,-4.599999999999994,-5.559999999999995,-7.780000000000001,-10.199999999999996,2015-2017,NS
11,SUMATERA SELATAN,-15.129999999999995,-26.659999999999997,-33.769999999999996,-15.969999999999999,-12.880000000000003,-16.14,-21.019999999999996,2015-2017,NS
12,LAMPUNG,-8.099999999999994,-18.96,-18.119999999999997,-2.530000000000001,4.399999999999999,-3.6999999999999957,-8.880000000000003,2015-2017,NS
