KODE,NAMA PROVINSI,BAHASA INDONESIA,BAHASA INGGRIS,MATEMATIKA,EKONOMI,SOSIOLOGI,GEOGRAFI,RERATA NILAI,Tahun,Status
1,DKI JAKARTA,-6.25,-16.300000000000004,-7.019999999999996,-12.410000000000004,-13.75,-0.18999999999999773,-9.32,2015-2016,N
2,JAWA BARAT,-5.079999999999998,-10.11,-4.119999999999997,3.0800000000000054,1.4399999999999977,4.410000000000004,-1.7299999999999969,2015-2016,N
3,JAWA TENGAH,-5.859999999999999,-5.850000000000001,-0.6200000000000045,-2.969999999999999,-6.43,16.090000000000003,-0.9399999999999977,2015-2016,N
4,DI YOGYAKARTA,-7.790000000000006,-9.769999999999996,-5.32,5.8799999999999955,-4.280000000000001,8.779999999999994,-2.0799999999999983,2015-2016,N
5,JAWA TIMUR,-6.319999999999993,-13.700000000000003,-6.299999999999997,2.9000000000000057,-15.709999999999994,8.199999999999996,-5.150000000000006,2015-2016,N
6,ACEH,-15.359999999999992,-20.919999999999995,-23.630000000000003,-2.5700000000000003,-13.199999999999996,-7.57,-13.879999999999995,2015-2016,N
7,SUMATERA UTARA,-10.200000000000003,-10.839999999999996,-2.8299999999999983,3.460000000000008,-9.350000000000001,8.56000000000001,-3.530000000000001,2015-2016,N
8,SUMATERA BARAT,-10.500000000000007,-5.420000000000002,-23.199999999999996,-8.670000000000002,-9.639999999999993,10.529999999999994,-7.810000000000002,2015-2016,N
9,RIAU,-7.18,-15.909999999999997,-10.61,-0.35999999999999943,-10.870000000000005,6.350000000000001,-6.43,2015-2016,N
10,JAMBI,-8.679999999999993,-16.560000000000002,-14.39,-8.39,-11.79,-1.5,-10.219999999999999,2015-2016,N
11,SUMATERA SELATAN,-13.649999999999999,-17.770000000000003,-23.310000000000002,-13.329999999999998,-14.14,-6.700000000000003,-14.82,2015-2016,N
12,LAMPUNG,-8.0,-11.440000000000005,-10.299999999999997,3.190000000000005,0.9299999999999997,6.720000000000006,-3.1499999999999986,2015-2016,N
13,KALIMANTAN BARAT,-9.590000000000003,-14.649999999999999,0.07000000000000028,5.859999999999999,-9.509999999999998,6.769999999999996,-3.509999999999998,2015-2016,N
14,KALIMANTAN TENGAH,-9.130000000000003,-8.489999999999995,-5.43,3.0600000000000023,-3.5500000000000043,3.969999999999999,-3.259999999999998,2015-2016,N
15,KALIMANTAN SELATAN,-6.509999999999998,-19.75,-11.0,-6.689999999999998,-10.469999999999999,6.280000000000001,-8.020000000000003,2015-2016,N
16,KALIMANTAN TIMUR,-8.310000000000002,-13.770000000000003,-10.829999999999998,-3.729999999999997,-8.620000000000005,3.6699999999999946,-6.93,2015-2016,N
17,SULAWESI UTARA,-8.719999999999999,-15.820000000000007,-16.090000000000003,-8.230000000000004,-9.89,-2.6599999999999966,-10.230000000000004,2015-2016,N
18,SULAWESI TENGAH,-6.209999999999994,-12.93,-4.490000000000002,-1.2700000000000031,-2.1099999999999994,4.07,-3.8299999999999983,2015-2016,N
19,SULAWESI SELATAN,-12.61,-17.82,-13.100000000000001,-9.800000000000004,-1.3900000000000006,-2.1500000000000057,-9.480000000000004,2015-2016,N
20,SULAWESI TENGGARA,-7.060000000000002,-14.780000000000001,-8.689999999999998,-8.71,-7.869999999999997,0.7899999999999991,-7.719999999999999,2015-2016,N
21,MALUKU,-0.8900000000000006,-7.189999999999998,-0.19000000000000483,0.6600000000000037,-10.979999999999997,7.390000000000001,-1.8699999999999974,2015-2016,N
22,BALI,-12.190000000000005,-34.540000000000006,-26.65,-21.110000000000007,-18.930000000000007,-10.300000000000004,-20.620000000000005,2015-2016,N
23,NUSA TENGGARA BARAT,-3.1399999999999935,-11.950000000000003,-1.3100000000000023,0.4299999999999997,-0.10000000000000142,3.1300000000000026,-2.1599999999999966,2015-2016,N
24,NUSA TENGGARA TIMUR,-5.689999999999998,-9.46,-2.6400000000000006,2.549999999999997,-3.049999999999997,5.089999999999996,-2.200000000000003,2015-2016,N
25,PAPUA,-2.1500000000000057,-8.550000000000004,-6.689999999999998,-5.550000000000004,-12.32,5.57,-4.949999999999996,2015-2016,N
26,BENGKULU,-1.75,-10.980000000000004,-0.45000000000000284,5.740000000000002,2.740000000000002,10.61,0.9799999999999969,2015-2016,N
27,MALUKU UTARA,-6.359999999999999,-10.080000000000005,-13.969999999999999,-6.969999999999999,-17.910000000000004,4.009999999999998,-8.549999999999997,2015-2016,N
28,BANGKA BELITUNG,-7.200000000000003,-7.859999999999999,-5.07,4.5,-3.4099999999999966,9.18,-1.6400000000000006,2015-2016,N
29,GORONTALO,-7.299999999999997,-23.520000000000003,-10.060000000000002,-12.170000000000002,-10.729999999999997,0.6400000000000006,-10.520000000000003,2015-2016,N
30,BANTEN,-7.790000000000006,-12.730000000000004,-12.040000000000006,4.920000000000002,-5.829999999999998,2.1999999999999957,-5.210000000000001,2015-2016,N
31,KEPULAUAN RIAU,-6.909999999999997,-8.879999999999995,-4.219999999999999,3.780000000000001,-3.8200000000000003,8.870000000000005,-1.8599999999999994,2015-2016,N
