KODE,NAMA PROVINSI,BAHASA INDONESIA,BAHASA INGGRIS,MATEMATIKA,EKONOMI,SOSIOLOGI,GEOGRAFI,RERATA NILAI,Tahun,Status
1,DKI JAKARTA,-5.920000000000002,-12.780000000000001,-5.299999999999997,-6.769999999999996,-11.559999999999995,3.1600000000000037,-6.530000000000001,2015-2016,S
2,JAWA BARAT,-4.920000000000002,-9.450000000000003,-4.299999999999997,4.390000000000001,2.3499999999999943,4.450000000000003,-1.25,2015-2016,S
3,JAWA TENGAH,-4.75,-4.910000000000004,0.8299999999999983,-3.1599999999999966,-2.4100000000000037,14.61,0.030000000000001137,2015-2016,S
4,DI YOGYAKARTA,-6.289999999999992,-6.560000000000002,-2.219999999999999,5.579999999999998,-2.0500000000000043,8.590000000000003,-0.490000000000002,2015-2016,S
5,JAWA TIMUR,-6.849999999999994,-9.89,-7.339999999999996,2.780000000000001,-15.02000000000001,5.690000000000005,-5.109999999999999,2015-2016,S
6,ACEH,-8.959999999999994,-10.450000000000003,-11.04,5.07,-8.060000000000002,0.259999999999998,-5.530000000000001,2015-2016,S
7,SUMATERA UTARA,-11.739999999999995,-10.380000000000003,-1.1299999999999955,3.1700000000000017,-10.889999999999993,10.5,-3.4199999999999875,2015-2016,S
8,SUMATERA BARAT,-10.309999999999995,-1.75,-15.579999999999998,-5.719999999999999,-5.460000000000001,10.489999999999995,-4.730000000000004,2015-2016,S
9,RIAU,-6.049999999999997,-12.0,-6.480000000000004,0.36999999999999744,-9.149999999999999,6.640000000000001,-4.440000000000005,2015-2016,S
10,JAMBI,-8.280000000000001,-11.219999999999999,-13.57,-6.729999999999997,-11.129999999999995,-4.369999999999997,-9.219999999999999,2015-2016,S
11,SUMATERA SELATAN,-14.039999999999992,-16.64,-23.619999999999997,-12.730000000000004,-15.880000000000003,-8.46,-15.230000000000004,2015-2016,S
12,LAMPUNG,-9.31000000000001,-11.029999999999994,-9.519999999999996,1.1999999999999957,-0.9500000000000028,5.329999999999998,-4.049999999999997,2015-2016,S
13,KALIMANTAN BARAT,-8.970000000000006,-14.950000000000003,-1.2700000000000031,4.829999999999998,-9.520000000000003,6.780000000000001,-3.8499999999999943,2015-2016,S
14,KALIMANTAN TENGAH,-11.199999999999996,-5.75,-3.269999999999996,5.359999999999999,-3.8200000000000003,4.350000000000001,-2.3900000000000006,2015-2016,S
15,KALIMANTAN SELATAN,-6.07,-13.32,-3.9099999999999966,-4.170000000000002,-5.790000000000006,6.560000000000002,-4.450000000000003,2015-2016,S
16,KALIMANTAN TIMUR,-7.390000000000008,-9.399999999999999,-8.93,-2.0500000000000043,-5.969999999999999,3.25,-5.079999999999998,2015-2016,S
