KODE,NAMA PROVINSI,BAHASA INDONESIA,BAHASA INGGRIS,MATEMATIKA,KOMPETENSI,RERATA NILAI,Tahun,Status
1,DKI JAKARTA,1.8100000000000023,-8.420000000000002,-3.770000000000003,-6.780000000000001,-4.289999999999999,2015-2016,NS
2,JAWA BARAT,3.000000000000007,-1.6399999999999935,-6.169999999999995,-2.450000000000003,-1.8100000000000023,2015-2016,NS
3,JAWA TENGAH,-0.9399999999999977,-2.509999999999998,-11.400000000000006,-9.480000000000004,-6.080000000000005,2015-2016,NS
4,DI YOGYAKARTA,-1.9500000000000028,1.4099999999999966,-6.769999999999996,-2.289999999999992,-2.3999999999999986,2015-2016,NS
5,JAWA TIMUR,-0.5699999999999932,-2.809999999999995,-9.610000000000007,-2.719999999999999,-3.9299999999999997,2015-2016,NS
6,ACEH,2.3400000000000034,-5.359999999999999,-6.649999999999999,-3.8900000000000006,-3.3900000000000006,2015-2016,NS
7,SUMATERA UTARA,4.469999999999999,-4.600000000000001,-11.539999999999992,-3.460000000000008,-3.7900000000000063,2015-2016,NS
8,SUMATERA BARAT,1.6400000000000006,-1.5,-2.8500000000000014,-0.9899999999999949,-0.9200000000000017,2015-2016,NS
9,RIAU,3.2800000000000082,-3.6400000000000006,-6.289999999999999,-2.200000000000003,-2.2099999999999937,2015-2016,NS
10,JAMBI,6.239999999999995,1.8599999999999994,-1.9299999999999997,-2.009999999999991,1.0399999999999991,2015-2016,NS
11,SUMATERA SELATAN,2.3999999999999986,-3.6899999999999977,-6.729999999999997,-2.4799999999999898,-2.6199999999999974,2015-2016,NS
12,LAMPUNG,3.8499999999999943,0.6599999999999966,-2.3100000000000023,-4.640000000000001,-0.6099999999999994,2015-2016,NS
13,KALIMANTAN BARAT,1.5799999999999983,-6.969999999999999,-10.8,-1.7000000000000028,-4.479999999999997,2015-2016,NS
14,KALIMANTAN TENGAH,2.1899999999999977,0.28000000000000114,-5.720000000000006,-3.3100000000000023,-1.6400000000000006,2015-2016,NS
15,KALIMANTAN SELATAN,-1.8399999999999892,1.6300000000000026,-3.5799999999999983,-1.519999999999996,-1.3299999999999983,2015-2016,NS
16,KALIMANTAN TIMUR,-3.210000000000008,3.1700000000000017,-3.280000000000001,-0.8100000000000023,-1.0399999999999991,2015-2016,NS
17,SULAWESI UTARA,-5.43,-3.289999999999999,-9.850000000000001,-3.309999999999988,-5.469999999999999,2015-2016,NS
18,SULAWESI TENGAH,-1.5399999999999991,3.6300000000000026,-2.1400000000000006,-2.1100000000000136,-0.5399999999999991,2015-2016,NS
19,SULAWESI SELATAN,-7.32,-13.600000000000001,-17.43,-2.740000000000009,-10.270000000000003,2015-2016,NS
20,SULAWESI TENGGARA,-3.6799999999999997,3.1799999999999997,-1.2099999999999937,-2.6000000000000085,-1.0799999999999983,2015-2016,NS
21,MALUKU,2.0900000000000034,-1.0200000000000031,-4.369999999999997,-3.75,-1.759999999999998,2015-2016,NS
22,BALI,-11.509999999999998,-11.799999999999997,-26.67,-3.9099999999999966,-13.469999999999999,2015-2016,NS
23,NUSA TENGGARA BARAT,-2.530000000000001,-4.380000000000003,-7.969999999999999,-1.2800000000000011,-4.039999999999999,2015-2016,NS
24,NUSA TENGGARA TIMUR,-2.5799999999999983,3.6799999999999997,-2.0799999999999983,-4.640000000000001,-1.4100000000000037,2015-2016,NS
25,PAPUA,1.9500000000000028,-1.2700000000000031,-3.8200000000000003,0.07000000000000739,-0.759999999999998,2015-2016,NS
26,BENGKULU,4.960000000000001,-1.240000000000002,-1.1800000000000033,-0.8100000000000023,0.4399999999999977,2015-2016,NS
