KODE,NAMA PROVINSI,BAHASA INDONESIA,BAHASA INGGRIS,MATEMATIKA,KOMPETENSI,RERATA NILAI,Tahun,Status
1,DKI JAKARTA,0.37999999999999545,-0.6200000000000045,2.280000000000001,-5.429999999999993,-0.8500000000000085,2015-2016,N
2,JAWA BARAT,0.3299999999999983,-4.640000000000001,-11.579999999999998,-3.4099999999999966,-4.829999999999998,2015-2016,N
3,JAWA TENGAH,-2.5400000000000063,-2.1699999999999946,-12.209999999999994,-7.670000000000002,-6.1499999999999915,2015-2016,N
4,DI YOGYAKARTA,-2.989999999999995,1.6799999999999997,-8.099999999999994,-1.6599999999999966,-2.7700000000000102,2015-2016,N
5,JAWA TIMUR,-1.6499999999999915,-3.6400000000000006,-11.380000000000003,-2.700000000000003,-4.840000000000003,2015-2016,N
6,ACEH,2.539999999999999,-5.460000000000001,-6.669999999999998,-4.1299999999999955,-3.4299999999999997,2015-2016,N
7,SUMATERA UTARA,2.9399999999999906,-5.439999999999998,-11.880000000000003,-3.0999999999999943,-4.369999999999997,2015-2016,N
8,SUMATERA BARAT,1.3500000000000085,-1.4299999999999997,-3.1400000000000006,-1.1300000000000097,-1.0900000000000034,2015-2016,N
9,RIAU,2.049999999999997,-3.9299999999999997,-7.109999999999999,-1.9000000000000057,-2.720000000000006,2015-2016,N
10,JAMBI,6.799999999999997,2.5700000000000003,-1.8999999999999986,-1.8100000000000023,1.4099999999999966,2015-2016,N
11,SUMATERA SELATAN,1.0899999999999963,-4.32,-7.030000000000001,-2.2700000000000102,-3.1300000000000026,2015-2016,N
12,LAMPUNG,1.5799999999999983,-0.4000000000000057,-5.800000000000004,-5.640000000000001,-2.559999999999995,2015-2016,N
13,KALIMANTAN BARAT,0.6500000000000057,-7.109999999999999,-11.149999999999999,-2.259999999999991,-4.969999999999999,2015-2016,N
14,KALIMANTAN TENGAH,2.0999999999999943,-0.010000000000005116,-5.740000000000002,-3.3100000000000023,-1.740000000000002,2015-2016,N
15,KALIMANTAN SELATAN,-2.219999999999999,1.509999999999998,-3.9200000000000017,-1.0200000000000102,-1.4200000000000017,2015-2016,N
16,KALIMANTAN TIMUR,-3.0600000000000023,3.6099999999999994,-3.1199999999999974,-1.0700000000000074,-0.9099999999999966,2015-2016,N
17,SULAWESI UTARA,-3.730000000000004,-0.21000000000000085,-6.07,-3.0799999999999983,-3.280000000000001,2015-2016,N
18,SULAWESI TENGAH,-1.3299999999999983,3.5,-2.799999999999997,-2.7099999999999937,-0.8299999999999983,2015-2016,N
19,SULAWESI SELATAN,-6.649999999999999,-14.379999999999995,-17.060000000000002,-2.839999999999989,-10.230000000000004,2015-2016,N
20,SULAWESI TENGGARA,-3.8500000000000014,2.219999999999999,-1.3699999999999974,-2.719999999999999,-1.4299999999999997,2015-2016,N
21,MALUKU,2.719999999999999,-2.5900000000000034,-3.6099999999999994,-3.280000000000001,-1.6899999999999977,2015-2016,N
22,BALI,-9.950000000000003,-14.739999999999995,-26.15,-3.9599999999999937,-13.700000000000003,2015-2016,N
23,NUSA TENGGARA BARAT,-1.8100000000000023,-5.25,-8.82,-2.200000000000003,-4.519999999999996,2015-2016,N
24,NUSA TENGGARA TIMUR,-2.009999999999998,2.469999999999999,-0.03999999999999915,-5.210000000000008,-1.1999999999999957,2015-2016,N
25,PAPUA,2.009999999999998,-2.279999999999994,-6.540000000000006,-0.269999999999996,-1.7700000000000031,2015-2016,N
26,BENGKULU,4.759999999999998,-1.75,-1.3800000000000026,-0.9200000000000017,0.17999999999999972,2015-2016,N
27,MALUKU UTARA,2.490000000000002,-5.75,-5.339999999999996,-3.0,-2.8999999999999986,2015-2016,N
28,BANGKA BELITUNG,0.6200000000000045,0.21000000000000085,-3.3800000000000026,-2.0999999999999943,-1.1600000000000037,2015-2016,N
29,GORONTALO,-4.869999999999997,-6.460000000000001,-11.829999999999998,-3.969999999999999,-6.780000000000001,2015-2016,N
