,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
29097,123,501176,SMA SURABAYA INTERCULTURAL SCHOOL,69849923,S,1,90.0,92.0,67.5,0.0,0.0,87.5,0.0,5,1,176,2017,JAWA TIMUR,KOTA SURABAYA
32497,130,808101,SMA SWASTA BANUHAMPU,10300289,S,1,90.0,84.0,45.0,60.0,0.0,0.0,0.0,8,8,101,2017,SUMATERA BARAT,KABUPATEN AGAM
25732,28,101048,SMA SANTA URSULA,20108383,S,133,88.75,85.94,85.45,77.56,79.05,81.69,0.0,1,1,48,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
38753,180,3004174,MA NEGERI INSAN CENDEKIA SERPONG,20623314,N,82,88.27,84.88,90.0,85.63,90.36,81.56,0.0,30,4,174,2017,BANTEN,KOTA TANGERANG SELATAN
26153,449,105155,SMA NEGERI UNGGULAN MOHAMMAD HUSNI THAMRIN,20109933,N,75,88.13,84.21,88.77,87.04,86.57,80.48,0.0,1,5,155,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
25906,202,103099,SMA SANTO LEO II,20101613,S,11,88.0,77.64,69.09,70.28,0.0,75.0,0.0,1,3,99,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
25986,282,104053,SMA NEGERI 8,20102568,N,290,87.88,86.17,87.47,80.25,88.82,78.67,0.0,1,4,53,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
36011,354,1910018,SMA NEGERI 1 KAHU,40302663,N,210,87.85,88.83,69.54,0.0,90.77,0.0,0.0,19,10,18,2017,SULAWESI SELATAN,KABUPATEN BONE
33468,95,1101131,SMA IGNATIUS GLOBAL SCHOOL,69856916,S,35,87.54,85.71,87.64,80.96,81.79,77.83,0.0,11,1,131,2017,SUMATERA SELATAN,KOTA PALEMBANG
28816,15,401017,SMA NEGERI 2 YOGYAKARTA,20403177,N,256,87.34,79.97,76.16,69.14,77.31,73.73,0.0,4,1,17,2017,DI YOGYAKARTA,KOTA YOGYAKARTA
28842,41,401059,SMA BINA ANAK SHOLEH,20409895,S,9,87.33,73.78,61.94,61.25,65.0,62.0,0.0,4,1,59,2017,DI YOGYAKARTA,KOTA YOGYAKARTA
25963,259,104022,SMA NEGERI 34,20102214,N,179,87.32,82.75,74.86,67.52,74.61,75.21,0.0,1,4,22,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
28110,317,312218,SMA PANGUDI LUHUR  VAN LITH MUNTILAN,20307644,S,91,87.3,82.4,72.31,71.95,82.22,75.7,0.0,3,12,218,2017,JAWA TENGAH,KABUPATEN MAGELANG
38555,59,2905007,MAN INSAN CENDEKIA GORONTALO,60728785,N,71,87.21,76.82,87.75,79.32,89.64,81.46,0.0,29,5,7,2017,GORONTALO,KABUPATEN BONE BOLANGO
26054,350,105001,SMA NEGERI  39,20103296,N,252,87.14,81.9,78.05,76.92,80.87,74.39,0.0,1,5,1,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
