,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
10420,9,2201011,SMA NEGERI 4 DENPASAR,50103124,N,221,94.39,93.68,91.58,94.51,92.62,91.8,0.0,22,1,11,2015,BALI,KOTA DENPASAR
5721,569,711042,MA SWASTA MUHAMMADIYAH 7 PP DARUL ARQOM,10263654,S,2,91.85,92.75,83.55,57.0,92.5,82.5,0.0,7,11,42,2015,SUMATERA UTARA,KABUPATEN SIMALUNGUN
10412,1,2201001,SMA NEGERI 1 DENPASAR,50103127,N,383,90.23,92.25,92.71,93.26,89.64,90.31,0.0,22,1,1,2015,BALI,KOTA DENPASAR
10549,138,2209023,SMA GREEN SCHOOL,69849419,S,1,84.0,92.0,72.5,84.6,57.5,71.8,0.0,22,9,23,2015,BALI,KABUPATEN BADUNG
10416,5,2201007,SMA NEGERI 3 DENPASAR,50103125,N,234,91.25,91.68,89.76,93.31,89.56,89.67,0.0,22,1,7,2015,BALI,KOTA DENPASAR
10426,15,2201020,SMA NEGERI 6 DENPASAR,50103121,N,287,85.74,91.2,83.39,91.45,86.87,85.59,0.0,22,1,20,2015,BALI,KOTA DENPASAR
9660,383,1911019,SMA NEGERI 1 KEERA,40310824,N,46,82.88,91.05,75.0,86.38,86.74,72.8,0.0,19,11,19,2015,SULAWESI SELATAN,KABUPATEN WAJO
8899,5,1701010,SMA KATOLIK REX MUNDI MANADO,40102589,S,224,89.71,90.72,79.33,91.08,78.81,77.43,0.0,17,1,10,2015,SULAWESI UTARA,KOTA MANADO
10534,123,2209003,SMA NEGERI 1 KUTA,50101705,N,256,88.56,90.72,87.93,90.95,88.41,87.69,0.0,22,9,3,2015,BALI,KABUPATEN BADUNG
10429,18,2201023,SMA NEGERI 7 DENPASAR,50103120,N,360,89.43,90.65,89.01,90.94,88.56,87.74,0.0,22,1,23,2015,BALI,KOTA DENPASAR
5298,146,701190,MA SWASTA TADIB AL-MUALLIMIN AL-ISLAMI,60728329,S,10,92.05,90.21,81.74,88.08,93.0,85.41,0.0,7,1,190,2015,SUMATERA UTARA,KOTA MEDAN
8903,9,1701014,SMA PIONEER MANADO,40102613,S,32,71.0,90.21,70.55,90.78,69.22,74.07,0.0,17,1,14,2015,SULAWESI UTARA,KOTA MANADO
10547,136,2209020,SMA NASIONAL PLUS JEMBATAN BUDAYA (JB SCHOOL),50103878,S,41,88.24,90.02,88.48,90.48,86.89,85.92,0.0,22,9,20,2015,BALI,KABUPATEN BADUNG
12060,172,3004180,SMA ANDERSON SCHOOL,20616379,S,5,82.34,89.9,61.08,64.06,66.0,68.92,0.0,30,4,180,2015,BANTEN,KOTA TANGERANG SELATAN
9638,361,1910061,SMA NEGERI 2 CENRANA,40319041,N,32,83.41,89.82,85.78,62.78,61.88,76.21,0.0,19,10,61,2015,SULAWESI SELATAN,KABUPATEN BONE
5605,453,709178,MA SWASTA ULUL ALBAB,69756047,S,4,89.28,89.8,79.13,89.0,93.13,81.15,0.0,7,9,178,2015,SUMATERA UTARA,KABUPATEN DELISERDANG
10466,55,2204009,SMA WISATA DARMA NUSA PENIDA,50102380,S,31,79.91,89.6,76.13,88.64,84.76,79.63,0.0,22,4,9,2015,BALI,KABUPATEN KLUNGKUNG
9628,351,1910043,MAS ASADIYAH MATTIRO WALIE,40320406,S,26,85.65,89.58,82.88,76.15,76.44,86.22,0.0,19,10,43,2015,SULAWESI SELATAN,KABUPATEN BONE
5357,205,702010,SMA SWASTA SURYA MURNI PEMATANGSIANTAR,10211709,S,7,84.83,89.57,76.54,90.73,92.14,85.24,0.0,7,2,10,2015,SUMATERA UTARA,KOTA PEMATANGSIANTAR
4517,1472,537551,MA AL-HIKMAH,20584666,S,23,78.02,89.56,82.72,70.04,74.67,60.61,0.0,5,37,551,2015,JAWA TIMUR,KABUPATEN SUMENEP
10459,48,2204001,SMA NEGERI 1 SEMARAPURA,50102366,N,203,89.09,89.54,88.35,90.65,87.73,87.61,0.0,22,4,1,2015,BALI,KABUPATEN KLUNGKUNG
9607,330,1910018,SMA NEGERI 1 KAHU,40302663,N,208,88.42,89.54,81.21,81.96,81.35,84.84,0.0,19,10,18,2015,SULAWESI SELATAN,KABUPATEN BONE
5199,47,701052,SMA SWASTA NASRANI 2 MEDAN,10210742,S,6,81.4,89.5,84.77,87.67,92.5,85.83,0.0,7,1,52,2015,SUMATERA UTARA,KOTA MEDAN
5596,444,709168,SMA SWASTA YAPIM TARUNA BATANG KUIS,10262376,S,7,91.51,89.49,78.83,89.66,90.71,84.29,0.0,7,9,168,2015,SUMATERA UTARA,KABUPATEN DELISERDANG
11125,250,2411029,SMA NEGERI 2 CIBAL,69760873,N,20,64.08,89.44,50.88,44.96,75.88,45.08,0.0,24,11,29,2015,NUSA TENGGARA TIMUR,KABUPATEN MANGGARAI
10474,63,2205010,SMA DHARMA KIRTI SENGKIDU,50103665,S,20,59.97,89.41,64.13,89.3,75.88,74.03,0.0,22,5,10,2015,BALI,KABUPATEN KARANGASEM
10439,28,2201038,SMA HARAPAN MULIA,50105446,S,8,80.45,89.41,80.0,85.6,84.69,84.49,0.0,22,1,38,2015,BALI,KOTA DENPASAR
10417,6,2201008,SMA PGRI 1 DENPASAR,50103175,S,25,80.69,89.36,81.6,88.06,80.5,81.78,0.0,22,1,8,2015,BALI,KOTA DENPASAR
9596,319,1910004,SMA NEGERI 1 TELLU SIATTINGE,40302691,N,93,87.08,89.34,80.13,91.8,76.13,85.68,0.0,19,10,4,2015,SULAWESI SELATAN,KABUPATEN BONE
5725,573,711053,MA SWASTA AL-KAUTSAR KARANG ANOM,10263652,S,15,90.31,89.31,81.43,89.65,92.5,84.91,0.0,7,11,53,2015,SUMATERA UTARA,KABUPATEN SIMALUNGUN
10422,11,2201014,SMA TAMAN RAMA DENPASAR,50103149,S,38,84.44,89.29,79.41,86.86,81.58,82.01,0.0,22,1,14,2015,BALI,KOTA DENPASAR
10471,60,2205006,SMA NEGERI 2 AMLAPURA,50102779,N,169,88.85,89.28,86.91,89.96,88.34,86.8,0.0,22,5,6,2015,BALI,KABUPATEN KARANGASEM
10520,109,2208001,SMA NEGERI 1 TABANAN,50101121,N,275,87.56,89.14,82.71,87.97,84.39,83.86,0.0,22,8,1,2015,BALI,KABUPATEN TABANAN
10526,115,2208007,SMA NEGERI 1 KERAMBITAN,50101125,N,124,82.83,89.09,81.73,86.09,82.38,80.06,0.0,22,8,7,2015,BALI,KABUPATEN TABANAN
9631,354,1910048,SMA NEGERI 1 DUA BOCCOE,40318126,N,97,80.6,89.09,84.92,70.49,80.03,76.76,0.0,19,10,48,2015,SULAWESI SELATAN,KABUPATEN BONE
10454,43,2203001,SMA NEGERI 1 BANGLI,50102568,N,149,90.01,89.01,87.13,89.76,87.25,87.67,0.0,22,3,1,2015,BALI,KABUPATEN BANGLI
10480,69,2206001,SMA NEGERI 1 SINGARAJA,50100337,N,236,89.18,89.0,84.93,90.15,86.38,88.08,0.0,22,6,1,2015,BALI,KABUPATEN BULELENG
10436,25,2201033,SMA TUNAS DAUD,50103877,S,16,82.51,88.93,83.28,81.81,82.66,83.39,0.0,22,1,33,2015,BALI,KOTA DENPASAR
4485,1440,537013,SMA NEGERI 1 BLUTO,20529969,N,92,72.45,88.92,87.39,81.5,75.3,66.59,0.0,5,37,13,2015,JAWA TIMUR,KABUPATEN SUMENEP
4491,1446,537020,SMA NEGERI 1 GAPURA,20529970,N,89,75.77,88.87,80.76,75.26,72.05,62.02,0.0,5,37,20,2015,JAWA TIMUR,KABUPATEN SUMENEP
5802,650,714017,SMA SWASTA DIPONEGORO KISARAN,10204227,S,28,92.2,88.64,85.77,91.38,92.14,86.71,0.0,7,14,17,2015,SUMATERA UTARA,KABUPATEN ASAHAN
5234,82,701097,SMA SWASTA GAJAH MADA 2 MEDAN,10210920,S,16,92.07,88.63,81.31,87.38,90.16,83.83,0.0,7,1,97,2015,SUMATERA UTARA,KOTA MEDAN
110,111,102089,SMA KRISTEN MAWAR SARON,20107386,S,2,85.55,88.6,66.25,76.6,83.75,75.0,0.0,1,2,89,2015,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
5241,89,701108,SMA SWASTA UTAMA MEDAN,10210837,S,12,77.85,88.56,76.41,89.28,87.92,82.99,0.0,7,1,108,2015,SUMATERA UTARA,KOTA MEDAN
6116,964,726068,MA SWASTA PPK SALMAN,10263630,S,6,89.05,88.55,83.48,88.03,87.92,83.75,0.0,7,26,68,2015,SUMATERA UTARA,KABUPATEN SERDANG BEDAGAI
10532,121,2209001,SMA NEGERI 1 KUTA UTARA,50101696,N,359,83.42,88.52,80.85,88.81,82.95,84.79,0.0,22,9,1,2015,BALI,KABUPATEN BADUNG
10442,31,2202001,SMA NEGERI 1 GIANYAR,50102079,N,213,88.83,88.36,85.88,88.49,86.96,86.46,0.0,22,2,1,2015,BALI,KABUPATEN GIANYAR
10521,110,2208002,SMA NEGERI 2 TABANAN,50101101,N,238,89.5,88.3,83.58,84.65,84.01,79.36,0.0,22,8,2,2015,BALI,KABUPATEN TABANAN
5261,109,701133,SMA SWASTA KARYA KESUMA MEDAN,10220799,S,18,80.97,88.28,82.82,85.19,88.89,81.46,0.0,7,1,133,2015,SUMATERA UTARA,KOTA MEDAN
10470,59,2205003,SMA PGRI 1 AMLAPURA,50102787,S,86,80.26,88.23,84.59,88.88,82.44,86.52,0.0,22,5,3,2015,BALI,KABUPATEN KARANGASEM
9626,349,1910039,SMA NEGERI 1 BONTOCANI,40310707,N,20,89.33,88.2,82.5,81.86,72.75,73.49,0.0,19,10,39,2015,SULAWESI SELATAN,KABUPATEN BONE
5861,709,715010,SMA NEGERI 3 RANTAU UTARA,10205362,N,141,87.7,88.19,87.8,83.15,89.41,82.15,0.0,7,15,10,2015,SUMATERA UTARA,KABUPATEN LABUHANBATU
10533,122,2209002,SMA NEGERI 1 KUTA SELATAN,50101706,N,167,86.65,88.19,86.17,89.74,87.6,86.37,0.0,22,9,2,2015,BALI,KABUPATEN BADUNG
8929,35,1702001,SMA NEGERI 1 BITUNG,40103090,N,103,79.83,88.12,72.67,88.67,68.67,75.48,0.0,17,2,1,2015,SULAWESI UTARA,KOTA BITUNG
10414,3,2201005,SMA NEGERI 2 DENPASAR,50103126,N,327,85.36,88.1,86.87,88.19,88.5,87.78,0.0,22,1,5,2015,BALI,KOTA DENPASAR
10423,12,2201016,SMA NEGERI 5 DENPASAR,50103122,N,268,85.55,88.08,85.52,88.65,86.89,86.15,0.0,22,1,16,2015,BALI,KOTA DENPASAR
