,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
22918,98,2004035,MA JABAL NUR KABAWO,60728265,S,10,58.4,51.2,60.5,93.5,68.5,61.0,0.0,20,4,35,2016,SULAWESI TENGGARA,KABUPATEN MUNA
22899,79,2004007,SMA SWASTA WAMELAI RAHA,40400762,S,29,71.86,54.41,75.26,93.36,74.22,73.02,0.0,20,4,7,2016,SULAWESI TENGGARA,KABUPATEN MUNA
22904,84,2004013,SMA NEGERI 1 WATOPUTE,40400767,N,63,61.52,51.43,29.44,92.98,32.54,44.17,0.0,20,4,13,2016,SULAWESI TENGGARA,KABUPATEN MUNA
22907,87,2004020,SMA NEGERI 1 TONGKUNO,40400750,N,100,65.16,57.4,63.13,92.78,54.45,67.95,0.0,20,4,20,2016,SULAWESI TENGGARA,KABUPATEN MUNA
22839,19,2001021,SMA  KARTIKA XX-2 KENDARI,40402589,S,111,61.71,51.05,59.86,92.39,63.65,69.98,0.0,20,1,21,2016,SULAWESI TENGGARA,KOTA KENDARI
22840,20,2001022,SMA SATRIA KENDARI,40403135,S,21,42.29,42.95,53.21,92.38,43.57,55.12,0.0,20,1,22,2016,SULAWESI TENGGARA,KOTA KENDARI
25613,52,3303021,SMA NEGERI 8 KABUPATEN SORONG,60404163,N,7,78.29,57.43,82.86,92.14,79.29,59.29,0.0,33,3,21,2016,PAPUA BARAT,KABUPATEN SORONG
22905,85,2004014,SMA NEGERI 1 KONTUNAGA,40404005,N,52,65.08,68.31,74.13,91.88,72.69,65.1,0.0,20,4,14,2016,SULAWESI TENGGARA,KABUPATEN MUNA
22908,88,2004021,SMA NEGERI 2 TONGKUNO,40403875,N,26,67.77,53.54,51.15,91.44,71.15,58.37,0.0,20,4,21,2016,SULAWESI TENGGARA,KABUPATEN MUNA
22990,170,2007038,SMA NEGERI 16 KONAWE SELATAN,40404847,N,29,67.72,61.17,86.9,91.38,61.9,74.66,0.0,20,7,38,2016,SULAWESI TENGGARA,KABUPATEN KONAWE SELATAN
22895,75,2004003,SMA NEGERI 2 RAHA,40403974,N,272,62.09,57.29,61.67,91.13,46.37,65.47,0.0,20,4,3,2016,SULAWESI TENGGARA,KABUPATEN MUNA
22998,178,2008007,SMA NEGERI 1 BINONGKO,40402335,N,45,73.29,56.67,76.28,91.11,68.78,67.06,0.0,20,8,7,2016,SULAWESI TENGGARA,KABUPATEN WAKATOBI
24925,56,2905007,MAN INSAN CENDEKIA,60728785,N,82,79.07,70.46,83.66,91.04,86.98,80.52,0.0,29,5,7,2016,GORONTALO,KABUPATEN BONE BOLANGO
23100,280,2016014,SMA NEGERI 3 SAMPOLAWA,69799876,N,21,63.62,52.57,63.1,90.83,35.83,62.14,0.0,20,16,14,2016,SULAWESI TENGGARA,KABUPATEN BUTON SELATAN
22912,92,2004027,SMA NEGERI 1 BONE,40404214,N,42,58.24,54.05,36.43,90.71,65.36,55.24,0.0,20,4,27,2016,SULAWESI TENGGARA,KABUPATEN MUNA
22833,13,2001014,SMA ILMIAH KENDARI,40402554,S,39,69.9,42.72,57.88,90.64,74.1,82.31,0.0,20,1,14,2016,SULAWESI TENGGARA,KOTA KENDARI
22891,71,2003042,MA AL-IKHLAS AMBERI,60730193,S,5,45.6,56.8,28.5,90.5,23.0,41.5,0.0,20,3,42,2016,SULAWESI TENGGARA,KABUPATEN KONAWE
22859,39,2002013,MAN 1 BAUBAU,40405907,N,123,55.89,53.82,65.81,90.35,46.54,68.23,0.0,20,2,13,2016,SULAWESI TENGGARA,KOTA BAUBAU
22277,118,1901152,MAS UMMUL MUKMININ,69849502,S,28,67.07,72.36,72.95,90.18,57.5,70.45,0.0,19,1,152,2016,SULAWESI SELATAN,KOTA MAKASSAR
22900,80,2004008,SMA SWASTA YAPRIS RAHA,40400763,S,15,59.6,58.53,51.33,90.17,52.67,72.67,0.0,20,4,8,2016,SULAWESI TENGGARA,KABUPATEN MUNA
23031,211,2010012,SMAS HAJI AGUS SALIM,40404690,N,33,44.3,52.85,57.5,89.92,23.94,45.08,0.0,20,10,12,2016,SULAWESI TENGGARA,KABUPATEN KOLAKA UTARA
18292,380,709064,SMA SWASTA NILA HARAPAN,10214140,S,10,83.2,68.8,70.0,89.75,96.75,82.25,0.0,7,9,64,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
12745,137,103008,SMA KRISTEN 1 BPK PENABUR,20101306,S,215,79.09,80.99,94.65,89.73,85.94,84.2,0.0,1,3,8,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
22825,5,2001005,SMA  NEGERI  3  KENDARI,40402617,N,92,67.67,50.11,72.8,89.62,71.71,71.93,0.0,20,1,5,2016,SULAWESI TENGGARA,KOTA KENDARI
22822,2,2001002,SMA  NEGERI  9  KENDARI,40403136,N,162,69.41,55.74,61.54,89.4,72.67,68.32,0.0,20,1,2,2016,SULAWESI TENGGARA,KOTA KENDARI
22864,44,2003002,SMA NEGERI 2 UNAAHA,40400232,N,56,53.93,44.11,57.72,89.38,52.77,54.11,0.0,20,3,2,2016,SULAWESI TENGGARA,KABUPATEN KONAWE
20491,1,1201001,SMAN 1 BANDAR LAMPUNG,10807020,N,117,72.02,72.68,72.01,89.23,61.13,87.33,0.0,12,1,1,2016,LAMPUNG,KOTA BANDAR LAMPUNG
18343,431,709145,SMA SWASTA NUSANTARA JAYA,10220220,S,3,72.0,70.0,64.17,89.17,92.5,80.0,0.0,7,9,145,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
23099,279,2016013,SMA NEGERI 2 SAMPOLAWA,69799875,N,18,66.67,51.78,50.14,89.03,34.58,77.78,0.0,20,16,13,2016,SULAWESI TENGGARA,KABUPATEN BUTON SELATAN
22894,74,2004002,SMA NEGERI 1 LOGHIA,40403527,N,48,68.13,55.96,57.24,88.96,53.39,49.01,0.0,20,4,2,2016,SULAWESI TENGGARA,KABUPATEN MUNA
17255,1511,537577,MA NURUL HUDA,20580535,S,21,68.29,68.76,77.98,88.93,74.64,71.67,0.0,5,37,577,2016,JAWA TIMUR,KABUPATEN SUMENEP
22889,69,2003040,SMAN 1 TONGAUNA,60726579,N,40,50.5,55.5,52.94,88.81,59.81,55.38,0.0,20,3,40,2016,SULAWESI TENGGARA,KABUPATEN KONAWE
22876,56,2003018,SMA NEGERI 1 AMONGGEDO,40404643,N,69,42.0,62.32,50.51,88.77,44.02,66.2,0.0,20,3,18,2016,SULAWESI TENGGARA,KABUPATEN KONAWE
18089,177,701249,SMA SWASTA IRAFFLES,10264684,S,2,54.0,71.0,66.25,88.75,85.0,86.25,0.0,7,1,249,2016,SUMATERA UTARA,KOTA MEDAN
18058,146,701194,SMA SWASTA EKKLESIA MEDAN,10210708,S,2,64.0,71.0,66.25,88.75,92.5,87.5,0.0,7,1,194,2016,SUMATERA UTARA,KOTA MEDAN
25612,51,3303020,SMA NEGERI 7 KABUPATEN SORONG,60403581,N,11,72.73,55.45,79.09,88.64,56.36,64.32,0.0,33,3,20,2016,PAPUA BARAT,KABUPATEN SORONG
22858,38,2002011,SMA SWASTA MUTIARA BAUBAU,40402981,S,56,38.43,47.68,30.67,88.62,22.54,48.71,0.0,20,2,11,2016,SULAWESI TENGGARA,KOTA BAUBAU
12723,115,102091,SMA TUNAS GADING,20100632,S,7,65.71,74.0,67.14,88.57,40.36,70.71,0.0,1,2,91,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
22906,86,2004019,SMA NEGERI 1 KABAWO,40400766,N,117,58.19,49.04,54.74,88.55,55.19,49.96,0.0,20,4,19,2016,SULAWESI TENGGARA,KABUPATEN MUNA
22641,482,1915041,SMA NEGERI 2 SINJAI BARAT,69753239,N,36,57.72,60.28,64.65,88.54,44.79,64.79,0.0,19,15,41,2016,SULAWESI SELATAN,KABUPATEN SINJAI
18061,149,701199,MA SWASTA AL-MANAR,60728327,S,6,71.33,71.33,86.67,88.33,95.83,82.92,0.0,7,1,199,2016,SUMATERA UTARA,KOTA MEDAN
23043,223,2012002,SMAN 2 KULISUSU,40404131,N,27,75.19,61.7,73.98,88.24,76.2,55.46,0.0,20,12,2,2016,SULAWESI TENGGARA,KABUPATEN BUTON UTARA
13469,402,209013,"SMA BPK PENABUR, TASIKMALAYA, KOTA TASIKMALAYA",20224551,S,26,75.92,71.85,83.46,88.08,83.17,79.23,0.0,2,9,13,2016,JAWA BARAT,KOTA TASIKMALAYA
18096,184,701256,SMA SWASTA ISLAM KHAIRUL IMAM,10262430,S,18,83.0,71.44,88.06,88.06,93.75,77.64,0.0,7,1,256,2016,SUMATERA UTARA,KOTA MEDAN
22639,480,1915034,SMA NEGERI 3 SINJAI,40318275,N,58,66.52,62.45,75.13,87.97,59.78,66.59,0.0,19,15,34,2016,SULAWESI SELATAN,KABUPATEN SINJAI
22821,1,2001001,SMA  NEGERI  1  KENDARI,40402619,N,285,67.98,62.36,74.26,87.9,76.92,77.75,0.0,20,1,1,2016,SULAWESI TENGGARA,KOTA KENDARI
17988,76,701092,SMA SWASTA METHODIST 7 MEDAN,10210905,S,19,82.11,71.89,90.26,87.89,91.05,79.74,0.0,7,1,92,2016,SUMATERA UTARA,KOTA MEDAN
22929,109,2004058,SMA NEGERI 1 TONGKUNO SELATAN,69788704,N,13,72.0,57.54,42.69,87.69,51.92,60.19,0.0,20,4,58,2016,SULAWESI TENGGARA,KABUPATEN MUNA
18303,391,709080,SMA SWASTA DESA MAJU,10200435,S,15,80.53,70.93,69.67,87.67,95.17,81.33,0.0,7,9,80,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
18005,93,701115,SMA SWASTA RK MARIANA MEDAN,10210734,S,16,83.88,72.75,88.59,87.66,93.91,81.88,0.0,7,1,115,2016,SUMATERA UTARA,KOTA MEDAN
18026,114,701146,SMA SWASTA SUPRIYADI MEDAN,10210844,S,17,80.59,72.12,90.15,87.65,91.76,80.88,0.0,7,1,146,2016,SUMATERA UTARA,KOTA MEDAN
25083,143,3004021,SMA SANTA URSULA BSD,20603376,S,86,78.95,79.44,88.78,87.59,82.65,81.66,0.0,30,4,21,2016,BANTEN,KOTA TANGERANG SELATAN
25116,176,3004174,MA NEGERI INSAN CENDEKIA SERPONG,20623314,N,84,82.88,77.07,85.65,87.59,86.96,82.68,0.0,30,4,174,2016,BANTEN,KOTA TANGERANG SELATAN
18555,643,714010,SMA NEGERI 1 BANDAR PULAU,10258001,N,76,68.05,71.68,60.13,87.5,84.18,69.01,0.0,7,14,10,2016,SUMATERA UTARA,KABUPATEN ASAHAN
22836,16,2001017,SMA ALJABAR KENDARI,69822768,S,8,55.5,49.5,62.81,87.5,66.88,79.69,0.0,20,1,17,2016,SULAWESI TENGGARA,KOTA KENDARI
18322,410,709111,MA SWASTA PP AL-QOMARIAH,10200561,S,25,83.04,71.76,92.1,87.5,94.1,79.8,0.0,7,9,111,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
18323,411,709112,MA SWASTA AL-WASHLIYAH BANGUN PURBA,10264711,S,30,69.8,70.67,88.17,87.5,90.17,78.67,0.0,7,9,112,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
18207,295,706009,SMA SWASTA TRI RATNA SIBOLGA,10212115,S,37,81.3,73.03,74.39,87.43,93.65,79.46,0.0,7,6,9,2016,SUMATERA UTARA,KOTA SIBOLGA
18562,650,714017,SMA SWASTA DIPONEGORO KISARAN,10204227,S,27,81.56,72.44,81.2,87.41,83.8,76.67,0.0,7,14,17,2016,SUMATERA UTARA,KABUPATEN ASAHAN
18348,436,709155,SMA SWASTA HARAPAN BANGSA,10220214,S,25,67.2,72.16,68.5,87.4,92.2,79.3,0.0,7,9,155,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
22837,17,2001018,SMA NEGERI 2 KENDARI,40402618,N,210,65.39,55.68,61.92,87.38,69.37,68.87,0.0,20,1,18,2016,SULAWESI TENGGARA,KOTA KENDARI
17995,83,701103,SMA SWASTA TAMAN SISWA MEDAN,10210822,S,20,78.7,71.4,90.25,87.38,92.63,78.63,0.0,7,1,103,2016,SUMATERA UTARA,KOTA MEDAN
22893,73,2004001,SMA NEGERI 1 RAHA,40400747,N,229,60.0,53.28,55.24,87.37,45.44,60.15,0.0,20,4,1,2016,SULAWESI TENGGARA,KABUPATEN MUNA
17971,59,701072,SMA SWASTA KESATRIA MEDAN,10210738,S,17,75.41,71.29,70.59,87.35,91.91,81.32,0.0,7,1,72,2016,SUMATERA UTARA,KOTA MEDAN
18099,187,701259,SMA SWASTA PUTERI SION MEDAN,69755704,S,15,68.13,70.67,92.5,87.33,94.0,79.33,0.0,7,1,259,2016,SUMATERA UTARA,KOTA MEDAN
22329,170,1904015,MAS DDI ALLIRITENGNGAE,40320535,S,25,52.96,66.16,89.8,87.3,69.4,61.2,0.0,19,4,15,2016,SULAWESI SELATAN,KABUPATEN MAROS
18553,641,714008,SMA NEGERI 1 AIR JOMAN,10204224,N,101,70.83,71.74,59.75,87.3,84.73,70.74,0.0,7,14,8,2016,SUMATERA UTARA,KABUPATEN ASAHAN
18124,212,702023,SMA SWASTA METHODIST PEMATANGSIANTAR,10211685,S,34,79.94,71.12,65.59,87.28,83.53,78.53,0.0,7,2,23,2016,SUMATERA UTARA,KOTA PEMATANGSIANTAR
18707,795,718018,MA SWASTA BAHARUDDIN,10263665,S,18,70.89,72.78,69.86,87.22,90.28,78.19,0.0,7,18,18,2016,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN
18250,338,709010,MA NEGERI LUBUK PAKAM,10220410,N,93,76.56,71.7,91.29,87.2,85.91,78.66,0.0,7,9,10,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
23089,269,2015021,SMA NEGERI 2 TALAGA RAYA,69763259,N,19,43.47,36.95,23.42,87.11,22.24,34.87,0.0,20,15,21,2016,SULAWESI TENGGARA,KABUPATEN BUTON TENGAH
22910,90,2004023,SMA NEGERI 2 PARIGI,40403157,N,43,70.47,52.84,74.19,87.09,50.87,65.35,0.0,20,4,23,2016,SULAWESI TENGGARA,KABUPATEN MUNA
23060,240,2013007,SMAN 1 MOWEWE,40401534,N,58,56.28,54.24,56.34,87.07,67.93,59.09,0.0,20,13,7,2016,SULAWESI TENGGARA,KABUPATEN KOLAKA TIMUR
18321,409,709110,MA SWASTA AL-WASHLIYAH GALANG,10220412,S,20,81.8,71.7,92.63,87.0,93.0,79.5,0.0,7,9,110,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
17955,43,701049,SMA SWASTA KRAKATAU MEDAN,10210740,S,20,74.6,70.6,87.88,86.88,90.63,78.75,0.0,7,1,49,2016,SUMATERA UTARA,KOTA MEDAN
18285,373,709056,SMA SWASTA PANGERAN ANTASARI,10214152,S,20,82.5,70.5,67.88,86.88,91.88,80.63,0.0,7,9,56,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
18015,103,701128,SMA SWASTA SRIWIJAYA MEDAN,10210838,S,15,77.73,72.93,68.17,86.83,88.17,80.67,0.0,7,1,128,2016,SUMATERA UTARA,KOTA MEDAN
22326,167,1904011,SMA DDI DIAKUI MAROS,40300291,S,11,64.91,56.55,93.86,86.82,68.41,66.36,0.0,19,4,11,2016,SULAWESI SELATAN,KABUPATEN MAROS
20510,20,1201024,SMAN 7 BANDAR LAMPUNG,10807068,N,191,68.82,70.26,72.41,86.78,61.06,85.38,0.0,12,1,24,2016,LAMPUNG,KOTA BANDAR LAMPUNG
22849,29,2002001,SMA NEGERI 1 BAUBAU,40402755,N,334,67.18,59.5,74.74,86.77,62.6,67.31,0.0,20,2,1,2016,SULAWESI TENGGARA,KOTA BAUBAU
12884,276,104044,SMA ISLAM AL-AZHAR 1,20107304,S,104,76.98,78.04,88.51,86.75,76.66,77.96,0.0,1,4,44,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
18027,115,701148,SMA SWASTA MAYJEN SUTOYO SM MEDAN,10210901,S,10,82.4,70.2,90.5,86.75,95.0,82.25,0.0,7,1,148,2016,SUMATERA UTARA,KOTA MEDAN
18298,386,709072,SMA SWASTA KARYA PENDIDIK LUBUK PAKAM,10214125,S,16,68.88,70.5,68.44,86.72,93.91,80.47,0.0,7,9,72,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
18017,105,701130,SMA SWASTA DHARMA SAKTI MEDAN,10210716,S,3,58.67,71.33,69.17,86.67,97.5,84.17,0.0,7,1,130,2016,SUMATERA UTARA,KOTA MEDAN
12620,12,101015,SMA NEGERI 77,20100201,N,108,78.52,79.56,90.09,86.67,78.4,83.5,0.0,1,1,15,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
18443,531,710108,SMA SWASTA TUNAS BARU BABALAN,10259617,S,17,80.71,78.24,70.0,86.62,93.38,80.0,0.0,7,10,108,2016,SUMATERA UTARA,KABUPATEN LANGKAT
18678,766,717007,MA NEGERI BARUS,10263677,N,61,67.08,72.16,88.16,86.6,83.57,78.73,0.0,7,17,7,2016,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH
18235,323,708007,SMA SWASTA SANTU XAVERIUS,10259084,S,19,69.47,73.26,69.74,86.58,91.18,79.87,0.0,7,8,7,2016,SUMATERA UTARA,KOTA GUNUNGSITOLI
18247,335,709007,SMA NEGERI 1 HAMPARAN PERAK,10219109,N,96,76.79,72.17,68.98,86.56,93.52,79.9,0.0,7,9,7,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
18884,972,726070,SMA SWASTA YAPIM TARUNA DOLOK MASIHUL,69773550,S,18,71.44,73.0,69.31,86.53,90.56,80.28,0.0,7,26,70,2016,SUMATERA UTARA,KABUPATEN SERDANG BEDAGAI
17257,1513,537604,MA AINUL FALAH,20584665,S,23,76.87,68.78,86.52,86.52,82.17,63.8,0.0,5,37,604,2016,JAWA TIMUR,KABUPATEN SUMENEP
18059,147,701195,SMA SWASTA BUDI MURNI 3 MEDAN,10220931,S,20,78.5,71.0,91.5,86.5,93.63,79.88,0.0,7,1,195,2016,SUMATERA UTARA,KOTA MEDAN
18243,331,709003,SMA NEGERI 1 TANJUNG MORAWA,10214138,N,172,81.16,71.67,68.23,86.47,91.74,78.42,0.0,7,9,3,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
20556,66,1202069,SMA TELADAN METRO,10807564,S,7,51.71,42.0,41.43,86.43,40.71,40.0,0.0,12,2,69,2016,LAMPUNG,KOTA METRO
18185,273,705001,SMA NEGERI 1 TANJUNG BALAI,10212024,N,194,81.73,72.65,68.9,86.42,92.54,79.68,0.0,7,5,1,2016,SUMATERA UTARA,KOTA TANJUNG BALAI
22857,37,2002010,SMA SWASTA BATARAGURU BAUBAU,40402771,S,102,44.73,53.88,71.99,86.4,51.99,64.56,0.0,20,2,10,2016,SULAWESI TENGGARA,KOTA BAUBAU
18106,194,702002,SMA NEGERI 2 PEMATANGSIANTAR,10211704,N,285,80.69,72.33,89.1,86.39,92.46,78.88,0.0,7,2,2,2016,SUMATERA UTARA,KOTA PEMATANGSIANTAR
22856,36,2002009,SMA NEGERI 4 BAUBAU,40402770,N,100,56.4,50.42,63.55,86.38,51.05,60.85,0.0,20,2,9,2016,SULAWESI TENGGARA,KOTA BAUBAU
17981,69,701082,SMA SWASTA PARULIAN 1 MEDAN,10210911,S,38,76.58,71.37,68.62,86.38,90.2,76.84,0.0,7,1,82,2016,SUMATERA UTARA,KOTA MEDAN
18271,359,709036,SMA SWASTA NUR AZIZI TANJUNG MORAWA,10214141,S,88,75.48,71.91,68.15,86.36,91.62,78.55,0.0,7,9,36,2016,SUMATERA UTARA,KABUPATEN DELISERDANG
