,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
52166,172,2516002,SMA NEGERI 1 ATSJ,60304064,N,16,64.5,63.38,60.94,39.17,100.0,81.67,0.0,25,16,2,2018,PAPUA,KABUPATEN ASMAT
42899,111,501162,SMA VITA SURABAYA,20577229,S,17,81.18,81.53,71.47,60.31,100.0,0.0,0.0,5,1,162,2018,JAWA TIMUR,KOTA SURABAYA
46273,1155,733007,SMA NEGERI 1 MANDREHE UTARA,10258330,N,25,62.64,65.2,61.6,0.0,98.0,0.0,0.0,7,33,7,2018,SUMATERA UTARA,KABUPATEN NIAS BARAT
50929,234,2108019,SMA HUAMUAL BARAT TALAGA,60102708,S,12,67.0,62.17,62.08,62.5,97.5,65.0,0.0,21,8,19,2018,MALUKU,SERAM BAGIAN BARAT
50923,228,2108013,SMA NEGERI 3 SERAM BARAT,60101543,N,46,81.17,57.83,63.21,61.25,96.58,69.2,0.0,21,8,13,2018,MALUKU,SERAM BAGIAN BARAT
50928,233,2108018,SMA PGRI PELITA JAYA,60101538,S,24,82.83,62.75,60.42,70.0,96.53,63.5,0.0,21,8,18,2018,MALUKU,SERAM BAGIAN BARAT
50919,224,2108008,SMA NEGERI 5 KAIRATU,60102886,N,38,72.58,72.26,60.86,73.33,96.25,48.04,0.0,21,8,8,2018,MALUKU,SERAM BAGIAN BARAT
50804,109,2103061,SMA NEGERI 3 MASOHI,69774664,N,56,78.82,79.75,68.88,70.77,96.25,82.58,0.0,21,3,61,2018,MALUKU,MALUKU TENGAH
50801,106,2103058,SMA NEGERI 3 SAPARUA,69774667,N,21,65.05,76.57,72.62,35.36,95.36,63.57,0.0,21,3,58,2018,MALUKU,MALUKU TENGAH
50805,110,2103062,SMA NEGERI 5 SALAHUTU,69774666,N,23,68.87,81.57,82.61,0.0,95.33,0.0,0.0,21,3,62,2018,MALUKU,MALUKU TENGAH
50802,107,2103059,SMA NEGERI 4 SAPARUA,69774668,N,21,49.52,80.29,60.24,41.79,95.0,79.64,0.0,21,3,59,2018,MALUKU,MALUKU TENGAH
50710,15,2101015,SMA LKMD LAHA,60103096,S,15,52.67,72.8,77.0,65.0,95.0,59.38,0.0,21,1,15,2018,MALUKU,AMBON
50940,245,2108031,SMA NEGERI ELPAPUTIH,60103939,N,16,63.13,82.0,63.28,71.25,95.0,69.81,0.0,21,8,31,2018,MALUKU,SERAM BAGIAN BARAT
50799,104,2103056,SMA NEGERI NUSALAUT,60104032,N,13,72.77,61.69,60.77,37.5,93.75,61.25,0.0,21,3,56,2018,MALUKU,MALUKU TENGAH
50921,226,2108010,SMA AL-FIQRI TELAGA PIRU,60102707,S,50,73.48,50.56,64.75,57.5,93.75,67.7,0.0,21,8,10,2018,MALUKU,SERAM BAGIAN BARAT
50753,58,2103010,SMA NEGERI 1 LEIHITU BARAT,60100324,N,45,66.53,79.69,78.61,62.81,93.33,74.44,0.0,21,3,10,2018,MALUKU,MALUKU TENGAH
50912,217,2108001,SMA NEGERI 1 KAIRATU,60101529,N,78,73.79,61.33,60.87,40.78,92.5,65.63,0.0,21,8,1,2018,MALUKU,SERAM BAGIAN BARAT
52883,179,3004174,MA NEGERI INSAN CENDEKIA SERPONG,20623314,N,141,85.66,80.64,86.72,87.88,92.31,88.19,0.0,30,4,174,2018,BANTEN,KOTA TANGERANG SELATAN
39852,460,105155,SMA NEGERI UNGGULAN MOHAMMAD HUSNI THAMRIN,20109933,N,76,86.08,85.66,86.74,89.56,92.17,85.0,0.0,1,5,155,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
50748,53,2103005,SMA NEGERI 1 SALAHUTU,60100164,N,82,59.78,54.51,81.28,0.0,91.94,66.09,0.0,21,3,5,2018,MALUKU,MALUKU TENGAH
50789,94,2103046,SMA MATHLAUL ANWAR MASOHI,60100347,S,11,69.82,73.45,68.18,63.75,91.67,56.67,0.0,21,3,46,2018,MALUKU,MALUKU TENGAH
50782,87,2103039,SMA MUHAMMADIYAH SEPA,60100349,S,19,78.74,80.32,69.34,73.75,90.68,78.33,0.0,21,3,39,2018,MALUKU,MALUKU TENGAH
42207,638,324203,SMA MASEHI KUDUS,20317489,S,19,78.21,74.42,51.71,55.36,90.0,58.86,0.0,3,24,203,2018,JAWA TENGAH,KABUPATEN KUDUS
40161,288,204059,SMA CAHAYA RANCAMAYA,69883254,S,14,77.86,75.0,48.57,54.38,90.0,57.78,0.0,2,4,59,2018,JAWA BARAT,KOTA BOGOR
46665,28,901031,SMA KRISTEN KALAM KUDUS PEKANBARU,10403989,S,33,80.18,72.18,57.5,62.03,90.0,60.5,0.0,9,1,31,2018,RIAU,KOTA PEKANBARU
50819,124,2103106,MA KHOIRU UMMAH WAITILA,60105615,S,36,65.61,66.17,75.76,0.0,90.0,67.36,0.0,21,3,106,2018,MALUKU,MALUKU TENGAH
52848,144,3004021,SMA SANTA URSULA BSD,20603376,S,64,84.0,85.25,86.8,85.53,90.0,88.52,0.0,30,4,21,2018,BANTEN,KOTA TANGERANG SELATAN
52907,203,3004203,SMA HARAPAN BANGSA,69893227,S,5,85.2,84.8,70.0,0.0,90.0,79.38,0.0,30,4,203,2018,BANTEN,KOTA TANGERANG SELATAN
45935,817,718024,MA SWASTA DARUL MURSYID,10263672,S,74,78.97,64.57,77.03,91.03,89.79,86.14,0.0,7,18,24,2018,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN
39518,126,102205,SMA KRISTEN PENABUR KELAPA GADING,20177804,S,30,82.0,84.67,81.58,71.81,89.77,85.0,0.0,1,2,205,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
53463,56,3303024,SMA NEGERI 10 KABUPATEN SORONG,69830661,N,9,75.33,58.0,71.94,0.0,89.44,0.0,0.0,33,3,24,2018,PAPUA BARAT,KABUPATEN SORONG
50538,160,2007010,SMA NEGERI 4  KONAWE SELATAN,40403344,N,58,69.38,46.72,56.85,62.5,88.75,65.74,0.0,20,7,10,2018,SULAWESI TENGGARA,KABUPATEN KONAWE SELATAN
50935,240,2108025,SMA NEGERI 4 SERAM BARAT,60102887,N,49,79.02,64.86,53.67,0.0,88.45,71.79,0.0,21,8,25,2018,MALUKU,SERAM BAGIAN BARAT
39428,36,101060,SMA KANISIUS,20100170,S,155,83.88,85.41,81.37,79.76,88.24,85.0,0.0,1,1,60,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
