,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Fisika,Kimia,Biologi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
17212,1468,537002,SMA RAUDLATUL ULUM,20551882,S,23,82.61,74.0,97.93,79.57,91.74,80.54,0.0,5,37,2,2016,JAWA TIMUR,KABUPATEN SUMENEP
17116,1372,534529,MA UNGGULAN IHYAULUMIDDIN PADANG,20584102,S,28,66.57,74.07,97.86,72.5,81.96,81.07,0.0,5,34,529,2016,JAWA TIMUR,KABUPATEN BANYUWANGI
17114,1370,534525,MA AL IMARAH BAJULMATI,20579394,S,34,57.82,73.88,96.69,70.74,26.03,80.88,0.0,5,34,525,2016,JAWA TIMUR,KABUPATEN BANYUWANGI
17147,1403,535055,SMA DARUS SALAM,60725397,S,12,74.0,70.0,96.04,73.33,86.25,80.63,0.0,5,35,55,2016,JAWA TIMUR,KABUPATEN PAMEKASAN
17130,1386,535012,SMA WACHID HASYIM,20527230,S,16,67.38,70.38,95.94,67.81,88.91,82.5,0.0,5,35,12,2016,JAWA TIMUR,KABUPATEN PAMEKASAN
17149,1405,535057,SMA ISLAM TERPADU RIYADUL ULUM,69754764,S,39,73.08,62.46,95.77,75.77,88.14,80.45,0.0,5,35,57,2016,JAWA TIMUR,KABUPATEN PAMEKASAN
17146,1402,535052,SMA PLUS NAHDLATUL WATHAN,20584068,S,18,61.0,70.67,95.28,72.36,90.42,81.11,0.0,5,35,52,2016,JAWA TIMUR,KABUPATEN PAMEKASAN
12745,137,103008,SMA KRISTEN 1 BPK PENABUR,20101306,S,215,79.09,80.99,94.65,89.73,85.94,84.2,0.0,1,3,8,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
22326,167,1904011,SMA DDI DIAKUI MAROS,40300291,S,11,64.91,56.55,93.86,86.82,68.41,66.36,0.0,19,4,11,2016,SULAWESI SELATAN,KABUPATEN MAROS
17741,446,616005,MA NEGERI 2 MEULABOH,10114266,N,43,83.58,58.98,93.84,75.12,68.26,62.21,0.0,6,16,5,2016,ACEH,KABUPATEN ACEH JAYA
22439,280,1907008,SMA PESANTREN TARBIYAH TAKALAR,40308582,S,12,58.5,63.67,93.54,84.17,68.33,68.33,0.0,19,7,8,2016,SULAWESI SELATAN,KABUPATEN TAKALAR
16941,1197,531007,SMA NEGERI TAMANAN,20521708,N,54,62.33,74.33,93.29,71.94,54.21,80.46,0.0,5,31,7,2016,JAWA TIMUR,KABUPATEN BONDOWOSO
