,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
21052,14,401015,SMA NEGERI 1 YOGYAKARTA,20403174,N,13,89.23,77.85,73.46,84.58,84.0,79.0,0.0,4,1,15,2018,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
75036,5,2201007,SMA NEGERI 3 DENPASAR,50103125,N,30,88.33,79.07,69.33,0.0,81.07,0.0,0.0,22,1,7,2018,BALI,BALI,KOTA DENPASAR
44250,1,801001,SMA NEGERI 1 PADANG,10303461.0,N,27,87.41,68.89,73.7,92.5,75.39,91.33,0.0,8,1,1,2018,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
14839,163,306001,SMA NEGERI 1 MAGELANG,20327563,N,118,87.2,81.59,86.61,78.52,80.53,86.55,0.0,3,6,1,2018,JAWA TENGAH,JAWA TENGAH,KOTA MAGELANG
12796,2025,224059,"SMA UNGGULAN AR-RAHMAN, KABUPATEN SUKABUMI",20258335,S,15,86.93,80.67,65.0,73.33,68.4,78.86,0.0,2,24,59,2018,JAWA BARAT,JAWA BARAT,KABUPATEN SUKABUMI
15848,349,311004,SMA NEGERI 1 KEBUMEN,20305010,N,60,86.9,77.9,69.75,78.07,82.75,85.71,0.0,3,11,4,2018,JAWA TENGAH,JAWA TENGAH,KABUPATEN KEBUMEN
21039,1,401001,SMA NEGERI 3 YOGYAKARTA,20403178,N,13,86.77,76.31,79.42,77.86,82.33,0.0,0.0,4,1,1,2018,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
21042,4,401004,SMA NEGERI 9 YOGYAKARTA,20403162,N,48,86.13,80.63,68.18,81.25,77.45,81.47,0.0,4,1,4,2018,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
21073,35,401042,SMA NEGERI 8 YOGYAKARTA,20403161,N,25,86.0,81.68,82.1,78.64,83.5,90.0,0.0,4,1,42,2018,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
24261,442,511030,SMA NEGERI 1 KRIAN,20501784,N,55,86.0,75.27,71.86,67.5,64.0,86.17,0.0,5,11,30,2018,JAWA TIMUR,JAWA TIMUR,KABUPATEN SIDOARJO
6679,787,211061,SMA AL AZHAR SYIFA BUDI PARAHYANGAN,69968020,S,4,86.0,78.5,61.88,0.0,74.0,80.0,0.0,2,11,61,2018,JAWA BARAT,JAWA BARAT,KABUPATEN BANDUNG BARAT
