,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
74946,9,2201011,SMA NEGERI 4 DENPASAR,50103124,N,36,94.89,93.44,90.33,88.2,89.01,82.94,0.0,22,1,11,2015,BALI,BALI,KOTA DENPASAR
74938,1,2201001,SMA NEGERI 1 DENPASAR,50103127,N,33,89.07,92.32,87.39,77.6,78.78,77.21,0.0,22,1,1,2015,BALI,BALI,KOTA DENPASAR
38473,49,701052,SMA SWASTA NASRANI 2 MEDAN,10210742.0,S,6,75.78,91.17,77.15,80.0,75.33,60.08,0.0,7,1,52,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
66025,188,1710019,SMA MIS KOLONGAN,40102411,S,16,76.49,91.03,69.23,70.14,73.44,58.63,0.0,17,10,19,2015,SULAWESI UTARA,SULAWESI UTARA,KABUPATEN MINAHASA UTARA
40941,538,711074,MA SWASTA SURYA AGUNG,60728369.0,S,2,91.9,91.0,87.5,85.0,76.75,65.65,0.0,7,11,74,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SIMALUNGUN
891,268,103216,SMA KRISTEN 8 PENABUR,20177805,S,2,85.55,90.8,93.75,73.75,70.65,74.8,0.0,1,3,216,2015,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
86165,251,3004197,SMA JAKARTA MULTICULTURAL SCHOOL,69877830,S,1,79.2,90.0,50.0,42.5,59.2,46.0,0.0,30,4,197,2015,BANTEN,BANTEN,KOTA TANGERANG SELATAN
75184,57,2204009,SMA WISATA DARMA NUSA PENIDA,50102380,S,34,69.16,89.8,79.37,80.8,60.56,66.59,0.0,22,4,9,2015,BALI,BALI,KABUPATEN KLUNGKUNG
38546,122,701143,SMA SWASTA BUDI SUNGGAL MEDAN,10210722.0,S,15,86.27,89.53,59.48,80.0,75.78,63.74,0.0,7,1,143,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
40944,541,711077,MA SWASTA PEMBINA MALIGAS HULU,10263650.0,S,14,91.67,89.44,87.05,81.79,78.49,63.95,0.0,7,11,77,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SIMALUNGUN
69813,417,1910061,SMA NEGERI 2 CENRANA,40319041,N,24,69.09,89.32,86.66,68.83,78.7,72.25,0.0,19,10,61,2015,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
74942,5,2201007,SMA NEGERI 3 DENPASAR,50103125,N,32,88.25,89.23,85.65,82.01,86.91,78.56,0.0,22,1,7,2015,BALI,BALI,KOTA DENPASAR
38612,188,701250,SMA SWASTA SINGAPORE SCHOOL MEDAN,10260261.0,S,3,86.97,89.17,85.0,79.17,77.73,60.1,0.0,7,1,250,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
70607,547,1915024,MA SYIAR ISLAM,40319635,S,9,71.98,89.14,72.62,64.0,65.14,48.0,0.0,19,15,24,2015,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN SINJAI
75178,51,2204002,SMA NEGERI 2 SEMARAPURA,50102365,N,24,81.99,89.08,81.13,75.99,81.18,73.83,0.0,22,4,2,2015,BALI,BALI,KABUPATEN KLUNGKUNG
34433,2403,537020,SMA NEGERI 1 GAPURA,20529970.0,N,101,75.56,88.97,82.64,67.42,67.92,64.79,0.0,5,37,20,2015,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
75599,146,2208018,MA BALI BINA INSANI MELILING,50105609,S,10,83.22,88.92,62.99,70.13,74.42,58.0,0.0,22,8,18,2015,BALI,BALI,KABUPATEN TABANAN
38584,160,701194,SMA SWASTA EKKLESIA MEDAN,10210708.0,S,4,68.08,88.8,88.05,81.25,72.83,63.63,0.0,7,1,194,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
69814,418,1910065,MA AL HIDAYAH PACCING,40320396,S,19,88.74,88.76,83.47,81.79,58.26,53.05,0.0,19,10,65,2015,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
38489,65,701072,SMA SWASTA KESATRIA MEDAN,10210738.0,S,17,89.78,88.72,83.31,80.88,77.95,63.99,0.0,7,1,72,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
75592,139,2208008,SMA NEGERI 1 SELEMADEG,50101122,N,97,77.62,88.68,81.16,74.49,69.73,65.98,0.0,22,8,8,2015,BALI,BALI,KABUPATEN TABANAN
74949,12,2201014,SMA TAMAN RAMA DENPASAR,50103149,S,17,82.04,88.64,81.45,79.01,84.01,74.0,0.0,22,1,14,2015,BALI,BALI,KOTA DENPASAR
75586,133,2208002,SMA NEGERI 2 TABANAN,50101101,N,166,86.43,88.58,77.1,77.1,72.36,62.05,0.0,22,8,2,2015,BALI,BALI,KABUPATEN TABANAN
34447,2417,537034,SMA NAHDLATUL ULAMA,20551879.0,S,27,70.14,88.53,73.61,68.46,65.7,59.78,0.0,5,37,34,2015,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
69797,401,1910039,SMA NEGERI 1 BONTOCANI,40310707,N,55,85.82,88.44,84.31,83.37,55.9,52.65,0.0,19,10,39,2015,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
82525,167,2522002,SMA NEGERI KOBAKMA,60304909,N,10,73.53,88.4,87.34,74.25,67.0,50.2,0.0,25,22,2,2015,PAPUA,PAPUA,KABUPATEN MAMBERAMO TENGAH
69803,407,1910048,SMA NEGERI 1 DUA BOCCOE,40318126,N,95,78.94,88.36,86.41,68.94,78.35,73.79,0.0,19,10,48,2015,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
75100,33,2202001,SMA NEGERI 1 GIANYAR,50102079,N,38,87.47,88.29,83.56,80.28,85.14,76.26,0.0,22,2,1,2015,BALI,BALI,KABUPATEN GIANYAR
74956,19,2201023,SMA NEGERI 7 DENPASAR,50103120,N,104,84.2,88.28,83.4,79.87,86.14,77.06,0.0,22,1,23,2015,BALI,BALI,KOTA DENPASAR
34417,2387,537003,SMA NEGERI 2 SUMENEP,20529955.0,N,150,73.81,88.28,88.72,77.3,77.51,69.24,0.0,5,37,3,2015,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
69781,385,1910018,SMA NEGERI 1 KAHU,40302663,N,133,85.15,88.27,81.07,70.72,63.4,52.0,0.0,19,10,18,2015,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
34441,2411,537028,SMA TARBIYATUS SHIBYAN,20551898.0,S,57,77.91,88.26,88.08,78.86,78.22,77.58,0.0,5,37,28,2015,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
75233,64,2205006,SMA NEGERI 2 AMLAPURA,50102779,N,53,83.19,88.14,85.2,79.57,84.01,76.04,0.0,22,5,6,2015,BALI,BALI,KABUPATEN KARANGASEM
34426,2396,537013,SMA NEGERI 1 BLUTO,20529969.0,N,96,69.99,88.07,81.49,78.71,76.92,68.56,0.0,5,37,13,2015,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
69768,372,1910004,SMA NEGERI 1 TELLU SIATTINGE,40302691,N,64,83.19,88.05,79.27,57.35,61.24,74.03,0.0,19,10,4,2015,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
75585,132,2208001,SMA NEGERI 1 TABANAN,50101121,N,51,84.71,88.04,79.33,75.14,76.68,71.8,0.0,22,8,1,2015,BALI,BALI,KABUPATEN TABANAN
42201,749,718024,MA SWASTA DARUL MURSYID,10263672.0,S,33,87.08,87.87,89.34,79.24,72.1,62.48,0.0,7,18,24,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN
75598,145,2208017,SMA SURYA WISATA KEDIRI,50101130,S,103,81.61,87.8,72.83,71.18,75.28,68.64,0.0,22,8,17,2015,BALI,BALI,KABUPATEN TABANAN
69800,404,1910043,MAS ASADIYAH MATTIRO WALIE,40320406,S,22,87.95,87.7,79.82,53.7,58.43,72.91,0.0,19,10,43,2015,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
74954,17,2201021,SMA SARASWATI 1 DENPASAR,50103170,S,63,75.06,87.66,76.73,79.71,70.79,70.1,0.0,22,1,21,2015,BALI,BALI,KOTA DENPASAR
74966,29,2201038,SMA HARAPAN MULIA,50105446,S,7,79.66,87.66,86.51,78.56,82.73,76.86,0.0,22,1,38,2015,BALI,BALI,KOTA DENPASAR
40625,475,710108,SMA SWASTA TUNAS BARU BABALAN,10259617.0,S,18,88.26,87.62,83.93,79.58,78.16,67.45,0.0,7,10,108,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN LANGKAT
75590,137,2208006,SMA NEGERI 1 PENEBEL,50101126,N,66,83.58,87.57,73.59,73.03,71.29,62.55,0.0,22,8,6,2015,BALI,BALI,KABUPATEN TABANAN
41722,650,715010,SMA NEGERI 3 RANTAU UTARA,10205362.0,N,56,85.09,87.55,90.79,79.2,77.44,70.97,0.0,7,15,10,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN LABUHANBATU
70072,440,1911019,SMA NEGERI 1 KEERA,40310824,N,35,70.34,87.51,76.54,63.73,61.27,62.34,0.0,19,11,19,2015,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN WAJO
1503,370,104117,SMA LENTERA INDONESIA,20177916,S,1,89.6,87.5,71.8,55.0,64.0,50.0,0.0,1,4,117,2015,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
75179,52,2204003,SMA NEGERI 1 BANJARANGKAN,50102379,N,37,69.51,87.36,75.49,76.97,74.32,68.27,0.0,22,4,3,2015,BALI,BALI,KABUPATEN KLUNGKUNG
74953,16,2201020,SMA NEGERI 6 DENPASAR,50103121,N,73,80.84,87.34,76.82,79.37,81.07,75.51,0.0,22,1,20,2015,BALI,BALI,KOTA DENPASAR
40907,504,711027,SMA SWASTA METHODIST PERDAGANGAN,10202679.0,S,15,91.68,87.32,90.42,80.0,78.99,64.0,0.0,7,11,27,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SIMALUNGUN
1455,322,104053,SMA NEGERI 8,20102568,N,31,87.48,87.26,76.83,78.55,81.43,78.69,0.0,1,4,53,2015,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
40927,524,711053,MA SWASTA AL-KAUTSAR KARANG ANOM,10263652.0,S,23,91.15,87.24,87.97,80.22,76.9,65.14,0.0,7,11,53,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SIMALUNGUN
43061,903,726019,SMA SWASTA R.A. KARTINI SEI RAMPAH,10209421.0,S,15,86.89,87.17,86.89,79.0,76.12,63.73,0.0,7,26,19,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SERDANG BEDAGAI
38513,89,701097,SMA SWASTA GAJAH MADA 2 MEDAN,10210920.0,S,11,82.35,87.04,86.27,78.41,77.24,63.95,0.0,7,1,97,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
901,278,103228,SMA SPRINGFIELD,69774557,S,3,75.63,87.03,59.6,49.17,58.73,48.3,0.0,1,3,228,2015,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
39433,205,702007,SMA SWASTA YP HKBP 1 PEMATANGSIANTAR,10211706.0,S,16,82.02,87.01,82.26,76.72,77.43,63.33,0.0,7,2,7,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA PEMATANGSIANTAR
40936,533,711067,SMA SWASTA PGRI 29 SIANTAR,10202672.0,S,10,86.31,87.0,89.69,81.75,78.58,67.86,0.0,7,11,67,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SIMALUNGUN
64706,158,1606002,SMA NEGERI 1 LINGGANG BIGUNG,30400575.0,N,60,62.54,86.99,79.21,60.77,74.59,68.8,0.0,16,6,2,2015,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KABUPATEN KUTAI BARAT
34520,2490,537551,MA AL-HIKMAH,20584666.0,S,22,75.03,86.86,89.25,68.49,68.39,68.55,0.0,5,37,551,2015,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
74963,26,2201032,SMA CHIS DENPASAR,50103631,S,15,78.51,86.84,78.53,77.26,80.79,70.4,0.0,22,1,32,2015,BALI,BALI,KOTA DENPASAR
75588,135,2208004,SMA NEGERI 1 MARGA,50101132,N,28,73.39,86.81,69.59,62.09,71.28,68.14,0.0,22,8,4,2015,BALI,BALI,KABUPATEN TABANAN
75591,138,2208007,SMA NEGERI 1 KERAMBITAN,50101125,N,31,79.08,86.71,76.08,73.64,75.09,65.42,0.0,22,8,7,2015,BALI,BALI,KABUPATEN TABANAN
75666,151,2209003,SMA NEGERI 1 KUTA,50101705,N,141,79.41,86.69,81.43,76.45,80.93,75.5,0.0,22,9,3,2015,BALI,BALI,KABUPATEN BADUNG
40937,534,711068,SMA SWASTA SINAR SURYA,10202721.0,S,8,90.59,86.64,88.05,79.69,76.55,63.38,0.0,7,11,68,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SIMALUNGUN
34511,2481,537542,MA RAUDHATUT THALIBIN SUMENEP,20584728.0,S,37,75.1,86.64,79.91,70.39,70.62,66.76,0.0,5,37,542,2015,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
6355,725,211041,SMA CAHAYA BANGSA CLASSICAL SCHOOL,20274847,S,12,83.58,86.63,81.39,64.79,67.54,64.72,0.0,2,11,41,2015,JAWA BARAT,JAWA BARAT,KABUPATEN BANDUNG BARAT
40943,540,711076,MA SWASTA AL-HIKMAH MARIHAT BANDAR,10263636.0,S,48,91.89,86.52,89.25,80.83,78.44,66.05,0.0,7,11,76,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SIMALUNGUN
40109,346,709019,SMA SWASTA SERDANG PANTAI LABU,10200443.0,S,6,87.63,86.52,85.23,71.67,71.0,73.67,0.0,7,9,19,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN DELISERDANG
65427,65,1703004,SMA KRISTEN 2 TOMOHON,40103173.0,S,33,79.57,86.52,62.1,62.99,68.49,51.39,0.0,17,3,4,2015,SULAWESI UTARA,SULAWESI UTARA,KOTA TOMOHON
38484,60,701065,SMA SWASTA ADVENT MEDAN,10210815.0,S,15,89.23,86.39,88.24,79.0,70.59,65.53,0.0,7,1,65,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
38540,116,701130,SMA SWASTA DHARMA SAKTI MEDAN,10210716.0,S,6,92.23,86.38,88.23,81.25,80.08,63.97,0.0,7,1,130,2015,SUMATERA UTARA,SUMATERA UTARA,KOTA MEDAN
75329,86,2206008,SMA AYODHYA PURA SELAT,50100407,S,42,67.38,86.32,56.73,70.55,63.32,57.57,0.0,22,6,8,2015,BALI,BALI,KABUPATEN BULELENG
75596,143,2208012,SMA SARASWATI 1 TABANAN,50101193,S,14,78.94,86.31,75.55,69.78,67.04,57.29,0.0,22,8,12,2015,BALI,BALI,KABUPATEN TABANAN
71779,23,2001023,SMA HASRATI KENDARI,40402557,S,8,48.69,86.29,73.04,55.99,62.14,35.0,0.0,20,1,23,2015,SULAWESI TENGGARA,SULAWESI TENGGARA,KOTA KENDARI
42991,882,725004,SMA NEGERI 1 ONANRUNGGU,10208951.0,N,100,75.58,86.16,76.29,71.45,70.46,66.0,0.0,7,25,4,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SAMOSIR
75101,34,2202002,SMA NEGERI 1 UBUD,50102004,N,56,85.74,86.07,84.62,79.88,84.73,75.93,0.0,22,2,2,2015,BALI,BALI,KABUPATEN GIANYAR
40143,380,709090,MA SWASTA YP HAJI DATUK ABDULLAH,10200571.0,S,20,80.43,86.07,84.9,69.5,66.82,75.39,0.0,7,9,90,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN DELISERDANG
42073,729,717036,MA SWASTA QUDDUSUSSALAM BINASI,10263684.0,S,13,91.35,86.06,89.16,81.15,78.38,65.44,0.0,7,17,36,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN TAPANULI TENGAH
40130,367,709057,SMA SWASTA CHANDRA KUSUMA,10214113.0,S,14,89.78,86.03,87.21,81.07,78.64,67.16,0.0,7,9,57,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN DELISERDANG
