,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
74946,9,2201011,SMA NEGERI 4 DENPASAR,50103124,N,36,94.89,93.44,90.33,88.2,89.01,82.94,0.0,22,1,11,2015,BALI,BALI,KOTA DENPASAR
45451,283,813021,SMA NEGERI 1  SILAUT,10308231.0,N,40,76.11,65.64,67.9,86.38,76.16,54.5,0.0,8,13,21,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45439,271,813009,SMA NEGERI 1 BASA AMPEK BALAI,10302022.0,N,151,74.81,68.05,72.9,86.24,77.68,53.89,0.0,8,13,9,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45463,295,813307,MA SWASTA PADANG MANDIANGIN KAMBANG,10310825.0,S,21,75.85,71.37,73.41,86.19,76.7,61.44,0.0,8,13,307,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45457,289,813204,MA NEGERI LINGGO SARI BAGANTI,10310914.0,N,19,77.37,68.09,88.24,85.79,77.65,52.53,0.0,8,13,204,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45442,274,813012,SMA NEGERI 1 LUNANG,10302013.0,N,128,77.39,67.78,71.41,85.7,77.82,56.62,0.0,8,13,12,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45438,270,813008,SMA NEGERI 1 RANAH  PESISIR,10302016.0,N,103,76.66,73.07,86.86,85.66,81.26,55.84,0.0,8,13,8,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45456,288,813203,MA NEGERI BALAI SELASA,10310917.0,N,54,76.59,72.97,73.53,85.65,78.88,54.21,0.0,8,13,203,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45433,265,813003,SMA NEGERI 1 KOTO XI TARUSAN,10308163.0,N,101,75.32,78.5,70.83,85.64,77.33,55.64,0.0,8,13,3,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
65610,108,1706023,MA AL AQSHA KENDAHE,40105185,S,17,83.93,72.5,89.08,85.38,60.85,71.29,0.0,17,6,23,2015,SULAWESI UTARA,SULAWESI UTARA,KABUPATEN KEPULAUAN SANGIHE
45453,285,813023,SMA NEGERI 2 SUTERA,10310901.0,N,55,69.55,70.96,75.22,85.14,75.85,50.63,0.0,8,13,23,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45449,281,813019,SMA NEGERI 3 LENGAYANG,10307602.0,N,66,74.43,67.89,70.1,85.08,76.91,59.68,0.0,8,13,19,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45441,273,813011,SMA NEGERI 1 PANCUNG SOAL,10302015.0,N,128,74.78,67.48,70.42,85.02,77.75,57.18,0.0,8,13,11,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45443,275,813013,SMA NEGERI 1 LINGGO SARI BAGANTI,10302011.0,N,85,75.01,66.71,68.26,85.0,76.47,54.26,0.0,8,13,13,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
40941,538,711074,MA SWASTA SURYA AGUNG,60728369.0,S,2,91.9,91.0,87.5,85.0,76.75,65.65,0.0,7,11,74,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SIMALUNGUN
45445,277,813015,SMA NEGERI 2 BAYANG,10308089.0,N,126,72.39,66.16,71.49,84.9,77.6,59.29,0.0,8,13,15,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45440,272,813010,SMA NEGERI 1 BAYANG,10302009.0,N,73,76.86,67.31,70.75,84.79,76.52,55.55,0.0,8,13,10,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
91073,80,3307013,SMA PERSIAPAN WARWANAI,60404142,N,19,55.51,22.65,95.75,84.74,56.32,51.05,0.0,33,7,13,2015,PAPUA BARAT,PAPUA BARAT,KABUPATEN RAJA AMPAT
45444,276,813014,SMA NEGERI 1 SUTERA,10302017.0,N,103,76.22,65.87,70.54,84.73,76.55,61.03,0.0,8,13,14,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45450,282,813020,SMA NEGERI 1 AIRPURA,10308265.0,N,105,75.34,65.89,69.89,84.71,75.85,58.06,0.0,8,13,20,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45434,266,813004,SMA NEGERI 2 KOTO XI TARUSAN,10307604.0,N,135,74.87,78.24,70.28,84.69,77.01,55.69,0.0,8,13,4,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45437,269,813007,SMA NEGERI 1 LENGAYANG,10302010.0,N,135,77.55,65.47,70.48,84.61,77.99,54.61,0.0,8,13,7,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45432,264,813002,SMA NEGERI 2 PAINAN,10302020.0,N,88,78.44,76.92,72.78,84.43,77.32,59.56,0.0,8,13,2,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
35450,2586,538015,SMA NEGERI 1 TANJUNGBUMI,20531253.0,N,92,64.4,64.3,76.27,84.39,78.42,53.11,0.0,5,38,15,2015,JAWA TIMUR,JAWA TIMUR,KABUPATEN BANGKALAN
45447,279,813017,SMA NEGERI 1 IV NAGARI BAYANG UTARA,10302034.0,N,38,71.73,62.11,68.63,84.34,76.69,59.49,0.0,8,13,17,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45446,278,813016,SMA NEGERI 2 LENGAYANG,10302019.0,N,79,76.98,73.2,80.86,84.3,78.1,59.21,0.0,8,13,16,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45460,292,813303,MA SWASTA LAKITAN,10310911.0,S,14,77.68,66.44,71.17,84.29,76.76,52.09,0.0,8,13,303,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45436,268,813006,SMA NEGERI 2 BATANG KAPAS,10302018.0,N,61,73.47,78.86,69.73,84.1,76.27,53.55,0.0,8,13,6,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45461,293,813304,MA SWASTA PANCUNG SOAL,10310916.0,S,16,73.13,61.74,80.88,84.06,70.89,48.38,0.0,8,13,304,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
73123,271,2012008,SMAN 2 KAMBOWA,40404750,N,22,77.2,63.61,82.61,84.01,78.1,60.09,0.0,20,12,8,2015,SULAWESI TENGGARA,SULAWESI TENGGARA,KABUPATEN BUTON UTARA
52329,183,1105004,SMA NEGERI 4 OKU,10604726.0,N,98,75.9,75.16,82.04,83.75,75.54,58.41,0.0,11,5,4,2015,SUMATERA SELATAN,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU
45459,291,813302,MA SWASTA  TAPAN,10310904.0,S,21,67.04,60.97,82.66,83.57,77.27,47.1,0.0,8,13,302,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45448,280,813018,SMA NEGERI 2 RANAH PESISIR,10308260.0,N,56,75.19,71.37,74.69,83.48,76.86,59.97,0.0,8,13,18,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
49335,576,912009,SMA NEGERI 2 RANGSANG BARAT,10495415.0,N,26,73.37,77.82,67.23,83.46,80.03,80.2,0.0,9,12,9,2015,RIAU,RIAU,KABUPATEN KEPULAUAN MERANTI
45464,296,813308,MA SWASTA ALKASYAF,10310908.0,S,21,71.53,58.91,68.37,83.45,71.2,49.21,0.0,8,13,308,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45431,263,813001,SMA NEGERI 1 PAINAN,10302014.0,N,140,75.17,69.35,70.69,83.43,75.89,56.98,0.0,8,13,1,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
69797,401,1910039,SMA NEGERI 1 BONTOCANI,40310707,N,55,85.82,88.44,84.31,83.37,55.9,52.65,0.0,19,10,39,2015,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
45462,294,813305,MA SWASTA BAYANG,10310906.0,S,40,79.09,65.09,82.63,83.25,61.32,47.95,0.0,8,13,305,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
45435,267,813005,SMA NEGERI 1 BATANG KAPAS,10302021.0,N,144,73.08,76.19,68.25,83.25,73.0,54.49,0.0,8,13,5,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
69809,413,1910056,SMA AL JAMEAH PATTUKU,40319179,S,5,89.64,84.96,84.3,83.2,55.86,52.0,0.0,19,10,56,2015,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
45455,287,813202,MA NEGERI KOTO BERAPAK,10310905.0,N,61,78.47,66.41,78.9,83.11,60.63,47.33,0.0,8,13,202,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
49344,585,912019,SMA SWASTA MERANTI,10498724.0,S,5,70.42,57.58,61.74,83.0,73.22,78.4,0.0,9,12,19,2015,RIAU,RIAU,KABUPATEN KEPULAUAN MERANTI
45454,286,813201,MA NEGERI SALIDO,10310907.0,N,63,76.29,68.08,83.07,82.94,73.07,53.68,0.0,8,13,201,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
40899,496,711017,SMA SWASTA BERDIKARI PERDAGANGAN,10259859.0,S,12,91.33,82.74,87.43,82.71,78.88,67.09,0.0,7,11,17,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SIMALUNGUN
69792,396,1910033,SMAN 1 PATIMPENG,40310710,N,46,72.99,83.74,84.2,82.71,62.5,49.48,0.0,19,10,33,2015,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
64610,156,1605027,SMA NEGERI 1 LONG MESANGAT,30405823.0,N,35,72.88,63.07,77.2,82.59,67.46,64.0,0.0,16,5,27,2015,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KABUPATEN KUTAI TIMUR
48355,393,908007,SMA NEGERI 1 RAMBAH SAMO,10402938.0,N,93,84.03,72.87,84.52,82.53,76.56,57.36,0.0,9,8,7,2015,RIAU,RIAU,KABUPATEN ROKAN HULU
49346,587,912021,SMAN 2 TEBING TINGGI BARAT,10498721.0,N,31,80.67,81.51,77.53,82.42,81.64,78.28,0.0,9,12,21,2015,RIAU,RIAU,KABUPATEN KEPULAUAN MERANTI
40898,495,711016,SMA SWASTA HKBP SERBELAWAN,10202681.0,S,12,90.78,82.34,85.76,82.29,77.27,66.63,0.0,7,11,16,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SIMALUNGUN
52328,182,1105003,SMA NEGERI 3 OKU,10604725.0,N,91,57.24,60.05,33.49,82.28,55.37,35.96,0.0,11,5,3,2015,SUMATERA SELATAN,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU
45466,298,813310,MA SWASTA KUMBUNG,10310915.0,S,21,71.94,66.68,84.2,82.14,77.57,52.78,0.0,8,13,310,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
67714,269,1812004,SMA NEGERI 1 BOKAN KEPULAUAN,40204015,N,12,71.43,64.76,65.51,82.1,67.68,62.33,0.0,18,12,4,2015,SULAWESI TENGAH,SULAWESI TENGAH,KABUPATEN BANGGAI LAUT
40942,539,711075,MA SWASTA AL-ANSHOR PERLANAAN,10263637.0,S,21,90.28,85.05,88.62,82.02,78.7,64.6,0.0,7,11,75,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SIMALUNGUN
74942,5,2201007,SMA NEGERI 3 DENPASAR,50103125,N,32,88.25,89.23,85.65,82.01,86.91,78.56,0.0,22,1,7,2015,BALI,BALI,KOTA DENPASAR
34439,2409,537026,SMA ISLAM NURUL YAQIN,20551883.0,S,12,88.61,83.93,56.6,81.98,75.76,63.5,0.0,5,37,26,2015,JAWA TIMUR,JAWA TIMUR,KABUPATEN SUMENEP
40935,532,711066,SMA SWASTA ISLAM PROYEK UISU,10202670.0,S,23,89.31,82.07,85.46,81.96,77.34,64.16,0.0,7,11,66,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SIMALUNGUN
49334,575,912008,SMA NEGERI 1 RANGSANG BARAT,10495414.0,N,50,79.43,54.86,65.15,81.95,74.54,72.88,0.0,9,12,8,2015,RIAU,RIAU,KABUPATEN KEPULAUAN MERANTI
45465,297,813309,MA SWASTA PONDOK PESANTREN IQRA BARUNG-BARUNG,10308268.0,S,22,62.11,65.79,34.55,81.93,63.16,33.21,0.0,8,13,309,2015,SUMATERA BARAT,SUMATERA BARAT,KABUPATEN PESISIR SELATAN
40944,541,711077,MA SWASTA PEMBINA MALIGAS HULU,10263650.0,S,14,91.67,89.44,87.05,81.79,78.49,63.95,0.0,7,11,77,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SIMALUNGUN
69814,418,1910065,MA AL HIDAYAH PACCING,40320396,S,19,88.74,88.76,83.47,81.79,58.26,53.05,0.0,19,10,65,2015,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
40936,533,711067,SMA SWASTA PGRI 29 SIANTAR,10202672.0,S,10,86.31,87.0,89.69,81.75,78.58,67.86,0.0,7,11,67,2015,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN SIMALUNGUN
