,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
18137,807,324005,SMA NEGERI 1 KUDUS,20317494,N,59,84.71,77.39,70.89,73.55,76.44,96.0,0.0,3,24,5,2018,JAWA TENGAH,JAWA TENGAH,KABUPATEN KUDUS
23847,408,510558,MA YKUI MASKUMAMBANG,20580248,S,78,71.13,51.74,42.15,64.05,62.79,94.0,0.0,5,10,558,2018,JAWA TIMUR,JAWA TIMUR,KABUPATEN GRESIK
75132,37,2202003,SMA NEGERI 1 SUKAWATI,50102081,N,96,70.98,67.42,58.72,64.75,63.73,92.0,0.0,22,2,3,2018,BALI,BALI,KABUPATEN GIANYAR
89023,794,3008174,SMA PAHOA,20616061,S,65,83.69,76.95,78.27,80.0,81.54,92.0,0.0,30,8,174,2018,BANTEN,BANTEN,KABUPATEN TANGERANG
75434,80,2206003,SMA NEGERI 4 SINGARAJA,50100287,N,70,64.06,60.94,39.32,48.29,58.82,92.0,0.0,22,6,3,2018,BALI,BALI,KABUPATEN BULELENG
74636,215,2108002,SMA NEGERI 2 KAIRATU,60101530,N,81,69.04,77.23,74.04,61.11,78.25,91.41,0.0,21,8,2,2018,MALUKU,MALUKU,SERAM BAGIAN BARAT
44250,1,801001,SMA NEGERI 1 PADANG,10303461.0,N,27,87.41,68.89,73.7,92.5,75.39,91.33,0.0,8,1,1,2018,SUMATERA BARAT,SUMATERA BARAT,KOTA PADANG
25639,699,514001,SMA NEGERI 1 BOJONEGORO,20504500,N,41,83.51,82.44,75.67,77.73,84.19,91.33,0.0,5,14,1,2018,JAWA TIMUR,JAWA TIMUR,KABUPATEN BOJONEGORO
86393,245,3004174,MA NEGERI INSAN CENDEKIA SERPONG,20623314,N,15,82.27,83.87,70.33,87.5,89.33,90.86,0.0,30,4,174,2018,BANTEN,BANTEN,KOTA TANGERANG SELATAN
74179,139,2104010,SMA NEGERI 9 BURU,60103375,N,37,67.68,70.7,48.58,57.5,56.71,90.67,0.0,21,4,10,2018,MALUKU,MALUKU,BURU
