,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
82536,190,2522001,SMA NEGERI KELILA,60304512,N,15,65.2,58.27,95.17,80.75,36.0,46.0,0.0,25,22,1,2018,PAPUA,PAPUA,KABUPATEN MAMBERAMO TENGAH
74023,108,2103062,SMA NEGERI 5 SALAHUTU,69774666,N,20,68.8,81.1,90.75,0.0,0.0,89.0,0.0,21,3,62,2018,MALUKU,MALUKU,MALUKU TENGAH
16839,567,317007,SMA NEGERI 1 KARANGANYAR,20312200,N,143,83.43,73.08,88.48,73.99,78.21,84.58,0.0,3,17,7,2018,JAWA TENGAH,JAWA TENGAH,KABUPATEN KARANGANYAR
74823,270,2110007,SMA NEGERI BILORO,60100980,N,25,64.24,53.04,88.44,61.88,0.0,67.05,0.0,21,10,7,2018,MALUKU,MALUKU,BURU SELATAN
84302,175,2710004,SMA NEGERI 1 TALIABU TIMUR SELATAN,60202467,N,21,74.19,65.14,87.62,0.0,52.0,74.56,0.0,27,10,4,2018,MALUKU UTARA,MALUKU UTARA,KABUPATEN PULAU TALIABU
74663,242,2108035,SMA IQRO AMAHOLU,69963051,S,23,68.09,61.74,87.5,50.0,77.75,88.4,0.0,21,8,35,2018,MALUKU,MALUKU,SERAM BAGIAN BARAT
91107,80,3307003,SMA GUPPI RAJA AMPAT,60402057,S,10,77.6,29.4,87.25,63.33,68.67,57.0,0.0,33,7,3,2018,PAPUA BARAT,PAPUA BARAT,KABUPATEN RAJA AMPAT
74828,275,2110012,SMAN OKI BARU,69728727,N,17,58.59,59.76,87.21,47.5,53.56,52.86,0.0,21,10,12,2018,MALUKU,MALUKU,BURU SELATAN
82498,182,2520002,SMA YPPGI KARUBAGA,60302283,S,51,78.86,62.59,87.01,0.0,43.48,60.83,0.0,25,20,2,2018,PAPUA,PAPUA,KABUPATEN TOLIKARA
91251,120,3313005,SMA NEGERI 5 HINGK,69943853,N,67,80.21,55.04,86.9,0.0,55.45,61.29,0.0,33,13,5,2018,PAPUA BARAT,PAPUA BARAT,KABUPATEN PEGUNUNGAN ARFAK
40797,479,710084,SMA SWASTA PAB 10 WAMPU,10201325.0,S,4,80.0,50.5,86.88,0.0,0.0,76.5,0.0,7,10,84,2018,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN LANGKAT
14839,163,306001,SMA NEGERI 1 MAGELANG,20327563,N,118,87.2,81.59,86.61,78.52,80.53,86.55,0.0,3,6,1,2018,JAWA TENGAH,JAWA TENGAH,KOTA MAGELANG
84053,119,2706003,SMA NEGERI 2 HALTENG,60200183,N,13,71.54,70.62,86.54,42.12,0.0,0.0,0.0,27,6,3,2018,MALUKU UTARA,MALUKU UTARA,KABUPATEN HALMAHERA TENGAH
91248,117,3313002,SMA NEGERI MINYAMBOUW,60403909,N,53,60.45,57.81,85.75,0.0,65.55,0.0,0.0,33,13,2,2018,PAPUA BARAT,PAPUA BARAT,KABUPATEN PEGUNUNGAN ARFAK
74477,187,2107004,SMA NEGERI 1 WERINAMA,60101668,N,35,79.49,63.14,85.64,60.23,66.0,57.33,0.0,21,7,4,2018,MALUKU,MALUKU,SERAM BAGIAN TIMUR
42270,783,718024,MA SWASTA DARUL MURSYID,10263672.0,S,28,78.79,62.93,85.63,80.38,68.33,73.33,0.0,7,18,24,2018,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN TAPANULI SELATAN
73974,59,2103010,SMA NEGERI 1 LEIHITU BARAT,60100324,N,37,56.86,73.73,85.54,48.33,69.47,75.73,0.0,21,3,10,2018,MALUKU,MALUKU,MALUKU TENGAH
82550,196,2523003,SMA NEGERI 2 MBUA,69964248,N,5,74.0,64.0,85.5,0.0,61.2,0.0,0.0,25,23,3,2018,PAPUA,PAPUA,KABUPATEN NDUGA
74185,145,2104103,MA LKMD BATU JUNGKU,40405919,S,16,72.63,71.5,85.47,79.06,0.0,0.0,0.0,21,4,103,2018,MALUKU,MALUKU,BURU
91116,89,3307012,SMA NEGERI 10 RAJA AMPAT,60404139,N,11,72.55,64.91,85.45,0.0,58.0,0.0,0.0,33,7,12,2018,PAPUA BARAT,PAPUA BARAT,KABUPATEN RAJA AMPAT
72803,207,2008015,MAN 2 WAKATOBI,40405915,N,19,60.74,63.26,85.26,53.75,39.56,0.0,0.0,20,8,15,2018,SULAWESI TENGGARA,SULAWESI TENGGARA,KABUPATEN WAKATOBI
40769,451,710022,SMA NEGERI 1 SECANGGANG,10201338.0,N,68,75.88,53.68,85.04,61.67,61.52,80.0,0.0,7,10,22,2018,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN LANGKAT
91117,90,3307013,SMA NEGERI 11 RAJA AMPAT,60404142,N,9,64.44,72.0,85.0,0.0,0.0,62.89,0.0,33,7,13,2018,PAPUA BARAT,PAPUA BARAT,KABUPATEN RAJA AMPAT
73990,75,2103026,SMA NEGERI 1 TELUTIH,60103517,N,49,63.51,60.2,84.59,81.07,73.26,86.63,0.0,21,3,26,2018,MALUKU,MALUKU,MALUKU TENGAH
82464,174,2518002,SMA NEGERI 2 KURIMA,60305268,N,19,37.37,76.74,84.08,0.0,0.0,75.79,0.0,25,18,2,2018,PAPUA,PAPUA,KABUPATEN YAHUKIMO
73441,351,2016016,SMA NEGERI 3 LAPANDEWA,69900401,N,20,67.0,36.0,83.63,53.33,72.14,68.67,0.0,20,16,16,2018,SULAWESI TENGGARA,SULAWESI TENGGARA,KABUPATEN BUTON SELATAN
221,30,101048,SMA SANTA URSULA,20108383,S,68,85.21,84.0,83.6,83.78,76.5,85.05,0.0,1,1,48,2018,DKI JAKARTA,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
86349,201,3004021,SMA SANTA URSULA BSD,20603376,S,98,83.78,83.59,83.52,81.77,80.94,80.67,0.0,30,4,21,2018,BANTEN,BANTEN,KOTA TANGERANG SELATAN
82055,88,2506007,SMA NEGERI 1 ASOLOGAIMA,60301590,N,20,72.4,66.1,83.38,0.0,51.0,0.0,0.0,25,6,7,2018,PAPUA,PAPUA,KABUPATEN JAYAWIJAYA
91152,97,3308004,SMA NEGERI KOKODA,69799877,N,35,83.37,70.86,83.14,61.67,67.57,81.17,0.0,33,8,4,2018,PAPUA BARAT,PAPUA BARAT,KABUPATEN SORONG SELATAN
74177,137,2104008,SMA NEGERI 8 BURU,60100973,N,56,76.82,73.04,82.99,49.17,58.11,78.47,0.0,21,4,8,2018,MALUKU,MALUKU,BURU
40799,481,710087,SMA NEGERI 1 SELESAI,10201336.0,N,95,79.37,54.17,82.68,0.0,64.44,0.0,0.0,7,10,87,2018,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN LANGKAT
40773,455,710029,SMA NEGERI 1 HINAI,10201343.0,N,65,75.57,51.88,82.58,37.5,40.69,80.5,0.0,7,10,29,2018,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN LANGKAT
61674,140,1405027,MA SWASTA SABILARRASYAD,60730176.0,S,13,76.31,63.23,82.5,0.0,52.0,0.0,0.0,14,5,27,2018,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN BARITO SELATAN
21073,35,401042,SMA NEGERI 8 YOGYAKARTA,20403161,N,25,86.0,81.68,82.1,78.64,83.5,90.0,0.0,4,1,42,2018,DI YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA
64677,164,1605029,SMA NEGERI 2 MUARA ANCALONG,69896286.0,N,40,57.05,39.05,82.06,58.97,49.39,0.0,0.0,16,5,29,2018,KALIMANTAN TIMUR,KALIMANTAN TIMUR,KABUPATEN KUTAI TIMUR
74820,267,2110004,SMA NEGERI WAWALESI,60101018,N,30,74.4,74.33,81.83,78.33,0.0,64.13,0.0,21,10,4,2018,MALUKU,MALUKU,BURU SELATAN
