,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Ekonomi,Sosiologi,Geografi,Rata,KdProv,KdKota,KdSekolah,Tahun,provinsi,Provinsi,Kabupaten
69871,438,1910068,MAS PPM AL MUAWANAH TANGEE,69726480,S,5,64.4,61.2,55.0,62.5,82.8,61.6,0.0,19,10,68,2016,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
47484,214,905012,SMA NEGERI 1 KERITANG,10494576.0,N,128,72.66,64.36,76.82,72.01,81.13,70.7,0.0,9,5,12,2016,RIAU,RIAU,KABUPATEN INDRAGIRI HILIR
61835,160,1408001,SMA NEGERI 1 BATANG KAWA,30202960.0,N,8,62.25,58.75,72.5,65.94,80.75,69.5,0.0,14,8,1,2016,KALIMANTAN TENGAH,KALIMANTAN TENGAH,KABUPATEN LAMANDAU
48416,421,908033,SMA NEGERI 1 PAGARAN TAPAH DARUSSALAM,10495714.0,N,19,66.53,59.58,91.97,69.87,80.63,82.32,0.0,9,8,33,2016,RIAU,RIAU,KABUPATEN ROKAN HULU
70102,465,1911025,SMA NEGERI 1 BOLA,40313254,N,33,65.21,63.7,54.92,62.2,80.3,76.3,0.0,19,11,25,2016,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN WAJO
68879,225,1905028,MA DDI KALUKALUKUANG,60728208,S,19,61.26,69.79,73.16,60.39,79.68,58.0,0.0,19,5,28,2016,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN PANGKAJENE KEPULAUAN
69847,414,1910034,MAS POMPANUA,40320376,S,62,66.48,60.29,62.34,73.27,79.65,77.9,0.0,19,10,34,2016,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
85020,54,2904003,SMA NEGERI 1 RANDANGAN,40501649,N,85,62.64,41.46,69.62,61.88,79.51,61.22,0.0,29,4,3,2016,GORONTALO,GORONTALO,KABUPATEN POHUWATO
69858,425,1910049,SMA NEGERI 1 CENRANA,40310708,N,60,53.43,59.33,79.38,65.5,78.4,74.63,0.0,19,10,49,2016,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
47511,241,905039,SMA SWASTA PERSADA PEBENAAN,69786365.0,S,4,78.0,65.0,83.75,69.38,78.0,66.0,0.0,9,5,39,2016,RIAU,RIAU,KABUPATEN INDRAGIRI HILIR
52378,192,1105021,SMA TARUNA TUNAS BANGSA BATURAJA,10644681.0,S,30,42.4,59.6,66.92,85.08,77.53,51.33,0.0,11,5,21,2016,SUMATERA SELATAN,SUMATERA SELATAN,KABUPATEN OGAN KOMERING ULU
3622,157,203001,"SMA NEGERI 1 BEKASI, KOTA BEKASI",20223020,N,31,81.35,80.9,90.08,89.35,77.48,86.19,0.0,2,3,1,2016,JAWA BARAT,JAWA BARAT,KOTA BEKASI
69829,396,1910011,SMA NEGERI 1 ULAWENG,40302551,N,148,58.07,56.26,80.81,67.23,77.46,80.28,0.0,19,10,11,2016,SULAWESI SELATAN,SULAWESI SELATAN,KABUPATEN BONE
41787,691,715050,MA SWASTA AL-AZHAR BAGAN BILAH,60728349.0,S,22,76.64,74.45,78.07,72.73,77.45,82.0,0.0,7,15,50,2016,SUMATERA UTARA,SUMATERA UTARA,KABUPATEN LABUHANBATU
67343,218,1809021,MAS AL KHAIRAAT SINIU,60728243,S,29,64.07,62.55,64.66,65.0,77.31,77.59,0.0,18,9,21,2016,SULAWESI TENGAH,SULAWESI TENGAH,KABUPATEN PARIGI MOUTONG
73478,343,2017008,SMAN 1 MAGINTI,40400771,N,35,66.4,57.89,80.71,67.0,77.31,85.54,0.0,20,17,8,2016,SULAWESI TENGGARA,SULAWESI TENGGARA,KABUPATEN MUNA BARAT
