,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
308,54,101070,SMK ST.THERESIA,20100300,S,74,85.46,87.05,79.32,71.79,"80,91",1,1,70,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
309,55,101071,SMK F. DITKESAD,20107254,S,89,84.47,70.65,80.98,82.25,"79,59",1,1,71,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
4078,34,201134,"SMK BPK PENABUR BANDUNG, KOTA BANDUNG",20269309,S,47,85.49,73.74,65.69,92.39,"79,33",2,1,134,2018,JAWA BARAT,KOTA BANDUNG
44226,754,724130,SMK NEGERI 1 OOU,10261293,N,40,80.75,78.65,90.44,65.13,"78,74",7,24,130,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
5659,383,204908,SMK SMAK BOGOR (4 TH KELAS 3),20238524,N,308,83.25,82.77,71.51,72.48,"77,50",2,4,908,2018,JAWA BARAT,KOTA BOGOR
55268,47,1601057,SMK KEHUTANAN NEGERI SAMARINDA,30407651,N,101,79.66,72.48,68.29,88.07,"77,13",16,1,57,2018,KALIMANTAN TIMUR,KOTA SAMARINDA
5566,290,204108,"SMK SMAK BOGOR, KOTA BOGOR",20238524,N,270,83.44,78.49,83.81,62.57,"77,08",2,4,108,2018,JAWA BARAT,KOTA BOGOR
61764,67,2107104,SMK NEGERI 1 SERAM TIMUR,60103634,N,49,87.55,77.27,63.42,79.64,"76,97",21,7,104,2018,MALUKU,SERAM BAGIAN TIMUR
61913,91,2110102,SMK NEGERI WAESAMA,60103374,N,27,81.19,68.81,78.98,78.24,"76,81",21,10,102,2018,MALUKU,BURU SELATAN
29175,146,502143,SMK TELKOM SANDHY PUTRA,20533803,S,389,85.67,81.17,68.08,71.16,"76,52",5,2,143,2018,JAWA TIMUR,KOTA MALANG
20928,410,311002,SMK NEGERI 1 KARANGANYAR,20330331,N,427,86.3,64.98,84.13,69.22,"76,16",3,11,2,2018,JAWA TENGAH,KABUPATEN KEBUMEN
2096,269,104020,SMK NEGERI 8,20102597,N,308,84.88,68.73,80.43,69.77,"75,95",1,4,20,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
67509,97,2708011,SMK NEGERI MANGOLI TENGAH,60202463,N,57,85.23,76.07,71.14,71.36,"75,95",27,8,11,2018,MALUKU UTARA,KABUPATEN KEPULAUAN SULA
19533,194,306002,SMK NEGERI 2 MAGELANG,20327586,N,353,86.05,69.12,74.26,72.4,"75,46",3,6,2,2018,JAWA TENGAH,KOTA MAGELANG
24258,1001,325005,SMK NEGERI JAWA TENGAH,69859763,N,48,83.96,65.92,77.19,74.11,"75,30",3,25,5,2018,JAWA TENGAH,KABUPATEN PATI
61592,39,2103114,SMK NEGERI NUSA LAUT,69770334,N,15,83.07,68.93,71.67,77.5,"75,29",21,3,114,2018,MALUKU,MALUKU TENGAH
61914,92,2110103,SMK NEGERI NAMROLE,60103929,N,39,84.56,75.49,67.69,73.08,"75,21",21,10,103,2018,MALUKU,BURU SELATAN
40520,129,701246,SMK SWASTA METHODIST CHARLES WESLEY,10262326,S,10,79.2,85.0,61.5,74.75,"75,11",7,1,246,2018,SUMATERA UTARA,KOTA MEDAN
27926,115,404101,SMK NEGERI 2 DEPOK,20401315,N,487,83.31,73.86,84.53,58.7,"75,10",4,4,101,2018,DI YOGYAKARTA,KABUPATEN SLEMAN
61833,82,2108112,SMK NEGERI 4 KAIRATU,69857916,N,84,89.76,66.93,67.83,75.8,"75,08",21,8,112,2018,MALUKU,SERAM BAGIAN BARAT
266,12,101014,SMK BUNDA MULIA 1,20107252,S,180,81.03,79.39,72.47,66.9,"74,95",1,1,14,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
61584,31,2103106,SMK NEGERI 1 LEIHITU,60102251,N,80,67.55,76.6,76.13,78.91,"74,80",21,3,106,2018,MALUKU,MALUKU TENGAH
61830,79,2108108,SMK NEGERI WAESALA,60103565,N,45,74.22,68.13,92.17,63.83,"74,59",21,8,108,2018,MALUKU,SERAM BAGIAN BARAT
20929,411,311003,SMK NEGERI 1 KEBUMEN,20330332,N,498,85.2,68.23,80.13,63.5,"74,27",3,11,3,2018,JAWA TENGAH,KABUPATEN KEBUMEN
44219,747,724123,SMK NEGERI 1 ARAMO,10260683,S,31,82.71,84.84,93.55,35.48,"74,15",7,24,123,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
3336,580,105902,SMK CARAKA NUSANTARA,20103769,S,76,84.84,68.68,77.96,64.51,"74,00",1,5,902,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
3293,537,105179,SMK ANALIS KESEHATAN DITKESAD,20109930,S,122,80.0,62.3,60.43,92.68,"73,85",1,5,179,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
