,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
4203,34,2010134,"SMK BPK PENABUR BANDUNG, KOTA BANDUNG",20269309,S,63,88.35,75.33,68.02,93.13,"81,21",2,1,13,2019,JAWA BARAT,KOTA BANDUNG
367,52,1010070,SMK ST.THERESIA,20100300,S,69,86.64,84.03,76.2,60.69,"76,89",1,1,7,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
40675,127,7010246,SMK SWASTA METHODIST CHARLES WESLEY,10262326,S,15,76.4,80.8,67.0,83.33,"76,88",7,1,24,2019,SUMATERA UTARA,KOTA MEDAN
40681,133,7010252,SMK SWASTA DR SJAHRIR,69727262,S,13,83.85,75.08,66.73,81.73,"76,85",7,1,25,2019,SUMATERA UTARA,KOTA MEDAN
20991,411,3110002,SMK NEGERI 1 KARANGANYAR,20330331,N,422,89.98,64.42,83.12,67.77,"76,32",3,11,0,2019,JAWA TENGAH,KABUPATEN KEBUMEN
18763,12,3010012,SMK NEGERI JAWA TENGAH,69859366,N,117,88.77,69.04,75.68,70.66,"76,04",3,1,1,2019,JAWA TENGAH,KOTA SEMARANG
2227,266,1040020,SMK NEGERI 8,20102597,N,345,86.8,69.58,79.28,68.12,"75,95",1,4,2,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
55320,47,16010057,SMK KEHUTANAN NEGERI SAMARINDA,30407651,N,109,80.57,66.31,56.65,97.82,"75,34",16,1,5,2019,KALIMANTAN TIMUR,KOTA SAMARINDA
3531,578,1050902,SMK CARAKA NUSANTARA,0,S,53,86.98,73.77,82.59,57.69,"75,26",1,5,90,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
19553,192,3060002,SMK NEGERI 2 MAGELANG,20327586,N,347,88.43,66.49,78.2,67.51,"75,16",3,6,0,2019,JAWA TENGAH,KOTA MAGELANG
5764,392,2040908,SMK SMAK BOGOR (4 TH KELAS 3),2023x,N,275,89.01,80.97,70.15,60.47,"75,15",2,4,90,2019,JAWA BARAT,KOTA BOGOR
351,36,1010048,SMK SAINT JOHN,20100298,S,12,87.67,81.83,74.17,56.67,"75,09",1,1,4,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
20992,412,3110003,SMK NEGERI 1 KEBUMEN,20330332,N,541,89.57,66.77,77.69,64.84,"74,72",3,11,0,2019,JAWA TENGAH,KABUPATEN KEBUMEN
29229,145,5020143,SMK TELKOM SANDHY PUTRA,20533803,S,444,87.7,76.32,61.8,71.58,"74,35",5,2,14,2019,JAWA TIMUR,KOTA MALANG
3486,533,1050179,SMK ANALIS KESEHATAN DITKESAD,20109930,S,112,78.75,69.45,63.17,85.74,"74,28",1,5,17,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
24302,1009,3250005,SMK NEGERI JAWA TENGAH,69859763,N,48,87.58,65.79,73.33,70.31,"74,25",3,25,0,2019,JAWA TENGAH,KABUPATEN PATI
1513,224,1030124,SMK NEGERI 60,20101497,N,171,81.85,65.84,76.93,70.98,"73,90",1,3,12,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
28264,172,4050101,SMK NEGERI 1 WONOSARI,20402128,N,406,88.51,65.93,72.7,66.83,"73,49",4,5,10,2019,DI YOGYAKARTA,KABUPATEN GUNUNGKIDUL
368,53,1010071,SMK F. DITKESAD,20107254,S,86,82.26,72.21,67.97,70.81,"73,31",1,1,7,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
352,37,1010049,SMK STRADA I,20100303,S,142,81.59,72.04,73.43,66.11,"73,29",1,1,4,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
15439,2225,2210128,SMK KEHUTANAN NEGERI KADIPATEN,20263963,N,94,83.32,63.19,54.81,90.93,"73,06",2,21,12,2019,JAWA BARAT,KABUPATEN MAJALENGKA
791,87,1020033,SMK DHARMA BUDHI BHAKTI PLUS JAKARTA,20107415,S,20,83.3,78.2,63.25,66.63,"72,85",1,2,3,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
3391,438,1050068,SMK NEGERI 48,20103784,N,271,85.62,67.11,71.85,66.3,"72,72",1,5,6,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
1439,150,1030021,SMK NEGERI 42,20101500,N,244,85.84,67.79,69.51,67.47,"72,65",1,3,2,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
371,56,1010076,SMK F PENABUR,20109314,S,29,87.38,76.34,67.41,59.05,"72,55",1,1,7,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
27663,80,4030101,SMK NEGERI 1 PENGASIH,20402788,N,317,88.38,64.11,73.19,64.21,"72,47",4,3,10,2019,DI YOGYAKARTA,KABUPATEN KULON PROGO
28012,143,4040131,SMK NEGERI 1 DEPOK,20401193,N,280,87.54,65.9,69.58,66.54,"72,39",4,4,13,2019,DI YOGYAKARTA,KABUPATEN SLEMAN
1440,151,1030022,SMK NEGERI 9,20101496,N,205,84.54,63.56,75.98,65.32,"72,35",1,3,2,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT
359,44,1010061,SMK REX MUNDI,20108514,S,59,81.39,79.08,62.92,65.89,"72,32",1,1,6,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
28040,171,4040900,SMK NEGERI 2 DEPOK,20401315,N,590,89.15,73.37,66.98,57.87,"71,84",4,4,90,2019,DI YOGYAKARTA,KABUPATEN SLEMAN
780,76,1020021,SMK NEGERI 12 JAKARTA,20100783,N,176,85.14,66.01,68.79,66.95,"71,72",1,2,2,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA
3502,549,1050256,SMK CARAKA NUSANTARA,20103769,S,43,84.98,66.74,71.4,63.72,"71,71",1,5,25,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
54532,30,15020010,SMK BORNEO LESTARI,30312523,S,66,76.52,67.39,70.11,72.61,"71,66",15,2,1,2019,KALIMANTAN SELATAN,KOTA BANJARBARU
67367,70,27050014,SMK BHINEKA TUNGGAL IKA GANE TIMUR,60205823,S,22,75.0,78.09,69.89,63.41,"71,60",27,5,1,2019,MALUKU UTARA,KABUPATEN HALMAHERA SELATAN
