,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
20991,411,3110002,SMK NEGERI 1 KARANGANYAR,20330331,N,422,89.98,64.42,83.12,67.77,"76,32",3,11,0,2019,JAWA TENGAH,KABUPATEN KEBUMEN
20992,412,3110003,SMK NEGERI 1 KEBUMEN,20330332,N,541,89.57,66.77,77.69,64.84,"74,72",3,11,0,2019,JAWA TENGAH,KABUPATEN KEBUMEN
28040,171,4040900,SMK NEGERI 2 DEPOK,20401315,N,590,89.15,73.37,66.98,57.87,"71,84",4,4,90,2019,DI YOGYAKARTA,KABUPATEN SLEMAN
5764,392,2040908,SMK SMAK BOGOR (4 TH KELAS 3),2023x,N,275,89.01,80.97,70.15,60.47,"75,15",2,4,90,2019,JAWA BARAT,KOTA BOGOR
19129,133,3020238,SMK IT SMART INFORMATIKA,20362528,S,47,88.81,72.68,59.47,61.28,"70,56",3,2,23,2019,JAWA TENGAH,KOTA SURAKARTA
18763,12,3010012,SMK NEGERI JAWA TENGAH,69859366,N,117,88.77,69.04,75.68,70.66,"76,04",3,1,1,2019,JAWA TENGAH,KOTA SEMARANG
21518,518,3130001,SMK NEGERI 1 PURWOREJO,20306180,N,381,88.68,65.06,63.02,55.45,"68,05",3,13,0,2019,JAWA TENGAH,KABUPATEN PURWOREJO
18837,86,3010907,SMK NEGERI  7 SEMARANG,20337604,N,671,88.61,71.49,61.38,56.43,"69,48",3,1,90,2019,JAWA TENGAH,KOTA SEMARANG
28264,172,4050101,SMK NEGERI 1 WONOSARI,20402128,N,406,88.51,65.93,72.7,66.83,"73,49",4,5,10,2019,DI YOGYAKARTA,KABUPATEN GUNUNGKIDUL
27195,25,4010133,SMK NEGERI TEKNOLOGI INDUSTRI,20407427,N,276,88.44,70.55,67.92,51.18,"69,52",4,1,13,2019,DI YOGYAKARTA,KOTA YOGYAKARTA
19927,213,3070003,SMK NEGERI 1 PURWOKERTO,20330459,N,622,88.44,65.41,61.05,61.52,"69,11",3,7,0,2019,JAWA TENGAH,KABUPATEN BANYUMAS
19553,192,3060002,SMK NEGERI 2 MAGELANG,20327586,N,347,88.43,66.49,78.2,67.51,"75,16",3,6,0,2019,JAWA TENGAH,KOTA MAGELANG
27663,80,4030101,SMK NEGERI 1 PENGASIH,20402788,N,317,88.38,64.11,73.19,64.21,"72,47",4,3,10,2019,DI YOGYAKARTA,KABUPATEN KULON PROGO
4203,34,2010134,"SMK BPK PENABUR BANDUNG, KOTA BANDUNG",20269309,S,63,88.35,75.33,68.02,93.13,"81,21",2,1,13,2019,JAWA BARAT,KOTA BANDUNG
21701,583,3140901,SMK NEGERI 1 TEMANGGUNG,20321425,N,526,88.22,64.49,60.71,59.78,"68,30",3,14,90,2019,JAWA TENGAH,KABUPATEN TEMANGGUNG
20990,410,3110001,SMK NEGERI 1 GOMBONG,20330330,N,534,88.08,65.66,62.71,54.22,"67,67",3,11,0,2019,JAWA TENGAH,KABUPATEN KEBUMEN
