,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
43180,548,715109,SMK SWASTA SITI BANUN SIGAMBAL,10205184,S,80,84.15,93.4,86.81,84.32,"87,17",7,15,109,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43187,555,715120,SMK SWASTA FAJAR MANDIRI,10259162,S,15,86.67,93.2,96.33,73.13,"87,33",7,15,120,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
44887,826,731101,SMK SWASTA KH. DEWANTARA KOTAPINANG,10205193,S,380,86.52,93.2,85.41,80.4,"86,38",7,31,101,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU SELATAN
43178,546,715106,SMK SWASTA TELADAN RANTAUPRAPAT,10220858,S,104,85.13,93.19,85.34,82.83,"86,62",7,15,106,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
44141,723,724130,SMK NEGERI 1 OOU,10261293,N,29,84.69,92.9,90.09,79.48,"86,79",7,24,130,2016,SUMATERA UTARA,KABUPATEN NIAS SELATAN
43173,541,715101,SMK NEGERI 1 RANTAU UTARA,10220863,N,335,85.23,92.85,83.04,82.06,"85,80",7,15,101,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43197,565,715133,SMK SWASTA AL-AZIS,69786963,S,30,86.47,92.73,95.42,83.29,"89,48",7,15,133,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43196,564,715132,SMK NEGERI 1 BILAH HILIR,69786966,N,94,85.81,92.45,95.03,76.79,"87,52",7,15,132,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43185,553,715118,SMK SWASTA METHODIST AEKNABARA,10205191,S,62,86.65,92.13,80.56,83.47,"85,70",7,15,118,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
45112,866,733105,SMK NEGERI 1 MANDREHE,10260096,N,84,80.43,92.02,88.51,77.06,"84,51",7,33,105,2016,SUMATERA UTARA,KABUPATEN NIAS BARAT
43177,545,715105,SMK SWASTA PGRI 15 RANTAUPRAPAT,10205186,S,74,84.86,91.92,81.55,82.3,"85,16",7,15,105,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43188,556,715121,SMK NEGERI 1 PANAI HILIR,10260527,N,95,84.86,91.58,92.76,74.37,"85,89",7,15,121,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43199,567,715135,SMK SWASTA ALWASHLIYAH PANAI HULU,69793015,S,12,84.83,91.0,90.63,77.17,"85,91",7,15,135,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
43184,552,715114,SMK SWASTA HARAPAN ALWASHLIYAH SIGAMBAL,10259164,S,81,85.14,90.84,93.8,80.86,"87,66",7,15,114,2016,SUMATERA UTARA,KABUPATEN LABUHANBATU
40221,132,701246,SMK SWASTA METHODIST CHARLES WESLEY,10262326,S,12,83.5,90.0,85.83,88.81,"87,04",7,1,246,2016,SUMATERA UTARA,KOTA MEDAN
55677,119,1604026,SMK NEGERI 1 LOA JANAN,30405790,N,15,65.73,89.33,61.0,83.58,"74,91",16,4,26,2016,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA
45116,870,733110,SMK NEGERI 1 MANDREHE BARAT,10260660,N,26,72.92,89.08,74.23,83.12,"79,84",7,33,110,2016,SUMATERA UTARA,KABUPATEN NIAS BARAT
186,55,101070,SMK ST.THERESIA,20100300,S,69,80.0,89.04,82.54,80.51,"83,02",1,1,70,2016,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
