,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
247,54,101070,SMK ST.THERESIA,20100300,S,60,80.93,85.8,77.0,81.21,"81,24",1,1,70,2017,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
40368,128,701246,SMK SWASTA METHODIST CHARLES WESLEY,10262326,S,4,84.5,85.0,75.0,87.43,"82,98",7,1,246,2017,SUMATERA UTARA,KOTA MEDAN
61140,89,2009105,SMK NEGERI 06 BOMBANA,40403607,N,23,71.22,84.7,22.28,74.08,"63,07",20,9,105,2017,SULAWESI TENGGARA,KABUPATEN BOMBANA
60859,43,2004109,SMK SWASTA KESEHATAN KARYA PERSADA,40404276,S,31,69.61,84.39,83.95,78.73,"79,17",20,4,109,2017,SULAWESI TENGGARA,KABUPATEN MUNA
16780,2311,224230,"SMK INSAN CITA, KABUPATEN SUKABUMI",69888788,S,16,77.38,84.38,77.03,73.61,"78,10",2,24,230,2017,JAWA BARAT,KABUPATEN SUKABUMI
61628,43,2104104,SMK NEGERI 3 BURU,60103630,N,42,57.62,84.33,79.4,83.75,"76,28",21,4,104,2017,MALUKU,BURU
67496,94,2708010,SMK NEGERI SULABESI TENGAH,60202450,N,22,33.18,84.0,82.27,75.8,"68,81",27,8,10,2017,MALUKU UTARA,KABUPATEN KEPULAUAN SULA
44177,732,724124,SMK NEGERI 1 MAZO,10260684,N,49,66.98,83.96,52.86,74.57,"69,59",7,24,124,2017,SUMATERA UTARA,KABUPATEN NIAS SELATAN
67325,61,2705009,SMK TEKNOLOGI,60729100,S,37,56.16,83.62,72.16,67.97,"69,98",27,5,9,2017,MALUKU UTARA,KABUPATEN HALMAHERA SELATAN
64781,51,2403007,SMK NEGERI TOIANAS,50307311,N,23,61.48,83.57,87.5,75.04,"76,90",24,3,7,2017,NUSA TENGGARA TIMUR,KABUPATEN TTS
41877,354,709221,SMK 2 SWASTA DELIMA SARI TIGA JUHAR,10200412,S,41,69.85,83.37,36.16,83.06,"68,11",7,9,221,2017,SUMATERA UTARA,KABUPATEN DELISERDANG
27868,117,404101,SMK NEGERI 2 DEPOK,20401315,N,461,82.62,82.97,82.37,83.71,"82,92",4,4,101,2017,DI YOGYAKARTA,KABUPATEN SLEMAN
67330,66,2705014,SMK BHINEKA TUNGGAL IKA GANE TIMUR,60205823,S,15,60.8,82.67,82.17,71.8,"74,36",27,5,14,2017,MALUKU UTARA,KABUPATEN HALMAHERA SELATAN
16756,2287,224206,SMK KOMPUTER AL-BASHRY PALABUHANRATU,69726060,S,26,87.85,82.31,88.27,74.02,"83,11",2,24,206,2017,JAWA BARAT,KABUPATEN SUKABUMI
60861,45,2004111,SMK PELAYARAN KARYA PERSADA NAPABALANO,40404988,S,51,67.45,82.24,71.13,72.84,"73,42",20,4,111,2017,SULAWESI TENGGARA,KABUPATEN MUNA
44156,711,724103,SMK NEGERI 1 AMANDRAYA,10258242,N,45,73.64,82.18,78.17,78.91,"78,23",7,24,103,2017,SUMATERA UTARA,KABUPATEN NIAS SELATAN
66353,96,2514002,SMK NEGERI UREI FAISEI,60304981,N,32,64.0,82.13,65.55,69.35,"70,26",25,14,2,2017,PAPUA,KABUPATEN WAROPEN
