,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
55320,47,16010057,SMK KEHUTANAN NEGERI SAMARINDA,30407651,N,109,80.57,66.31,56.65,97.82,"75,34",16,1,5,2019,KALIMANTAN TIMUR,KOTA SAMARINDA
65693,256,24190031,SMK WEE PABOBA,69900565,S,15,40.53,29.6,27.17,95.17,"48,12",24,19,3,2019,NUSA TENGGARA TIMUR,KABUPATEN SUMBA BARAT DAYA
4203,34,2010134,"SMK BPK PENABUR BANDUNG, KOTA BANDUNG",20269309,S,63,88.35,75.33,68.02,93.13,"81,21",2,1,13,2019,JAWA BARAT,KOTA BANDUNG
65677,240,24190015,SMK MATA LOKO,69900564,S,40,37.4,30.75,20.94,93.13,"45,56",24,19,1,2019,NUSA TENGGARA TIMUR,KABUPATEN SUMBA BARAT DAYA
15439,2225,2210128,SMK KEHUTANAN NEGERI KADIPATEN,20263963,N,94,83.32,63.19,54.81,90.93,"73,06",2,21,12,2019,JAWA BARAT,KABUPATEN MAJALENGKA
24074,987,3240209,SMK NU BANAT,20338292,S,72,80.56,53.61,52.92,89.9,"69,25",3,24,20,2019,JAWA TENGAH,KABUPATEN KUDUS
65694,257,24190032,SMK PANENGGO EDE,69895858,S,8,30.5,32.5,20.94,89.69,"43,41",24,19,3,2019,NUSA TENGGARA TIMUR,KABUPATEN SUMBA BARAT DAYA
65684,247,24190022,SMK NYURA LELE,69895850,S,4,63.0,61.0,31.25,88.75,"61,00",24,19,2,2019,NUSA TENGGARA TIMUR,KABUPATEN SUMBA BARAT DAYA
65604,225,24180003,SMK NEGERI 1 UMBU RATU NGGAY,69957059,N,51,43.92,41.96,28.53,86.81,"50,31",24,18,0,2019,NUSA TENGGARA TIMUR,KABUPATEN SUMBA TENGAH
3487,534,1050181,SMK ANKES TUNAS HARAPAN,20103276,S,92,74.67,51.28,43.45,86.2,"63,90",1,5,18,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
3486,533,1050179,SMK ANALIS KESEHATAN DITKESAD,20109930,S,112,78.75,69.45,63.17,85.74,"74,28",1,5,17,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
62148,5,22010007,SMK FARMASI SARASWATI 3 DENPASAR,50103633,S,87,78.37,58.23,45.2,83.42,"66,31",22,1,0,2019,BALI,KOTA DENPASAR
40675,127,7010246,SMK SWASTA METHODIST CHARLES WESLEY,10262326,S,15,76.4,80.8,67.0,83.33,"76,88",7,1,24,2019,SUMATERA UTARA,KOTA MEDAN
17506,2612,2250149,SMK INDUSTRI LOGAM SITURAJA SUMEDANG,20271781,S,23,60.17,43.04,45.11,82.39,"57,68",2,25,14,2019,JAWA BARAT,KABUPATEN SUMEDANG
2335,374,1040160,SMK MUSIK PERGURUAN CIKINI,20107257,S,23,79.65,77.65,44.57,82.17,"71,01",1,4,16,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
40681,133,7010252,SMK SWASTA DR SJAHRIR,69727262,S,13,83.85,75.08,66.73,81.73,"76,85",7,1,25,2019,SUMATERA UTARA,KOTA MEDAN
66595,21,26010123,SMKS 21 QAWIY SHABAB,69788530,S,17,74.0,49.06,38.09,73.97,"58,78",26,1,12,2019,BENGKULU,KOTA BENGKULU
19093,97,3020200,SMK ANALIS KESEHATAN NASIONAL SURAKARTA,20331829,S,124,84.73,64.37,56.51,73.31,"69,73",3,2,20,2019,JAWA TENGAH,KOTA SURAKARTA
61977,103,21110103,SMK NEGERI PERIKANAN DAN KELAUTAN MARSELA,60103850,N,4,48.0,42.0,43.75,73.13,"51,72",21,11,10,2019,MALUKU,MALUKU BARAT DAYA
16252,2392,2230193,SMK KESENIAN SUBANG,69859743,S,13,72.15,41.08,32.69,72.88,"54,70",2,23,19,2019,JAWA BARAT,KABUPATEN SUBANG
54532,30,15020010,SMK BORNEO LESTARI,30312523,S,66,76.52,67.39,70.11,72.61,"71,66",15,2,1,2019,KALIMANTAN SELATAN,KOTA BANJARBARU
19091,95,3020008,SMK NEGERI 8 SURAKARTA,20328154,N,225,73.32,45.35,35.11,72.31,"56,52",3,2,0,2019,JAWA TENGAH,KOTA SURAKARTA
2234,273,1040027,SMK NEGERI 47,20102599,N,241,82.44,62.17,58.94,72.07,"68,91",1,4,2,2019,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
58706,63,19010186,SMK NEGERI KEHUTANAN MAKASSAR,40314239,N,97,79.32,64.19,60.18,71.98,"68,92",19,1,18,2019,SULAWESI SELATAN,KOTA MAKASSAR
