,No,Kode,SatuanPendidikan,NPSN,Status,JumlahPeserta,Bindo,Bing,Math,Kompetensi,Rata,KdProv,KdKota,KdSekolah,Tahun,Provinsi,Kabupaten
44202,730,724105,SMK NEGERI 1 GOMO,10258243,N,39,61.95,73.08,93.65,57.5,"71,55",7,24,105,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
44219,747,724123,SMK NEGERI 1 ARAMO,10260683,S,31,82.71,84.84,93.55,35.48,"74,15",7,24,123,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
61830,79,2108108,SMK NEGERI WAESALA,60103565,N,45,74.22,68.13,92.17,63.83,"74,59",21,8,108,2018,MALUKU,SERAM BAGIAN BARAT
44226,754,724130,SMK NEGERI 1 OOU,10261293,N,40,80.75,78.65,90.44,65.13,"78,74",7,24,130,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
61917,95,2110106,SMK NEGERI SIMI,60103991,N,40,68.35,53.05,88.44,69.56,"69,85",21,10,106,2018,MALUKU,BURU SELATAN
67510,98,2708014,SMK NEGERI 1 SANANA UTARA,60203612,N,9,81.33,62.0,88.33,55.83,"71,87",27,8,14,2018,MALUKU UTARA,KABUPATEN KEPULAUAN SULA
67573,106,2710002,SMK NEGERI 1 TALIABU UTARA,60202482,N,49,81.43,60.41,87.96,38.47,"67,07",27,10,2,2018,MALUKU UTARA,KABUPATEN PULAU TALIABU
67411,79,2706008,SMK NEGERI 7 HALMAHERA TENGAH,60202632,N,20,51.4,73.1,87.63,57.88,"67,50",27,6,8,2018,MALUKU UTARA,KABUPATEN HALMAHERA TENGAH
44225,753,724129,SMK NEGERI 1 ONO HAZUMBA,10261289,N,42,82.14,70.71,85.89,40.95,"69,92",7,24,129,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
27926,115,404101,SMK NEGERI 2 DEPOK,20401315,N,487,83.31,73.86,84.53,58.7,"75,10",4,4,101,2018,DI YOGYAKARTA,KABUPATEN SLEMAN
20928,410,311002,SMK NEGERI 1 KARANGANYAR,20330331,N,427,86.3,64.98,84.13,69.22,"76,16",3,11,2,2018,JAWA TENGAH,KABUPATEN KEBUMEN
5566,290,204108,"SMK SMAK BOGOR, KOTA BOGOR",20238524,N,270,83.44,78.49,83.81,62.57,"77,08",2,4,108,2018,JAWA BARAT,KOTA BOGOR
55732,100,1604005,SMK YPK TENGGARONG,30400213,S,288,69.28,72.51,83.62,62.8,"72,05",16,4,5,2018,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA
67574,107,2710005,SMK NEGERI 1 TALIABU TIMUR,60203626,N,20,80.5,58.3,83.38,50.25,"68,11",27,10,5,2018,MALUKU UTARA,KABUPATEN PULAU TALIABU
67575,108,2710006,SMK NEGERI 1 TABONA,69786942,N,20,79.8,69.3,83.38,59.13,"72,90",27,10,6,2018,MALUKU UTARA,KABUPATEN PULAU TALIABU
3309,553,105256,SMK CARAKA NUSANTARA,20103769,S,112,83.05,67.61,82.88,60.67,"73,55",1,5,256,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
66195,74,2509002,SMK NEGERI NIOGA,60304028,N,44,71.5,58.36,82.5,62.84,"68,80",25,9,2,2018,PAPUA,KABUPATEN PUNCAK JAYA
66182,72,2508003,SMK NEGERI 1 PANIAI,69888882,N,53,87.74,73.28,82.36,39.67,"70,76",25,8,3,2018,PAPUA,KABUPATEN PANIAI
44229,757,724133,SMK NEGERI 1 HILIMEGAI,10261284,N,29,77.93,70.28,82.16,50.26,"70,16",7,24,133,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
67511,99,2708015,SMK KESEHATAN BHAKTI SULA,69900118,S,6,55.33,73.0,81.67,62.08,"68,02",27,8,15,2018,MALUKU UTARA,KABUPATEN KEPULAUAN SULA
66402,112,2518001,SMK NEGERI DEKAI,60303350,N,111,78.13,64.67,81.6,59.41,"70,95",25,18,1,2018,PAPUA,KABUPATEN YAHUKIMO
309,55,101071,SMK F. DITKESAD,20107254,S,89,84.47,70.65,80.98,82.25,"79,59",1,1,71,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
2096,269,104020,SMK NEGERI 8,20102597,N,308,84.88,68.73,80.43,69.77,"75,95",1,4,20,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN
66417,115,2520001,SMK NEGERI TOLIKARA,60302282,N,30,80.13,61.93,80.25,42.08,"66,10",25,20,1,2018,PAPUA,KABUPATEN TOLIKARA
20929,411,311003,SMK NEGERI 1 KEBUMEN,20330332,N,498,85.2,68.23,80.13,63.5,"74,27",3,11,3,2018,JAWA TENGAH,KABUPATEN KEBUMEN
61823,72,2108101,SMK NEGERI 1 KAIRATU,60102720,N,56,75.57,62.11,79.73,70.58,"72,00",21,8,101,2018,MALUKU,SERAM BAGIAN BARAT
67508,96,2708010,SMK NEGERI SULABESI TENGAH,60202450,N,26,84.0,76.0,79.71,51.63,"72,84",27,8,10,2018,MALUKU UTARA,KABUPATEN KEPULAUAN SULA
308,54,101070,SMK ST.THERESIA,20100300,S,74,85.46,87.05,79.32,71.79,"80,91",1,1,70,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT
67501,89,2708003,SMK NEGERI 1 MANGOLI BARAT,60202245,N,20,85.7,76.6,79.0,48.0,"72,33",27,8,3,2018,MALUKU UTARA,KABUPATEN KEPULAUAN SULA
61913,91,2110102,SMK NEGERI WAESAMA,60103374,N,27,81.19,68.81,78.98,78.24,"76,81",21,10,102,2018,MALUKU,BURU SELATAN
3336,580,105902,SMK CARAKA NUSANTARA,20103769,S,76,84.84,68.68,77.96,64.51,"74,00",1,5,902,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
56661,70,1705005,SMK NEGERI 5 TALAUD,40103559,N,17,74.24,71.18,77.94,0.0,"55,84",17,5,5,2018,SULAWESI UTARA,KABUPATEN KEPULAUAN TALAUD
67116,21,2703005,SMK NEGERI 5 HALMAHERA BARAT,60203638,N,10,57.2,42.4,77.5,54.0,"57,78",27,3,5,2018,MALUKU UTARA,KABUPATEN HALMAHERA BARAT
24258,1001,325005,SMK NEGERI JAWA TENGAH,69859763,N,48,83.96,65.92,77.19,74.11,"75,30",3,25,5,2018,JAWA TENGAH,KABUPATEN PATI
61968,102,2111103,SMK NEGERI PERIKANAN DAN KELAUTAN MARSELA,60103850,N,10,68.2,62.4,76.75,56.75,"66,03",21,11,103,2018,MALUKU,MALUKU BARAT DAYA
66443,121,2527001,SMK YAPESLI ELELIM,60304870,S,44,69.27,47.5,76.42,52.73,"61,48",25,27,1,2018,PAPUA,KABUPATEN YALIMO
65027,102,2406008,SMK NEGERI MARITAING,69725863,N,22,52.27,70.82,76.14,55.68,"63,73",24,6,8,2018,NUSA TENGGARA TIMUR,KABUPATEN ALOR
61584,31,2103106,SMK NEGERI 1 LEIHITU,60102251,N,80,67.55,76.6,76.13,78.91,"74,80",21,3,106,2018,MALUKU,MALUKU TENGAH
18673,12,301012,SMK NEGERI JAWA TENGAH,69859366,N,118,83.49,68.68,75.64,65.74,"73,39",3,1,12,2018,JAWA TENGAH,KOTA SEMARANG
44238,766,724142,SMK NEGERI 2 HURUNA,10261288,N,16,65.88,70.0,75.31,35.0,"61,55",7,24,142,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
27165,25,401133,SMK NEGERI TEKNOLOGI INDUSTRI,20407427,N,218,84.63,72.31,75.3,57.21,"72,36",4,1,133,2018,DI YOGYAKARTA,KOTA YOGYAKARTA
67444,82,2707001,SMK MUHAMMADIYAH SUBAIM,60200658,S,42,65.48,55.95,75.0,68.63,"66,27",27,7,1,2018,MALUKU UTARA,KABUPATEN HALMAHERA TIMUR
27628,80,403101,SMK NEGERI 1 PENGASIH,20402788,N,317,85.31,66.32,74.8,59.79,"71,56",4,3,101,2018,DI YOGYAKARTA,KABUPATEN KULON PROGO
19080,136,302238,SMK IT SMART INFORMATIKA,20362528,S,57,83.47,72.28,74.69,60.75,"72,80",3,2,238,2018,JAWA TENGAH,KOTA SURAKARTA
19051,107,302207,SMK FARMASI NASIONAL SURAKARTA,20331830,S,116,85.05,68.05,74.61,66.59,"73,58",3,2,207,2018,JAWA TENGAH,KOTA SURAKARTA
18668,7,301007,SMK NEGERI  7 SEMARANG,20337604,N,603,80.9,69.3,74.46,55.21,"69,97",3,1,7,2018,JAWA TENGAH,KOTA SEMARANG
61588,35,2103110,SMK NEGERI 2 SAPARUA,60103663,N,27,71.93,60.15,74.35,63.98,"67,60",21,3,110,2018,MALUKU,MALUKU TENGAH
67348,68,2705014,SMK BHINEKA TUNGGAL IKA GANE TIMUR,60205823,S,24,76.17,78.17,74.27,51.67,"70,07",27,5,14,2018,MALUKU UTARA,KABUPATEN HALMAHERA SELATAN
19533,194,306002,SMK NEGERI 2 MAGELANG,20327586,N,353,86.05,69.12,74.26,72.4,"75,46",3,6,2,2018,JAWA TENGAH,KOTA MAGELANG
55768,136,1604043,SMK EL FHALUY ALFAIZIM LOA KULU,69902882,S,29,67.93,56.34,74.22,61.55,"65,01",16,4,43,2018,KALIMANTAN TIMUR,KABUPATEN KUTAI KARTANEGARA
3308,552,105255,SMK NEGERI 26,20103787,N,362,81.07,73.15,74.1,54.28,"70,65",1,5,255,2018,DKI JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR
46983,125,905115,SMKS AL-IKHLAS AIR TAWAR,69753407,S,26,68.23,64.54,73.94,62.12,"67,21",9,5,115,2018,RIAU,KABUPATEN INDRAGIRI HILIR
61590,37,2103112,SMK NEGERI TELUK ELPAPUTIH,69831987,N,22,64.36,76.64,73.75,67.05,"70,45",21,3,112,2018,MALUKU,MALUKU TENGAH
27983,172,404900,SMK NEGERI 2 DEPOK,20401315,N,507,85.77,76.05,73.34,58.14,"73,33",4,4,900,2018,DI YOGYAKARTA,KABUPATEN SLEMAN
28218,173,405101,SMK NEGERI 1 WONOSARI,20402128,N,406,85.37,66.49,73.26,62.76,"71,97",4,5,101,2018,DI YOGYAKARTA,KABUPATEN GUNUNGKIDUL
73309,46,3310002,SMK NEGERI 1 YEMBUN,69899493,N,10,82.2,62.2,73.25,56.5,"68,54",33,10,2,2018,PAPUA BARAT,KABUPATEN TAMBRAUW
44218,746,724122,SMK NEGERI 1 SUSUA,10260682,N,44,69.23,66.14,73.13,51.25,"64,94",7,24,122,2018,SUMATERA UTARA,KABUPATEN NIAS SELATAN
23044,792,320001,SMK NEGERI 1 SUKOHARJO,20310436,N,355,84.17,67.08,72.94,69.74,"73,48",3,20,1,2018,JAWA TENGAH,KABUPATEN SUKOHARJO
61763,66,2107103,SMK NEGERI 1 PULAU GOROM,60103540,N,43,74.42,67.44,72.79,67.33,"70,50",21,7,103,2018,MALUKU,SERAM BAGIAN TIMUR
